"gene_id","scer_gene_name","functional_category","category_order","name_raw","desc_raw"
"YKR026C","GCN3","Translation / Ribosome",3,"YKR026C   GCN3       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2B     S0001734","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B S0001734"
"YOR168W","GLN4","Translation / Ribosome",3,"YOR168W   GLN4       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, GLUTAMINYL             S0005694","PROTEIN SYNTHESIS TRNA SYNTHETASE, GLUTAMINYL S0005694"
"YBR121C","GRS1","Translation / Ribosome",3,"YBR121C   GRS1       PROTEIN SYNTHESIS                       TRNA SYNTHASE, GLYCYL                   S0000325","PROTEIN SYNTHESIS TRNA SYNTHASE, GLYCYL S0000325"
"YJL033W","HCA4","Translation / Ribosome",3,"YJL033W   HCA4       RRNA PROCESSING                         RNA HELICASE                            S0003570","RRNA PROCESSING RNA HELICASE S0003570"
"YPR033C","HTS1","Translation / Ribosome",3,"YPR033C   HTS1       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, HISTIDYL               S0006237","PROTEIN SYNTHESIS TRNA SYNTHETASE, HISTIDYL S0006237"
"YHR148W","IMP3","Translation / Ribosome",3,"YHR148W   IMP3       RRNA PROCESSING                         U3 SNORNP PROTEIN                       S0001191","RRNA PROCESSING U3 SNORNP PROTEIN S0001191"
"YNL075W","IMP4","Translation / Ribosome",3,"YNL075W   IMP4       RRNA PROCESSING                         U3 SNORNP PROTEIN                       S0005019","RRNA PROCESSING U3 SNORNP PROTEIN S0005019"
"YDR037W","KRS1","Translation / Ribosome",3,"YDR037W   KRS1       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, LYSYL                  S0002444","PROTEIN SYNTHESIS TRNA SYNTHETASE, LYSYL S0002444"
"YER127W","LCP5","Translation / Ribosome",3,"YER127W   LCP5       RRNA PROCESSING, PUTATIVE               UNKNOWN                                 S0000929","RRNA PROCESSING, PUTATIVE UNKNOWN S0000929"
"YKL205W","LOS1","Translation / Ribosome",3,"YKL205W   LOS1       TRNA SPLICING                           NUCLEAR PORE PROTEIN                    S0001688","TRNA SPLICING NUCLEAR PORE PROTEIN S0001688"
