"gene_id","name_raw","gene_name","desc_raw","scer_gene_name","functional_category","category_order"
"YPL212C","YPL212C   PUS1       TRNA PROCESSING                         PSEUDOURIDINE SYNTHASE                  S0006133","PUS1","TRNA PROCESSING PSEUDOURIDINE SYNTHASE S0006133","PUS1","Translation / Ribosome",3
"YNL292W","YNL292W   PUS4       TRNA PROCESSING                         PSEUDOURIDINE SYNTHASE                  S0005236","PUS4","TRNA PROCESSING PSEUDOURIDINE SYNTHASE S0005236","PUS4","Translation / Ribosome",3
"YNL002C","YNL002C   RLP7       PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L7 (PUTATIVE)         S0004947","RLP7","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L7 (PUTATIVE) S0004947","RLP7","Translation / Ribosome",3
"YMR239C","YMR239C   RNT1       RRNA PROCESSING                         RIBONUCLEASE III                        S0004852","RNT1","RRNA PROCESSING RIBONUCLEASE III S0004852","RNT1","Translation / Ribosome",3
"YGL171W","YGL171W   ROK1       RRNA PROCESSING                         RNA HELICASE                            S0003139","ROK1","RRNA PROCESSING RNA HELICASE S0003139","ROK1","Translation / Ribosome",3
"YBR079C","YBR079C   RPG1       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF3      S0000283","RPG1","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3 S0000283","RPG1","Translation / Ribosome",3
"YLR075W","YLR075W   RPL10      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L10                   S0004065","RPL10","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L10 S0004065","RPL10","Translation / Ribosome",3
"YPR102C","YPR102C   RPL11A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L11A                  S0006306","RPL11A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L11A S0006306","RPL11A","Translation / Ribosome",3
"YGR085C","YGR085C   RPL11B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L11B                  S0003317","RPL11B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L11B S0003317","RPL11B","Translation / Ribosome",3
"YEL054C","YEL054C   RPL12A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L12A                  S0000780","RPL12A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L12A S0000780","RPL12A","Translation / Ribosome",3
"YDR418W","YDR418W   RPL12B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L12B                  S0002826","RPL12B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L12B S0002826","RPL12B","Translation / Ribosome",3
"YDL082W","YDL082W   RPL13A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L13A                  S0002240","RPL13A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L13A S0002240","RPL13A","Translation / Ribosome",3
"YMR142C","YMR142C   RPL13B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L13B                  S0004750","RPL13B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L13B S0004750","RPL13B","Translation / Ribosome",3
"YKL006W","YKL006W   RPL14A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L14A                  S0001489","RPL14A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L14A S0001489","RPL14A","Translation / Ribosome",3
"YHL001W","YHL001W   RPL14B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L14B                  S0000993","RPL14B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L14B S0000993","RPL14B","Translation / Ribosome",3
"YLR029C","YLR029C   RPL15A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L15A                  S0004019","RPL15A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L15A S0004019","RPL15A","Translation / Ribosome",3
"YMR121C","YMR121C   RPL15B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L15B                  S0004728","RPL15B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L15B S0004728","RPL15B","Translation / Ribosome",3
"YIL133C","YIL133C   RPL16A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L16A                  S0001395","RPL16A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L16A S0001395","RPL16A","Translation / Ribosome",3
"YNL069C","YNL069C   RPL16B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L16B                  S0005013","RPL16B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L16B S0005013","RPL16B","Translation / Ribosome",3
"YKL180W","YKL180W   RPL17A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L17A                  S0001663","RPL17A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L17A S0001663","RPL17A","Translation / Ribosome",3
"YJL177W","YJL177W   RPL17B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L17B                  S0003713","RPL17B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L17B S0003713","RPL17B","Translation / Ribosome",3
"YOL120C","YOL120C   RPL18A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L18A                  S0005480","RPL18A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L18A S0005480","RPL18A","Translation / Ribosome",3
"YNL301C","YNL301C   RPL18B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L18B                  S0005245","RPL18B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L18B S0005245","RPL18B","Translation / Ribosome",3
"YBL027W","YBL027W   RPL19B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L19B                  S0000123","RPL19B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L19B S0000123","RPL19B","Translation / Ribosome",3
"YPL220W","YPL220W   RPL1A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L1A                   S0006141","RPL1A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L1A S0006141","RPL1A","Translation / Ribosome",3
"YGL135W","YGL135W   RPL1B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L1B                   S0003103","RPL1B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L1B S0003103","RPL1B","Translation / Ribosome",3
"YMR242C","YMR242C   RPL20A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L20A                  S0004855","RPL20A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L20A S0004855","RPL20A","Translation / Ribosome",3
"YOR312C","YOR312C   RPL20B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L20B                  S0005839","RPL20B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L20B S0005839","RPL20B","Translation / Ribosome",3
"YBR191W","YBR191W   RPL21A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L21A                  S0000395","RPL21A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L21A S0000395","RPL21A","Translation / Ribosome",3
"YPL079W","YPL079W   RPL21B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L21B                  S0006000","RPL21B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L21B S0006000","RPL21B","Translation / Ribosome",3
"YLR061W","YLR061W   RPL22A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L22A                  S0004051","RPL22A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L22A S0004051","RPL22A","Translation / Ribosome",3
"YBL087C","YBL087C   RPL23A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L23A                  S0000183","RPL23A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L23A S0000183","RPL23A","Translation / Ribosome",3
"YER117W","YER117W   RPL23B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L23B                  S0000919","RPL23B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L23B S0000919","RPL23B","Translation / Ribosome",3
"YGL031C","YGL031C   RPL24A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L24A                  S0002999","RPL24A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L24A S0002999","RPL24A","Translation / Ribosome",3
"YGR148C","YGR148C   RPL24B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L24B                  S0003380","RPL24B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L24B S0003380","RPL24B","Translation / Ribosome",3
"YOL127W","YOL127W   RPL25      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L25                   S0005487","RPL25","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L25 S0005487","RPL25","Translation / Ribosome",3
"YLR344W","YLR344W   RPL26A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L26A                  S0004336","RPL26A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L26A S0004336","RPL26A","Translation / Ribosome",3
"YGR034W","YGR034W   RPL26B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L26B                  S0003266","RPL26B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L26B S0003266","RPL26B","Translation / Ribosome",3
"YHR010W","YHR010W   RPL27A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L27A                  S0001052","RPL27A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L27A S0001052","RPL27A","Translation / Ribosome",3
"YDR471W","YDR471W   RPL27B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L27B                  S0002879","RPL27B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L27B S0002879","RPL27B","Translation / Ribosome",3
"YGL103W","YGL103W   RPL28      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L28                   S0003071","RPL28","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L28 S0003071","RPL28","Translation / Ribosome",3
"YIL018W","YIL018W   RPL2B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L2B                   S0001280","RPL2B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L2B S0001280","RPL2B","Translation / Ribosome",3
"YOR063W","YOR063W   RPL3       PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L3                    S0005589","RPL3","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L3 S0005589","RPL3","Translation / Ribosome",3
"YGL030W","YGL030W   RPL30      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L30                   S0002998","RPL30","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L30 S0002998","RPL30","Translation / Ribosome",3
