"","GSM578408","GSM578409","GSM578410","GSM578411","GSM578412","GSM578413","GSM578414","GSM578415","GSM578416","GSM578417","GSM578418","GSM578419","GSM578420","GSM578421","GSM578422","GSM578423","GSM578424","GSM578425","GSM578426","GSM578427","GSM578428","GSM578429","GSM578430","GSM578431","GSM578432","GSM578433","GSM578434","GSM578435","GSM578436","GSM578437","GSM578438","GSM578439","GSM578440","GSM578441","GSM578442","GSM578443","GSM578444","GSM578445","GSM578446","GSM578447","GSM578448","GSM578449","GSM578450","GSM578451","GSM578452","GSM578453","GSM578454","GSM578455","GSM578456","GSM578457","GSM578458","GSM578459","GSM578460","GSM578461","GSM578462","GSM578463","GSM578464","GSM578465","GSM578466","GSM578467","GSM578468","GSM578469","GSM578470","GSM578471","GSM578472","GSM578473"
"(+)eQC-41",0.01872868,-0.10598426,0.07532228,0.00090984,-0.009364426,0.04759788,0.108825941,-0.051758312,-0.184807794,0.111883104,0.008011331,0.017115151,0.10586505,0.023399782,0.09125392,0.040677858,0.026220779,-0.009661683,0.033898052,-0.015429552,0.105717383,-0.051168147,0.006231445,-0.038359946,-0.036232266,-0.065049157,-0.075225097,-0.033231708,-0.043379842,-0.098516936,0.063273673,-0.063492068,-0.00181801,0.070369503,0.091240709,0.104910827,0.162726548,0.238085513,0.206769404,-0.17610441,-0.217096421,0.220967747,0.228985599,-0.114644909,0.154952915,0.12894059,-0.146621788,-0.082550543,-0.041918796,-0.138661813,-0.075114902,-0.117463222,-0.143889106,-0.124849564,-0.140940022,-0.161968613,-0.09352913,-0.090999999,-0.166664226,-0.212285425,-0.219668043,-0.295725991,-0.027819617,0.029698477,-0.143242983,0.000660557
"(-)3xSLv1",0.148134417,0.11084167,0.139108128,0.105929198,0.172122606,0.147561405,0.152303134,0.114243214,0.119967268,0.136327075,0.137356388,0.13293425,0.164595882,0.104905734,0.157743641,0.130693541,0.103605357,0.053816765,0.078818132,0.093458482,0.09677232,0.046072028,0.075120934,0.052340798,0.076884262,0.066228308,0.12911161,0.005136151,0.089345421,0.027324076,0.106335566,0.064020353,-0.033408639,-0.008921366,-0.008573183,0.024480038,-0.028265166,0.006943177,0.000349165,-0.005212514,-0.001300195,0.023631141,0.033472388,0.017987009,-0.004646132,0.032614695,0.021564429,0.019712207,-0.008842648,-0.048775034,-0.004099528,-0.009780492,-0.001898,-0.008281065,-0.007243423,-0.027097849,-0.017976429,-0.003913692,-0.043229107,0.000694264,-0.003298117,-0.07453289,-0.082208652,-0.009713786,0.014098165,0.021955703
"A_06_P1001",-0.166719013,-0.319366425,-0.035646607,-0.225262133,0.095361148,-0.13936842,-0.0032464,-0.080557258,-0.462885621,0.242240514,0.085788952,-0.51620462,0.077269321,-0.069129741,-0.084869557,0.083342246,-0.300258033,-0.383934113,0.029730692,-0.087268373,0.213384117,-0.053943334,0.180658271,-0.445007764,-0.601717184,0.172522314,-0.011947524,-0.523441965,0.022760416,-0.058601298,-0.300926612,-0.463121396,0.050915407,0.127936012,0.516842461,0.010529055,0.541830912,0.590098548,0.895428542,-0.247922047,-0.084092204,0.460302124,0.367928459,-0.012902103,0.622396754,0.557502238,-0.155179383,0.137896308,-0.445226406,-0.51391261,-0.400851532,-0.409258302,0.405444436,0.575616029,0.153505488,0.444982569,0.737883046,0.555603082,0.575314507,0.758288559,-0.336332768,-0.255519947,-0.777091795,-0.377693379,-0.583798564,-0.108407589
"A_06_P1002",-0.258899352,-0.56913823,-0.191398968,-0.119067668,0.077516707,-0.010250035,-0.145884686,-0.087024369,-0.383129062,0.296718981,0.110326031,-0.193214422,0.150357002,-0.042468867,-0.059096062,0.084305886,-0.077630251,-0.412746415,-0.137516444,-0.115439065,-0.000286018,-0.087886393,-0.066125149,-0.328749317,-0.393550854,0.080389183,-0.089022675,-0.372132815,-0.039600124,-0.130557682,-0.097337427,-0.451442441,-0.54603884,-0.045300037,0.172266118,-0.228650731,0.060403224,0.383872062,0.398233348,-0.205769135,-0.144980776,0.210474806,0.088148917,0.13874843,0.396723804,0.158653245,-0.124901459,0.148217002,-0.176786711,-0.241956056,-0.26812259,-0.231182454,0.591988864,0.559312843,0.365395223,0.392250705,0.733545685,0.591326525,0.641168646,0.760059641,-0.232065046,-0.165147635,-0.581877571,-0.317880078,-0.392382992,-0.049817193
"A_06_P1003",0.443084739,-0.242575097,0.251989147,-0.183883374,0.08434715,0.261532609,0.248448984,0.278122621,-0.006346816,0.573031148,0.051073245,0.235028309,0.508204151,0.233746885,0.540275135,0.120476394,0.28988063,-0.058233572,0.103640639,-0.087189274,0.26786785,-0.055224633,0.057397814,0.030307941,-0.062224076,0.189940253,0.117066601,0.143471195,0.183363952,0.00694183,0.260267036,0.042012749,-0.483405804,0.815745523,1.481816425,0.513202533,0.954451961,1.485468031,2.085537015,0.03125132,0.194323237,0.66070065,0.686656485,0.271423017,0.932425889,1.016747165,0.07605773,0.222041031,-0.012595415,-0.05767487,0.021059781,-0.183257236,0.243164994,0.44709521,0.038353342,0.299669636,0.889588275,0.584304681,0.852849469,0.679319384,0.227036175,-0.004027056,-0.455076122,-0.330538456,-0.497933421,-0.041139408
"A_06_P1004",0.878951936,0.355051197,0.617082789,0.300971002,0.670652259,1.003677043,0.450453791,0.545897476,0.294541871,1.18403214,0.321998183,0.563393117,1.171938533,0.441496195,1.12069585,0.604723951,0.380599055,0.363727085,0.374499435,0.132534968,0.397641938,0.153064291,0.240636597,0.545719352,0.766732054,0.398829063,0.117460765,0.144102271,0.358558604,0.267270491,0.467558309,0.155577315,-0.6937004,0.487815457,1.09074379,0.093075648,0.693115032,1.150103348,1.651195073,-0.267376424,-0.296970329,0.631423517,0.787402239,-0.116428038,1.103965475,1.119738422,-0.260387291,-0.103956643,0.107969032,0.264726461,0.230401453,0.066590222,0.497192922,0.584546679,0.253165604,0.540096131,1.044323917,0.653096275,0.912922411,0.781610368,0.74213574,0.282165334,-0.466486766,-0.660992028,-0.393814465,-0.358639836
"A_06_P1005",0.740814173,-0.001004504,0.714994309,0.273853395,0.381801811,0.473337003,0.499767589,0.585406952,0.076083266,0.85706899,0.229605861,0.498731992,0.741738915,0.498025608,0.706302211,0.514214451,0.714691859,0.208455208,0.419231945,0.238231816,0.75002166,0.247121545,0.411937459,0.330396785,0.844163603,0.387020397,0.39676534,0.387891046,0.41110229,0.317124371,0.66453617,0.597775597,-0.71290023,0.962202336,1.41133328,0.782979401,0.963922422,1.616486713,2.123615994,-0.058519943,-0.319242387,0.687825039,0.583120237,-0.259263538,1.008916648,1.093825245,-0.293439233,-0.328282683,0.021481863,-0.045171994,0.005226507,-0.265135735,0.336638505,0.638904499,0.214839298,0.518054698,1.076059518,0.714088164,1.024270436,0.928026136,0.381461687,0.212766935,-0.308500206,-0.133810812,-0.535142888,-0.235231805
"A_06_P1006",0.319509318,0.073341169,0.464277655,0.180012424,0.375236462,0.422066533,0.472883903,0.344291564,-0.048372677,0.779786224,0.275924521,0.210889767,0.559587426,0.413840844,0.459084623,0.504306204,0.145134846,-0.011498612,0.201419474,0.135697113,0.316662163,0.364524998,0.238223945,0.075578675,-0.069649256,0.484137248,0.230627913,0.099622332,0.387733672,0.285388412,0.423905221,0.142067826,-0.761344528,0.851789483,1.568140447,0.749739893,0.790120141,1.724084187,2.123944404,-0.116934181,-0.260496164,0.895307824,0.665407858,-0.315121898,1.028263463,1.093555048,-0.321275837,-0.233023001,-0.189758778,-0.180329035,-0.097317455,-0.235060272,0.16589431,0.123848889,-0.028858516,0.116321237,0.541003159,0.36224351,0.423217145,0.434902025,0.005129761,-0.180602157,-0.482590622,-0.31844621,-0.231385111,0.008439187
"A_06_P1007",0.381167037,0.357916643,0.468241118,0.135353252,0.457093965,0.462291377,0.490023138,0.450709838,-0.083223743,0.344975638,-0.250857279,0.129169499,0.512735579,0.109444471,0.205790273,0.242086287,0.170435129,0.349156002,0.42069801,0.029375316,0.3116436,0.306484388,0.305233517,0.295637737,-0.00307042,0.422477287,0.102100652,-0.021419761,0.503320999,0.250404378,0.304373251,-0.146625748,-0.962730461,0.580138732,1.264590516,0.545600224,0.907415274,1.465047353,2.219774201,-0.147679789,-0.287286286,1.012421971,0.839878711,-0.404854785,1.094263959,1.526830695,-0.391302485,-0.562552259,0.112542717,-0.099170564,0.041608828,-0.01867752,0.583155494,0.448725619,0.149986243,0.423001999,1.050080533,0.734780978,0.935491864,1.033201465,0.476375117,0.235141671,-0.509831223,-0.119171012,-0.349079177,-0.145171978
"A_06_P1008",0.202970992,0.017804689,0.377263325,0.159223905,0.183569645,0.225577911,0.534727275,0.360583421,-0.108214494,0.567037393,0.241454499,0.208273981,0.457725083,0.309615678,0.2299781,0.316303455,0.273029139,0.110974971,0.329764976,0.096292635,0.449456201,0.186148541,0.240332838,0.074638026,-0.096740553,0.454445979,0.173103695,0.049104494,0.467186835,0.308271943,0.286953947,0.188229102,-0.827447929,0.512434016,1.074518477,0.777053553,0.900900593,1.584575685,1.911117279,-0.166100549,-0.305301181,0.818748223,0.630382362,-0.643205632,0.662599838,0.970852703,-0.390284443,-0.517745534,-0.09386264,-0.201552193,-0.136195341,-0.202207216,0.231088329,0.205235739,0.110034425,0.217534553,0.570064934,0.423881829,0.48071941,0.569199737,0.054667759,0.127635569,-0.111334998,-0.144369849,-0.013627718,0.102019849
