gene_id,scer_gene_name,functional_category,category_order,desc_raw
YNL015W,PBI2,Protein folding / QC,2,UNKNOWN PROTEASE INHIBITOR S0004960
YHR064C,PDR13,Protein folding / QC,2,DRUG RESISTANCE HSP70 HOMOLOG S0001106
YPL154C,PEP4,Protein folding / QC,2,PROTEIN DEGRADATION VACUOLAR ASPARTYL PROTEASE S0006075
YEL060C,PRB1,Protein folding / QC,2,PROTEIN DEGRADATION VACUOLAR PROTEASE B S0000786
YBL075C,SSA3,Protein folding / QC,2,ER AND MITOCHONDRIAL TRANSLOCATION CYTOSOLIC HSP70 S0000171
YER103W,SSA4,Protein folding / QC,2,ER AND MITOCHONDRIAL TRANSLOCATION CYTOSOLIC HSP70 S0000905
YBR169C,SSE2,Protein folding / QC,2,HEAT SHOCK RESPONSE HSP70 FAMILY S0000373
YDR059C,UBC5,Protein folding / QC,2,"PROTEIN DEGRADATION, UBIQUITIN-MEDIATED E2 UB.-CONJUGATING ENZYME S0002466"
YEL012W,UBC8,Protein folding / QC,2,"PROTEIN DEGRADATION, UBIQUITIN-MEDIATED E2 UB.-CONJUGATING ENZYME S0000738"
YLL039C,UBI4,Protein folding / QC,2,"PROTEIN DEGRADATION, UBIQUITIN-MEDIATED UBIQUITIN S0003962"
