gene_id,tp,log2FC
GWK60_A00759,t0180,0
GWK60_A00759,t0240,1.2123822630442271
GWK60_A00759,t0360,1.2774639835556552
GWK60_A00759,t0480,1.5281929883863878
GWK60_A00825,t0015,0
GWK60_A00825,t0030,1.276584121827858
GWK60_A00825,t0045,0
GWK60_A00825,t0060,0
GWK60_A00825,t0090,-1.150654978936892
GWK60_A00825,t0120,-1.3307719939239966
GWK60_A00825,t0180,0
GWK60_A00825,t0240,0
GWK60_A00825,t0360,0
GWK60_A00825,t0480,0
GWK60_A00847,t0015,0
GWK60_A00847,t0030,0
GWK60_A00847,t0045,1.3831351421038658
GWK60_A00847,t0060,1.544058255744985
GWK60_A00847,t0090,1.288111068204714
GWK60_A00847,t0120,1.157313148031737
GWK60_A00847,t0180,1.219386511597053
GWK60_A00847,t0240,1.0717936243267765
GWK60_A00847,t0360,0
GWK60_A00847,t0480,0
GWK60_A00869,t0015,0
GWK60_A00869,t0030,0
GWK60_A00869,t0045,0
GWK60_A00869,t0060,-3.626596454805547
GWK60_A00869,t0090,-6.352674894136895
GWK60_A00869,t0120,-6.046748691144858
GWK60_A00869,t0180,-5.700319567304057
GWK60_A00869,t0240,-4.767172255578558
GWK60_A00869,t0360,-3.850913731656647
GWK60_A00869,t0480,-3.4925305638160253
GWK60_A00913,t0015,0
GWK60_A00913,t0030,0
GWK60_A00913,t0045,0
GWK60_A00913,t0060,0
GWK60_A00913,t0090,-1.0567524707535167
GWK60_A00913,t0120,0
GWK60_A00913,t0180,0
GWK60_A00913,t0240,0
GWK60_A00913,t0360,0
GWK60_A00913,t0480,0
GWK60_A00935,t0015,0
GWK60_A00935,t0030,0
GWK60_A00935,t0045,0
GWK60_A00935,t0060,0
GWK60_A00935,t0090,1.1798664345194023
GWK60_A00935,t0120,0
GWK60_A00935,t0180,0
GWK60_A00935,t0240,0
GWK60_A00935,t0360,0
GWK60_A00935,t0480,0
GWK60_A00957,t0015,0
GWK60_A00957,t0030,0
GWK60_A00957,t0045,0
GWK60_A00957,t0060,-1.2006183422759935
GWK60_A00957,t0090,-1.498241962029923
GWK60_A00957,t0120,-1.0441180206672347
GWK60_A00957,t0180,0
GWK60_A00957,t0240,0
GWK60_A00957,t0360,0
GWK60_A00957,t0480,0
GWK60_A00979,t0015,-1.3924985539250565
GWK60_A00979,t0030,-2.7191624626523354
GWK60_A00979,t0045,-1.5170242877138602
GWK60_A00979,t0060,0
GWK60_A00979,t0090,0
GWK60_A00979,t0120,0
GWK60_A00979,t0180,0
GWK60_A00979,t0240,0
GWK60_A00979,t0360,0
GWK60_A00979,t0480,0
GWK60_A01001,t0015,0
GWK60_A01001,t0030,1.0419145243640842
GWK60_A01001,t0045,1.6301611735612425
GWK60_A01001,t0060,2.521460169462334
GWK60_A01001,t0090,2.7715518629910667
GWK60_A01001,t0120,2.868270257232892
GWK60_A01001,t0180,2.127281329587933
GWK60_A01001,t0240,1.7649444006351829
GWK60_A01001,t0360,1.7208218246984244
GWK60_A01001,t0480,1.7619049379333234
GWK60_A01023,t0015,0
GWK60_A01023,t0030,0
GWK60_A01023,t0045,0
GWK60_A01023,t0060,1.0908271025835548
GWK60_A01023,t0090,1.246300774495457
GWK60_A01023,t0120,1.4022573312567077
GWK60_A01023,t0180,1.2240790407454691
GWK60_A01023,t0240,0
GWK60_A01023,t0360,0
GWK60_A01023,t0480,0
GWK60_A01045,t0015,0
GWK60_A01045,t0030,0
GWK60_A01045,t0045,0
GWK60_A01045,t0060,-1.3448648454878738
GWK60_A01045,t0090,-1.8853723926703283
GWK60_A01045,t0120,-1.565816286585045
GWK60_A01045,t0180,0
GWK60_A01045,t0240,0
GWK60_A01045,t0360,-1.0319128818843282
GWK60_A01045,t0480,-1.1430249901545622
GWK60_A01067,t0015,0
GWK60_A01067,t0030,0
GWK60_A01067,t0045,-1.2519491599126005
GWK60_A01067,t0060,-1.3558633485008005
GWK60_A01067,t0090,0
GWK60_A01067,t0120,0
GWK60_A01067,t0180,0
GWK60_A01067,t0240,0
GWK60_A01067,t0360,0
GWK60_A01067,t0480,0
GWK60_A01089,t0015,0
GWK60_A01089,t0030,0
GWK60_A01089,t0045,0
GWK60_A01089,t0060,0
GWK60_A01089,t0090,-1.2149765024355856
GWK60_A01089,t0120,0
GWK60_A01089,t0180,0
GWK60_A01089,t0240,0
GWK60_A01089,t0360,0
GWK60_A01089,t0480,0
GWK60_A01111,t0015,-1.6298640551407897
GWK60_A01111,t0030,-2.4543383068217777
GWK60_A01111,t0045,-1.5115552366542664
GWK60_A01111,t0060,-1.5910029465982711
GWK60_A01111,t0090,-1.1570127167735678
GWK60_A01111,t0120,-1.1851499718117176
GWK60_A01111,t0180,-1.165076373304005
GWK60_A01111,t0240,-1.157273984232404
GWK60_A01111,t0360,0
GWK60_A01111,t0480,0
GWK60_A01133,t0015,1.1105023247906616
GWK60_A01133,t0030,1.8115695970448429
GWK60_A01133,t0045,2.6660532833634476
GWK60_A01133,t0060,2.623709359483082
GWK60_A01133,t0090,2.400654871657727
GWK60_A01133,t0120,1.295410325424728
GWK60_A01133,t0180,-1.004104109332559
GWK60_A01133,t0240,-2.0510281129297616
GWK60_A01133,t0360,-2.5715238206437308
GWK60_A01133,t0480,-2.5286334553499836
GWK60_A01155,t0015,4.551247370207075
GWK60_A01155,t0030,5.842259208312754
GWK60_A01155,t0045,6.841304315211003
GWK60_A01155,t0060,7.134952048793254
GWK60_A01155,t0090,7.511688657897989
GWK60_A01155,t0120,7.396298219222526
GWK60_A01155,t0180,7.018205227522067
GWK60_A01155,t0240,7.164671155860543
GWK60_A01155,t0360,7.397225074250025
GWK60_A01155,t0480,7.71445822026163
GWK60_A01177,t0015,0
GWK60_A01177,t0030,0
GWK60_A01177,t0045,0
GWK60_A01177,t0060,0
GWK60_A01177,t0090,1.1467907773959314
GWK60_A01177,t0120,1.26384515115667
GWK60_A01177,t0180,1.5351551606059306
GWK60_A01177,t0240,1.5399784761875024
GWK60_A01177,t0360,1.9608323751495509
GWK60_A01177,t0480,2.2610239797260454
GWK60_A01199,t0015,0
GWK60_A01199,t0030,0
GWK60_A01199,t0045,1.0223062224048656
GWK60_A01199,t0060,1.4356421651077855
GWK60_A01199,t0090,1.3180631071911677
GWK60_A01199,t0120,1.241925568878444
GWK60_A01199,t0180,0
GWK60_A01199,t0240,1.0238773203972382
GWK60_A01199,t0360,1.0536679735513117
GWK60_A01199,t0480,1.0444061945282122
GWK60_A01221,t0015,0
GWK60_A01221,t0030,0
GWK60_A01221,t0045,1.4137100014274415
GWK60_A01221,t0060,2.2864664068466136
GWK60_A01221,t0090,2.923570823379892
GWK60_A01221,t0120,3.0016382735050713
GWK60_A01221,t0180,2.623085147340866
GWK60_A01221,t0240,2.504701736799527
GWK60_A01221,t0360,2.9412558270486815
GWK60_A01221,t0480,3.2821646211398385
GWK60_A01265,t0015,0
GWK60_A01265,t0030,0
GWK60_A01265,t0045,0
GWK60_A01265,t0060,-1.1756103309417536
GWK60_A01265,t0090,-1.6678394412482858
GWK60_A01265,t0120,-1.4230826316578158
GWK60_A01265,t0180,0
GWK60_A01265,t0240,0
GWK60_A01265,t0360,0
GWK60_A01265,t0480,0
GWK60_A01353,t0015,0
GWK60_A01353,t0030,0
GWK60_A01353,t0045,0
GWK60_A01353,t0060,-4.352437776215027
GWK60_A01353,t0090,-6.998581161378408
GWK60_A01353,t0120,-7.005352718420136
GWK60_A01353,t0180,-6.294973688342657
GWK60_A01353,t0240,-4.769448578012967
GWK60_A01353,t0360,-3.80944126078405
GWK60_A01353,t0480,-3.684284446495408
GWK60_A01375,t0015,0
GWK60_A01375,t0030,0
GWK60_A01375,t0045,0
GWK60_A01375,t0060,-2.3714642737546177
GWK60_A01375,t0090,-6.31297822031409
GWK60_A01375,t0120,-6.221158535778578
GWK60_A01375,t0180,-5.240826996129289
GWK60_A01375,t0240,-4.129644778041603
GWK60_A01375,t0360,-3.3507136164950477
GWK60_A01375,t0480,-3.219927169652097
GWK60_A01397,t0015,0
GWK60_A01397,t0030,0
GWK60_A01397,t0045,1.488995167028087
GWK60_A01397,t0060,2.0150276564010614
GWK60_A01397,t0090,3.071949241053689
GWK60_A01397,t0120,3.4894210918379778
GWK60_A01397,t0180,3.907429415451913
GWK60_A01397,t0240,3.788678144273777
GWK60_A01397,t0360,3.81923148238475
GWK60_A01397,t0480,4.276458954078461
GWK60_A01419,t0015,2.21978768237044
GWK60_A01419,t0030,1.69129777130535
GWK60_A01419,t0045,1.9968816450675932
GWK60_A01419,t0060,2.6335741132528123
GWK60_A01419,t0090,3.189016279336082
GWK60_A01419,t0120,3.515320548247274
GWK60_A01419,t0180,3.707341899905201
GWK60_A01419,t0240,3.667879973010417
GWK60_A01419,t0360,3.773295167337479
GWK60_A01419,t0480,4.1187138370523435
GWK60_A01441,t0015,1.046997194434423
GWK60_A01441,t0030,0
GWK60_A01441,t0045,0
GWK60_A01441,t0060,0
GWK60_A01441,t0090,0
GWK60_A01441,t0120,0
GWK60_A01441,t0180,0
GWK60_A01441,t0240,0
GWK60_A01441,t0360,0
GWK60_A01441,t0480,0
GWK60_A01463,t0015,0
GWK60_A01463,t0030,0
GWK60_A01463,t0045,1.6800032389410766
GWK60_A01463,t0060,2.740243714477648
GWK60_A01463,t0090,3.3229794277978044
GWK60_A01463,t0120,3.4336573381827136
GWK60_A01463,t0180,3.1462828950787483
GWK60_A01463,t0240,3.2455202837345865
GWK60_A01463,t0360,3.466619882827207
GWK60_A01463,t0480,3.907416999201154
GWK60_A01507,t0015,0
GWK60_A01507,t0030,0
GWK60_A01507,t0045,0
GWK60_A01507,t0060,0
GWK60_A01507,t0090,0
GWK60_A01507,t0120,1.0341725701992106
GWK60_A01507,t0180,0
GWK60_A01507,t0240,1.1592258510207496
GWK60_A01507,t0360,0
GWK60_A01507,t0480,1.194921761012196
GWK60_A01529,t0015,2.8731244798867124
GWK60_A01529,t0030,1.3843067631355774
GWK60_A01529,t0045,1.0522394752388569
GWK60_A01529,t0060,2.4270741023547187
GWK60_A01529,t0090,3.017074319318706
GWK60_A01529,t0120,3.023258054465122
GWK60_A01529,t0180,2.2626725165764423
GWK60_A01529,t0240,2.1550373355184465
GWK60_A01529,t0360,2.623257822466534
GWK60_A01529,t0480,2.6238275788078744
GWK60_A01573,t0015,0
GWK60_A01573,t0030,0
GWK60_A01573,t0045,0
GWK60_A01573,t0060,1.24087005376751
GWK60_A01573,t0090,0
GWK60_A01573,t0120,0
GWK60_A01573,t0180,0
GWK60_A01573,t0240,0
GWK60_A01573,t0360,0
GWK60_A01573,t0480,0
GWK60_A01595,t0015,0
GWK60_A01595,t0030,-1.4903736432773529
GWK60_A01595,t0045,0
GWK60_A01595,t0060,-1.5854336859488534
GWK60_A01595,t0090,-1.0157756670809102
GWK60_A01595,t0120,0
GWK60_A01595,t0180,0
GWK60_A01595,t0240,0
GWK60_A01595,t0360,-1.150613328841451
GWK60_A01595,t0480,0
GWK60_A01617,t0015,0
GWK60_A01617,t0030,0
GWK60_A01617,t0045,0
GWK60_A01617,t0060,-1.3459683236113464
GWK60_A01617,t0090,0
GWK60_A01617,t0120,0
GWK60_A01617,t0180,0
GWK60_A01617,t0240,0
GWK60_A01617,t0360,1.5785885273565547
GWK60_A01617,t0480,2.157991159711523
GWK60_A01639,t0015,0
GWK60_A01639,t0030,0
GWK60_A01639,t0045,0
GWK60_A01639,t0060,0
GWK60_A01639,t0090,3.056449416519098
GWK60_A01639,t0120,4.138121488931923
GWK60_A01639,t0180,5.008824258694746
GWK60_A01639,t0240,5.214937563967963
GWK60_A01639,t0360,5.857446616640058
GWK60_A01639,t0480,6.110186178473171
GWK60_A01683,t0015,0
GWK60_A01683,t0030,0
GWK60_A01683,t0045,0
GWK60_A01683,t0060,1.2131987421345125
GWK60_A01683,t0090,2.9981206720178086
GWK60_A01683,t0120,3.452596985080005
GWK60_A01683,t0180,3.3621749562750582
GWK60_A01683,t0240,3.167475516358295
GWK60_A01683,t0360,3.552290957271493
GWK60_A01683,t0480,3.9905839861791783
GWK60_A01771,t0015,0
GWK60_A01771,t0030,0
GWK60_A01771,t0045,0
GWK60_A01771,t0060,-2.0215413543997953
GWK60_A01771,t0090,-1.740170794650182
GWK60_A01771,t0120,-1.2110335260842642
GWK60_A01771,t0180,0
GWK60_A01771,t0240,0
GWK60_A01771,t0360,0
GWK60_A01771,t0480,0
GWK60_A01793,t0015,0
GWK60_A01793,t0030,0
GWK60_A01793,t0045,0
GWK60_A01793,t0060,1.0746087980942562
GWK60_A01793,t0090,0
GWK60_A01793,t0120,0
GWK60_A01793,t0180,0
GWK60_A01793,t0240,0
GWK60_A01793,t0360,0
GWK60_A01793,t0480,0
GWK60_A01815,t0015,1.0678318169933276
GWK60_A01815,t0030,-2.510196222616264
GWK60_A01815,t0045,-2.092975065913752
GWK60_A01815,t0060,1.8807873107803676
GWK60_A01815,t0090,3.148669841862454
GWK60_A01815,t0120,3.509256044508399
GWK60_A01815,t0180,3.0708757429898705
GWK60_A01815,t0240,2.954525003697996
GWK60_A01815,t0360,3.1594668334918903
GWK60_A01815,t0480,3.4832131365511985
GWK60_A01837,t0015,0
GWK60_A01837,t0030,-1.4061043357932652
GWK60_A01837,t0045,0
GWK60_A01837,t0060,0
GWK60_A01837,t0090,0
GWK60_A01837,t0120,0
GWK60_A01837,t0180,0
GWK60_A01837,t0240,0
GWK60_A01837,t0360,0
GWK60_A01837,t0480,0
GWK60_A01903,t0015,0
GWK60_A01903,t0030,0
GWK60_A01903,t0045,0
GWK60_A01903,t0060,-2.736238743542181
GWK60_A01903,t0090,-4.270333721485653
GWK60_A01903,t0120,-3.6609248053557506
GWK60_A01903,t0180,-2.7468826965306383
GWK60_A01903,t0240,-2.3370117409124616
GWK60_A01903,t0360,-2.331461753129122
GWK60_A01903,t0480,-2.5949930288763863
GWK60_A01925,t0015,0
GWK60_A01925,t0030,0
GWK60_A01925,t0045,0
GWK60_A01925,t0060,-2.1750953109772917
GWK60_A01925,t0090,-4.740673923578005
GWK60_A01925,t0120,-4.593061849514517
GWK60_A01925,t0180,-2.813476526417872
GWK60_A01925,t0240,-2.0746711015020813
GWK60_A01925,t0360,-1.851493745938569
GWK60_A01925,t0480,-2.1070168126452566
GWK60_A01947,t0015,0
GWK60_A01947,t0030,0
GWK60_A01947,t0045,1.1077902553824033
GWK60_A01947,t0060,0
GWK60_A01947,t0090,0
GWK60_A01947,t0120,0
GWK60_A01947,t0180,0
GWK60_A01947,t0240,0
GWK60_A01947,t0360,0
GWK60_A01947,t0480,0
GWK60_A01969,t0015,0
GWK60_A01969,t0030,0
GWK60_A01969,t0045,0
GWK60_A01969,t0060,2.0860040426589146
GWK60_A01969,t0090,3.844611551093679
GWK60_A01969,t0120,4.325479720917047
GWK60_A01969,t0180,4.11181696322233
GWK60_A01969,t0240,3.090550307078512
GWK60_A01969,t0360,2.423368788205722
GWK60_A01969,t0480,2.117243744136097
GWK60_A02013,t0015,0
GWK60_A02013,t0030,0
GWK60_A02013,t0045,0
GWK60_A02013,t0060,-1.724637868122418
GWK60_A02013,t0090,-2.7813717848136523
GWK60_A02013,t0120,-2.4640060884889783
GWK60_A02013,t0180,-1.50830813124062
GWK60_A02013,t0240,-1.1302043798076546
GWK60_A02013,t0360,-1.011836521155968
GWK60_A02013,t0480,-1.101508964856429
GWK60_A02035,t0015,0
GWK60_A02035,t0030,-2.765913154230147
GWK60_A02035,t0045,0
GWK60_A02035,t0060,0
GWK60_A02035,t0090,0
GWK60_A02035,t0120,0
GWK60_A02035,t0180,0
GWK60_A02035,t0240,-1.3202143812269806
GWK60_A02035,t0360,-1.8441964609649053
GWK60_A02035,t0480,-2.3571958558352923
GWK60_A02057,t0015,2.1314062187480105
GWK60_A02057,t0030,0
GWK60_A02057,t0045,2.791736071987483
GWK60_A02057,t0060,3.3638710694298086
GWK60_A02057,t0090,3.5694531606384583
GWK60_A02057,t0120,3.60755005622824
GWK60_A02057,t0180,2.648354541846767
GWK60_A02057,t0240,2.2165708560941755
GWK60_A02057,t0360,1.4527977658699067
GWK60_A02057,t0480,1.2057101305680176
GWK60_A02079,t0015,0
GWK60_A02079,t0030,0
GWK60_A02079,t0045,0
GWK60_A02079,t0060,0
GWK60_A02079,t0090,0
GWK60_A02079,t0120,0
GWK60_A02079,t0180,1.263576998332926
GWK60_A02079,t0240,1.255350485873341
GWK60_A02079,t0360,1.169899044550265
GWK60_A02079,t0480,1.334141357397174
GWK60_A02101,t0015,-1.9254119076366136
GWK60_A02101,t0030,-3.6149500400226393
GWK60_A02101,t0045,-3.3098879937865853
GWK60_A02101,t0060,-3.417686272275909
GWK60_A02101,t0090,-3.5044851371832357
GWK60_A02101,t0120,-3.326583966508188
GWK60_A02101,t0180,-3.090326960535616
GWK60_A02101,t0240,-2.9819030650455556
GWK60_A02101,t0360,-2.958996705864562
GWK60_A02101,t0480,-2.9481421329910056
GWK60_A02123,t0015,-1.174562909338282
GWK60_A02123,t0030,0
GWK60_A02123,t0045,-1.509948695884462
GWK60_A02123,t0060,-1.9657247046966724
GWK60_A02123,t0090,0
GWK60_A02123,t0120,0
GWK60_A02123,t0180,0
GWK60_A02123,t0240,0
GWK60_A02123,t0360,0
GWK60_A02123,t0480,0
GWK60_A02189,t0015,0
GWK60_A02189,t0030,0
GWK60_A02189,t0045,0
GWK60_A02189,t0060,1.259666016690894
GWK60_A02189,t0090,0
GWK60_A02189,t0120,0
GWK60_A02189,t0180,0
GWK60_A02189,t0240,0
GWK60_A02189,t0360,-1.201494620164652
GWK60_A02189,t0480,-1.2217920512360114
GWK60_A02277,t0015,0
GWK60_A02277,t0030,0
GWK60_A02277,t0045,0
GWK60_A02277,t0060,1.1511578412121903
GWK60_A02277,t0090,1.2763942165436692
GWK60_A02277,t0120,1.443681505423821
GWK60_A02277,t0180,1.379221744706324
GWK60_A02277,t0240,1.1017694062537746
GWK60_A02277,t0360,1.248404389530921
GWK60_A02277,t0480,0
GWK60_A02343,t0015,0
GWK60_A02343,t0030,0
GWK60_A02343,t0045,0
GWK60_A02343,t0060,0
GWK60_A02343,t0090,0
GWK60_A02343,t0120,0
GWK60_A02343,t0180,0
GWK60_A02343,t0240,-1.0021866802902153
GWK60_A02343,t0360,-1.150239717563798
GWK60_A02343,t0480,-1.2651976611443374
GWK60_A02365,t0015,0
GWK60_A02365,t0030,0
GWK60_A02365,t0045,0
GWK60_A02365,t0060,0
GWK60_A02365,t0090,-1.0407944660271502
GWK60_A02365,t0120,-1.1488259388186863
GWK60_A02365,t0180,-1.0306514967468363
GWK60_A02365,t0240,-1.1802700186392696
GWK60_A02365,t0360,-1.1144892244069686
GWK60_A02365,t0480,-1.3587414126733053
GWK60_A02387,t0015,0
GWK60_A02387,t0030,0
GWK60_A02387,t0045,0
GWK60_A02387,t0060,0
GWK60_A02387,t0090,0
GWK60_A02387,t0120,0
GWK60_A02387,t0180,0
GWK60_A02387,t0240,0
GWK60_A02387,t0360,0
GWK60_A02387,t0480,-1.2541160681218877
GWK60_A02409,t0015,0
GWK60_A02409,t0030,0
GWK60_A02409,t0045,0
GWK60_A02409,t0060,0
GWK60_A02409,t0090,-1.232402883780943
GWK60_A02409,t0120,0
GWK60_A02409,t0180,0
GWK60_A02409,t0240,0
GWK60_A02409,t0360,0
GWK60_A02409,t0480,0
GWK60_A02431,t0015,0
GWK60_A02431,t0030,0
GWK60_A02431,t0045,0
GWK60_A02431,t0060,0
GWK60_A02431,t0090,0
GWK60_A02431,t0120,0
GWK60_A02431,t0180,1.0468429728860569
GWK60_A02431,t0240,0
GWK60_A02431,t0360,0
GWK60_A02431,t0480,0
GWK60_A02497,t0015,0
GWK60_A02497,t0030,0
GWK60_A02497,t0045,0
GWK60_A02497,t0060,-1.602130796312188
GWK60_A02497,t0090,-1.6174267515481773
GWK60_A02497,t0120,-1.1534984909675554
GWK60_A02497,t0180,0
GWK60_A02497,t0240,0
GWK60_A02497,t0360,0
GWK60_A02497,t0480,-1.0423268191266044
GWK60_A02563,t0015,0
GWK60_A02563,t0030,0
GWK60_A02563,t0045,0
GWK60_A02563,t0060,0
GWK60_A02563,t0090,1.2543347983355428
GWK60_A02563,t0120,1.1785752336348023
GWK60_A02563,t0180,0
GWK60_A02563,t0240,0
GWK60_A02563,t0360,0
GWK60_A02563,t0480,0
GWK60_A02607,t0015,0
GWK60_A02607,t0030,0
GWK60_A02607,t0045,-1.2149706042081498
GWK60_A02607,t0060,-2.2637964382219913
GWK60_A02607,t0090,-1.5219607579846806
GWK60_A02607,t0120,-1.14315527540446
GWK60_A02607,t0180,0
GWK60_A02607,t0240,0
GWK60_A02607,t0360,0
GWK60_A02607,t0480,0
GWK60_A02629,t0015,0
GWK60_A02629,t0030,0
GWK60_A02629,t0045,0
GWK60_A02629,t0060,-1.5860414272635035
GWK60_A02629,t0090,-1.7577254787628416
GWK60_A02629,t0120,-1.5272007790587785
GWK60_A02629,t0180,-1.3789412309947495
GWK60_A02629,t0240,-1.1997850617206116
GWK60_A02629,t0360,-1.2761425301738725
GWK60_A02629,t0480,-1.4776140831622973
GWK60_A02651,t0015,0
GWK60_A02651,t0030,0
GWK60_A02651,t0045,-1.7079532204586547
GWK60_A02651,t0060,0
GWK60_A02651,t0090,0
GWK60_A02651,t0120,0
GWK60_A02651,t0180,0
GWK60_A02651,t0240,-1.0511573314663436
GWK60_A02651,t0360,-1.2666831283628477
GWK60_A02651,t0480,-1.2608109568294807
GWK60_A02673,t0015,0
GWK60_A02673,t0030,0
GWK60_A02673,t0045,0
GWK60_A02673,t0060,0
GWK60_A02673,t0090,0
GWK60_A02673,t0120,0
GWK60_A02673,t0180,1.0038428804897064
GWK60_A02673,t0240,1.0703700387476387
GWK60_A02673,t0360,1.2176462325540585
GWK60_A02673,t0480,1.3913084642847608
GWK60_A02717,t0015,0
GWK60_A02717,t0030,0
GWK60_A02717,t0045,0
GWK60_A02717,t0060,0
GWK60_A02717,t0090,1.550591726106076
GWK60_A02717,t0120,1.6202639769857876
GWK60_A02717,t0180,1.4401233887868037
GWK60_A02717,t0240,1.0105154174278312
GWK60_A02717,t0360,0
GWK60_A02717,t0480,0
GWK60_A02739,t0015,0
GWK60_A02739,t0030,0
