sample	id	path	group	time
Cgla.t0000	Cg.12	~/Desktop/EvoPhosphoOmics/alignments/star/quant/Cg/Cgla.rep2/Cg.12.salmon_quant/quant.sf	control	t0000
Cgla.t0030	Cg.13	~/Desktop/EvoPhosphoOmics/alignments/star/quant/Cg/Cgla.rep2/Cg.13.salmon_quant/quant.sf	Treatment	t0030
Cgla.t0060	Cg.14	~/Desktop/EvoPhosphoOmics/alignments/star/quant/Cg/Cgla.rep2/Cg.14.salmon_quant/quant.sf	Treatment	t0060
Cgla.t0090	Cg.15	~/Desktop/EvoPhosphoOmics/alignments/star/quant/Cg/Cgla.rep2/Cg.15.salmon_quant/quant.sf	Treatment	t0090
Cgla.t0120	Cg.16	~/Desktop/EvoPhosphoOmics/alignments/star/quant/Cg/Cgla.rep2/Cg.16.salmon_quant/quant.sf	Treatment	t0120
Cgla.t0150	Cg.17	~/Desktop/EvoPhosphoOmics/alignments/star/quant/Cg/Cgla.rep2/Cg.17.salmon_quant/quant.sf	Treatment	t0150
Cgla.t0180	Cg.18	~/Desktop/EvoPhosphoOmics/alignments/star/quant/Cg/Cgla.rep2/Cg.18.salmon_quant/quant.sf	Treatment	t0180
Cgla.t0210	Cg.19	~/Desktop/EvoPhosphoOmics/alignments/star/quant/Cg/Cgla.rep2/Cg.19.salmon_quant/quant.sf	Treatment	t0210
Cgla.t0240	Cg.20	~/Desktop/EvoPhosphoOmics/alignments/star/quant/Cg/Cgla.rep2/Cg.20.salmon_quant/quant.sf	Treatment	t0240
Cgla.t0360	Cg.21	~/Desktop/EvoPhosphoOmics/alignments/star/quant/Cg/Cgla.rep2/Cg.21.salmon_quant/quant.sf	Treatment	t0360
Cgla.t0480	Cg.22	~/Desktop/EvoPhosphoOmics/alignments/star/quant/Cg/Cgla.rep2/Cg.22.salmon_quant/quant.sf	Treatment	t0480
