tx	gene_id	Cgla.t0000.b1.L001	Cgla.t0000.b1.L002	Cgla.t0000.b4.L001	Cgla.t0000.b4.L002	Cgla.t0015.b1.L001	Cgla.t0015.b1.L002	Cgla.t0015.b2.L001	Cgla.t0015.b2.L002	Cgla.t0030.b1.L001	Cgla.t0030.b1.L002	Cgla.t0030.b2.L001	Cgla.t0030.b2.L002	Cgla.t0045.b1.L001	Cgla.t0045.b1.L002	Cgla.t0045.b2.L001	Cgla.t0045.b2.L002	Cgla.t0060.b1.L001	Cgla.t0060.b1.L002	Cgla.t0060.b2.L001	Cgla.t0060.b2.L002	Cgla.t0090.b1.L001	Cgla.t0090.b1.L002	Cgla.t0090.b2.L001	Cgla.t0090.b2.L002	Cgla.t0120.b1.L001	Cgla.t0120.b1.L002	Cgla.t0120.b2.L001	Cgla.t0120.b2.L002	Cgla.t0180.b1.L001	Cgla.t0180.b1.L002	Cgla.t0180.b2.L001	Cgla.t0180.b2.L002	Cgla.t0240.b1.L001	Cgla.t0240.b1.L002	Cgla.t0240.b2.L001	Cgla.t0240.b2.L002	Cgla.t0360.b1.L001	Cgla.t0360.b1.L002	Cgla.t0360.b2.L001	Cgla.t0360.b2.L002	Cgla.t0480.b1.L001	Cgla.t0480.b1.L002	Cgla.t0480.b2.L001	Cgla.t0480.b2.L002
rna-gnl|PRJNA600925|mrna.GWK60_I00847	gene-GWK60_I00847	38.668489	40.934912	39.955184	42.188506	43.393565	43.286742	39.473425	42.130767	40.692353	41.456065	41.222834	42.309396	41.707685	42.746149	45.824092	47.075674	43.235268	42.647694	48.262918	47.985686	40.931566	41.045548	42.540663	39.508094	42.446772	41.84981	42.189191	41.308256	44.667246	43.98745	46.841276	47.001252	47.171571	48.320177	47.808513	45.844241	46.481698	47.163868	46.743078	47.175139	48.695915	48.811633	45.974281	45.777369
rna-gnl|PRJNA600925|mrna.GWK60_I00869	gene-GWK60_I00869	92.87763	97.835164	80.406812	107.344049	92.209193	94.832297	105.494702	111.959379	79.015271	83.082622	86.836493	72.580549	79.611842	73.873895	79.203472	74.137485	79.027752	70.634017	75.016289	94.311804	64.044649	66.856382	78.492603	66.214932	76.582601	80.574139	81.492136	69.069017	123.166947	108.138472	92.966689	82.966703	117.261538	105.83383	84.303965	95.558233	98.282235	91.252648	85.624739	86.044222	95.58443	80.033736	100.55867	93.283256
rna-gnl|PRJNA600925|mrna.GWK60_I00891	gene-GWK60_I00891	29.598463	28.815769	29.786702	28.647453	35.822917	37.745411	37.130383	38.296453	31.290013	28.007451	27.838278	27.445299	25.901831	25.930829	28.406435	27.824868	23.198013	20.725196	24.835694	25.741186	24.741987	21.963835	22.057858	21.102609	25.325725	22.837159	22.466358	22.973647	25.631824	28.544895	27.228633	28.707465	27.187734	30.987422	27.089203	29.489303	25.022655	26.074613	25.604627	25.983148	23.628814	25.463804	22.006395	24.345901
rna-gnl|PRJNA600925|mrna.GWK60_I00913	gene-GWK60_I00913	133.190589	128.813234	121.679865	117.451683	95.964622	90.094505	95.041816	102.023123	69.263144	64.99209	69.101979	71.140998	93.41407	84.072248	96.2173	87.866511	98.160259	98.306783	85.468441	86.453472	91.274974	79.173654	81.105369	88.390287	90.957164	96.182787	98.872465	103.51357	141.422319	144.496494	127.91772	123.462402	141.481004	166.355552	140.01179	144.353905	153.955273	149.580873	147.052863	139.051839	136.164218	141.105294	155.594136	143.85798
rna-gnl|PRJNA600925|mrna.GWK60_I00935	gene-GWK60_I00935	99.70917	96.818658	87.719885	98.737934	114.717296	110.948385	125.491062	125.393465	211.266369	202.376906	224.796191	208.764502	82.361615	84.245284	82.197234	86.054657	21.136045	19.815192	20.37928	17.710635	24.383758	23.034788	23.968978	22.607701	39.296086	41.9854	35.644263	35.291884	76.507005	77.527182	62.490849	65.654155	77.328537	80.990111	83.358584	79.541323	87.177734	85.30358	80.700107	82.608439	78.058585	79.473396	81.578119	81.065729
rna-gnl|PRJNA600925|mrna.GWK60_I00957	gene-GWK60_I00957	32.218502	31.931366	31.341828	32.719979	11.794357	11.834314	11.275023	11.763356	10.970732	12.586497	10.882936	11.066504	14.007922	13.000151	14.654096	15.468965	21.197274	21.585269	24.272321	22.963414	33.40464	36.334215	35.101944	37.076673	42.910007	48.824375	52.312934	50.927181	57.239225	56.107844	66.931535	68.121657	76.668423	74.024159	72.384266	70.753287	76.324343	77.908751	76.31295	72.929097	80.433859	80.660669	73.117972	71.464754
rna-gnl|PRJNA600925|mrna.GWK60_I00979	gene-GWK60_I00979	55.484953	57.055536	56.621579	55.496863	48.647287	43.157002	47.477443	49.00636	41.679218	42.0652	43.81385	40.398975	32.177212	36.091908	33.264893	35.071994	25.922336	25.870455	21.977662	21.1418	16.504688	14.449399	15.978024	16.452242	25.223554	25.374324	24.768279	26.447978	40.395706	41.900763	45.788124	43.904387	47.472699	45.9605	50.845925	40.665154	43.156324	38.231692	44.560073	39.932118	28.896189	27.804762	28.414587	32.599422
rna-gnl|PRJNA600925|mrna.GWK60_I01001	gene-GWK60_I01001	92.188447	98.499072	82.974138	88.162786	103.161597	103.709749	108.70254	103.839064	91.192781	87.620853	90.222887	87.130579	142.133349	133.554964	115.047296	116.020421	119.03194	118.627233	109.972315	115.484828	61.578523	59.681795	67.91577	53.899813	49.733708	46.294087	61.087057	49.96695	56.284005	51.840117	37.609724	40.422541	44.443039	37.02443	50.61828	56.080174	41.479851	42.112949	39.246989	46.631621	41.944442	38.174719	31.90105	38.213142
rna-gnl|PRJNA600925|mrna.GWK60_I01023	gene-GWK60_I01023	58.887674	54.701898	53.096165	57.141885	62.622457	63.187909	66.528691	63.963108	110.127821	110.718794	110.093683	110.059575	44.976663	48.419172	42.205386	44.429574	6.071759	7.396665	7.011299	7.867486	8.295681	7.418627	7.835968	7.36173	14.282235	16.173419	16.814974	15.364728	42.042352	41.249234	37.710811	38.760202	44.532839	43.081122	53.352934	52.537947	48.735522	46.562139	50.859346	50.238372	38.190358	39.579226	33.476912	37.408339
rna-gnl|PRJNA600925|mrna.GWK60_I01045	gene-GWK60_I01045	43.076476	37.502668	38.539875	32.909342	182.308162	187.853412	170.805163	192.936398	47.213112	51.759334	44.892476	49.598163	89.938897	104.393733	96.11128	93.973149	208.692099	210.767641	187.173304	192.848714	297.464229	331.422356	319.683331	317.983252	441.585605	469.892555	450.677016	407.99503	586.954071	583.388058	606.640551	582.918037	614.75812	655.772281	815.340234	838.058091	965.004182	975.839732	1222.820183	1248.968297	1272.70609	1230.565365	1185.54223	1151.268532
