gene_id	gene_name	Cgla.t0000.b1.L001	Cgla.t0000.b1.L002	Cgla.t0000.b4.L001	Cgla.t0000.b4.L002	Cgla.t0015.b1.L001	Cgla.t0015.b1.L002	Cgla.t0015.b2.L001	Cgla.t0015.b2.L002	Cgla.t0030.b1.L001	Cgla.t0030.b1.L002	Cgla.t0030.b2.L001	Cgla.t0030.b2.L002	Cgla.t0045.b1.L001	Cgla.t0045.b1.L002	Cgla.t0045.b2.L001	Cgla.t0045.b2.L002	Cgla.t0060.b1.L001	Cgla.t0060.b1.L002	Cgla.t0060.b2.L001	Cgla.t0060.b2.L002	Cgla.t0090.b1.L001	Cgla.t0090.b1.L002	Cgla.t0090.b2.L001	Cgla.t0090.b2.L002	Cgla.t0120.b1.L001	Cgla.t0120.b1.L002	Cgla.t0120.b2.L001	Cgla.t0120.b2.L002	Cgla.t0180.b1.L001	Cgla.t0180.b1.L002	Cgla.t0180.b2.L001	Cgla.t0180.b2.L002	Cgla.t0240.b1.L001	Cgla.t0240.b1.L002	Cgla.t0240.b2.L001	Cgla.t0240.b2.L002	Cgla.t0360.b1.L001	Cgla.t0360.b1.L002	Cgla.t0360.b2.L001	Cgla.t0360.b2.L002	Cgla.t0480.b1.L001	Cgla.t0480.b1.L002	Cgla.t0480.b2.L001	Cgla.t0480.b2.L002
gene-GWK60_A00011	EPA19	0	0.0500830588754148	0	0	0	0	0	0	0	0	0	0.0483201421132219	0	0.0529403897023429	0.0539092616372125	0	0.060415023782679	0	0	0.0684309947355068	0	0.712155305797348	0	0	0	0	0	0	0.294708724061915	0.133420281220179	0	0	0	0	0	0	0	0	0	0.11961128501499	0	0	0.133829687066814	0
gene-GWK60_A00033	EPA24	2.12942933744816	1.41881163305574	1.95688090379022	0.3620701299652	0.377572435649806	0	0.734071575246669	0	0	0	0	0	0.374431559440379	0	0.380574004780321	0	0.814546782833091	0	5.7066839237206	0.547777982233014	2.73488511095653	0	0.443827977352169	1.78071228830451	1.24487706361504	0.83191317890014	0.434868182735696	2.17328410025749	4.2257454971743	6.09174573339992	0	1.47015586363252	2.80911276476609	5.33843245938549	1.95091046665795	6.22902522201841	4.20341915225059	5.32971376345179	3.31614414292609	6.00399457242723	5.65360243091293	8.3727596763116	10.6824238688112	9.62185038357759
gene-GWK60_A00055	GWK60_A00055	103.088903883896	113.621032280943	103.204245749884	72.7465520480641	72.850570600549	80.6268259579637	94.0834641377522	88.4607314599494	125.132117197417	123.152385647978	108.87219836377	125.339599317482	112.813349195361	111.628088506946	88.2192853706384	80.3504854123861	148.156189252911	126.908771823868	139.384120785252	123.582398360984	220.517575709732	216.436767014688	164.541543021177	197.705561241737	276.51609373268	309.883834749767	285.920343354514	329.763026161404	644.978904788167	665.149865744026	285.045049729617	314.813801058315	542.768085521939	526.792286993565	488.089784295326	447.516807649153	701.301302098694	714.238777480855	602.756281650757	542.325748275059	690.297828536688	703.249389533283	1257.82466450641	1323.73127117413
gene-GWK60_A00077	GWK60_A00077	322.840196826425	313.178519808318	284.04066367678	290.301231008411	317.119957701938	358.214272330171	328.522034119543	323.961444796559	236.630704233235	239.229653679237	220.875186142316	206.377702811579	407.954460029778	415.441727622927	344.540121459185	353.201866052634	510.255493403531	560.351887489588	611.126116994466	597.79443889769	772.65838040273	738.943682286161	646.739207272713	599.543659856363	739.698262272299	683.034282511878	784.945201276578	780.954391242327	888.02270976334	896.251992094164	575.951369177959	577.40893084103	682.469334037934	660.512948844422	599.802107610599	602.074906341981	704.195794169652	723.62939723512	592.206852128636	602.219533421246	664.65818036415	647.008851245657	973.87753209143	991.185932917915
gene-GWK60_A00099	GWK60_A00099	1773.85812893958	1704.54876975888	1621.45962907849	1650.1985025499	1355.8131258302	1373.32371193446	1204.70209570989	1199.63702125469	1271.60531278881	1297.77863069581	1105.5050147723	1123.70961871444	1610.34291023003	1632.64813443716	1405.81955849151	1387.09086365212	1394.70086064209	1386.51223644387	1708.31958916245	1613.77163209922	1500.79304668476	1461.26719322722	1176.10943832928	1137.28619239455	1151.85551277143	1130.39321324113	1249.72560365728	1242.80907484287	1433.74486947157	1338.89026942051	831.052210229604	833.419083564261	1009.20179185462	930.825587492043	865.286957730295	826.255632869723	874.556032326857	877.597863197004	794.533880659249	776.478180958413	694.393772264301	693.45735767267	1083.6796904486	1080.36184960422
gene-GWK60_A00121	GWK60_A00121	221.021668356953	210.970836323498	221.194029242694	195.064303648798	203.214536033209	191.993870090476	187.538583530147	172.869164590944	250.098017016165	268.697997878799	227.499220237628	222.015377499585	284.01208399725	260.361905589453	229.461607445055	255.466483014634	204.858881279782	218.169676238534	274.686683013359	264.53401388599	241.486306749659	248.734045311232	189.44975195859	182.673565161557	121.559252026584	134.990937851861	119.102896793133	117.142693730118	351.735288763453	348.055129525241	230.892973108817	227.647312349008	300.083312464521	278.736126695719	252.983182720438	223.994900970825	257.83810752162	276.178920100129	263.773134614087	238.237997822193	181.791181775148	187.206128011274	287.433469876454	285.9954501237
gene-GWK60_A00143	GWK60_A00143	1630.41415751495	1431.28309842975	1446.56291689157	1355.75889910972	1310.35589853494	1396.54137611185	1327.6082527656	1289.82841390022	1487.109071452	1382.14861532997	1419.95301459421	1509.91510584631	1773.59946205688	1574.23151459729	1344.59829648955	1386.95007644462	1600.4316761512	1489.21817738684	1863.95509113143	1767.72381652658	1739.59031203185	1697.64208138538	1387.68367245624	1385.68017339212	1600.18448043458	1503.81788062837	1773.12400574234	1667.52543401573	1806.0672056917	1639.26455360682	1303.63442667942	1220.95967969185	1552.97573653317	1538.91394249349	1521.57242952619	1463.38873007294	1732.17644170968	1689.93004294305	1499.13213182318	1484.60065523875	1384.0320601867	1383.79563049978	2174.9550338206	2256.04179402032
gene-GWK60_A00165	GWK60_A00165	1074.34107821206	1033.85244612756	922.654196908787	936.975452964764	1191.71437124423	1139.34901078643	1089.1166527044	1006.8039101179	1143.66757250098	1089.7346025543	1064.68509946442	1017.06662541222	1232.21114239407	1213.58386187947	1052.23584919651	1120.12020540222	1144.30369141267	1095.28685989739	1204.81023579244	1207.20657331898	1103.25169197679	1121.62630181691	855.040905960781	856.172947993436	1075.49058828989	985.919139830027	991.652903821435	1039.39939737366	1460.39246367667	1483.97195976924	915.906431739637	846.578976877013	1136.5660807314	1066.04367955616	1005.78637989521	1030.63952878278	1314.10119663327	1225.61413177574	958.877309080617	984.552978356842	951.616848643678	924.997623500405	1580.9753685242	1494.34197356756
gene-GWK60_A00187	GWK60_A00187	811.162382439323	866.736614524034	835.171963767824	752.536908893363	592.447097044872	622.098412504982	520.469739267149	529.184626493192	542.358205698038	508.804620049171	462.428182100375	448.313483759481	829.750887591325	814.80544494934	701.886404591587	723.005101399209	963.651117743706	1112.20464559172	1203.05866725616	1236.273289462	1028.91547795522	1092.57563880211	889.267229630557	846.674420273125	985.078420469691	1007.46169720097	1191.41839062105	1176.44159215183	1075.76277683511	1024.5282593702	863.957514310509	804.761220885882	897.391307409763	873.55350059286	885.354945488768	934.448806866561	889.36992771222	1019.23058986826	838.869066661002	892.643027942551	767.837853295274	798.88779353462	1317.87951480756	1358.21527338317
gene-GWK60_A00209	GWK60_A00209	254.418133863293	261.391806567458	222.380753753688	251.834075583977	161.329061750904	180.78556567884	156.028264281812	135.896933401232	166.963724647081	151.674080044608	153.748520628964	168.43903543054	146.725474654167	169.241910795516	127.722091045076	121.980209009099	140.632756051343	153.464253147559	220.910781848238	179.225377714024	234.173575119793	207.183307584754	181.01525442157	175.693613203808	247.845403524717	233.658084992921	287.559926564252	266.252251614863	413.072890551245	473.160504899635	219.630926750154	246.383373871981	314.773677808839	344.142531208315	287.948620493717	276.6188265889	354.05335615241	346.482274676241	278.765203260786	276.424122441274	305.830350287099	277.674354756045	490.240920748914	469.108863380715
