gene_id	gene_name	Cgla.t0000.b1.L001	Cgla.t0000.b1.L002	Cgla.t0000.b4.L001	Cgla.t0000.b4.L002	Cgla.t0015.b1.L001	Cgla.t0015.b1.L002	Cgla.t0015.b2.L001	Cgla.t0015.b2.L002	Cgla.t0030.b1.L001	Cgla.t0030.b1.L002	Cgla.t0030.b2.L001	Cgla.t0030.b2.L002	Cgla.t0045.b1.L001	Cgla.t0045.b1.L002	Cgla.t0045.b2.L001	Cgla.t0045.b2.L002	Cgla.t0060.b1.L001	Cgla.t0060.b1.L002	Cgla.t0060.b2.L001	Cgla.t0060.b2.L002	Cgla.t0090.b1.L001	Cgla.t0090.b1.L002	Cgla.t0090.b2.L001	Cgla.t0090.b2.L002	Cgla.t0120.b1.L001	Cgla.t0120.b1.L002	Cgla.t0120.b2.L001	Cgla.t0120.b2.L002	Cgla.t0180.b1.L001	Cgla.t0180.b1.L002	Cgla.t0180.b2.L001	Cgla.t0180.b2.L002	Cgla.t0240.b1.L001	Cgla.t0240.b1.L002	Cgla.t0240.b2.L001	Cgla.t0240.b2.L002	Cgla.t0360.b1.L001	Cgla.t0360.b1.L002	Cgla.t0360.b2.L001	Cgla.t0360.b2.L002	Cgla.t0480.b1.L001	Cgla.t0480.b1.L002	Cgla.t0480.b2.L001	Cgla.t0480.b2.L002
gene-GWK60_A00011	EPA19	0	0.991336518060215	0	0	0	0	0	0	0	0	0	1.05093548309542	0	0.99630719891835	0.999872135291542	0	1.00079209043111	0	0	1.10272887168453	0	11.2691265154342	0	0	0	0	0	0	4.85880906049167	2.20004990600335	0	0	0	0	0	0	0	0	0	1.97763229019227	0	0	2.30352029446639	0
gene-GWK60_A00033	EPA24	5.96481122644162	3.97736700283144	5.37002386852128	0.993248220344042	1.00071854972452	0	1.99561390195824	0	0	0	0	0	0.997504492314964	0	0.99967969114708	0	1.91097767460392	0	13.0113182016191	1.25014713912107	6.12611664436033	0	0.996853946940966	3.99330031218431	2.87674436471473	1.92151531132458	0.999605305480719	4.99774374246237	9.86690268684871	14.226337766495	0	3.39872527081471	6.54981936455117	12.4315650764688	4.60296469595628	14.6919940229604	10.1778157056618	12.9189898343902	7.78217722035653	14.0589972638518	13.3641997547498	19.8105880517288	26.0405440730413	23.4773965117902
gene-GWK60_A00055	GWK60_A00055	97.1802475236526	107.191973011341	95.3107733531399	67.1599122512605	64.9796300917745	71.9529008873806	86.0763853399427	81.0104867254202	125.934838570132	123.916437831737	112.975987824001	129.929997497547	101.142926304877	100.127390537886	77.9862239899776	70.9360186926208	116.974712897019	99.8739571984485	106.950639907992	94.917389878665	166.234818116303	163.237469564172	124.372691159822	149.207175939019	215.0442463341	240.878132300616	221.18139051185	255.206686931095	506.822196132374	522.761341751039	222.262064646845	244.928347105032	425.899432599587	412.842188158058	387.554363990219	355.224255723444	571.464343200985	582.640546868004	476.0384914633	427.372809612475	549.144715873897	559.977675706925	1031.88895115906	1086.9855537592
gene-GWK60_A00077	GWK60_A00077	980.891025064009	952.275431379087	845.457977537681	863.80091935707	911.664261788198	1030.33560654049	968.729004564324	956.205243714532	767.565191747851	775.83288022051	738.725621302384	689.526529876999	1178.83707418919	1201.0376006796	981.660323847256	1005.00534842823	1298.45515968443	1421.30909207262	1511.36029944997	1479.81735679327	1877.29870715725	1796.25187579569	1575.59913749285	1458.3397648198	1854.08265454382	1711.22861581184	1957.08615469938	1947.97258017576	2249.06116571927	2270.28912412876	1447.45387950828	1447.89098458963	1726.00869073235	1668.37271284605	1534.99858508118	1540.31969051567	1849.46023339842	1902.56962757083	1507.44276501902	1529.56726438579	1704.18106050964	1660.49912152719	2575.04178562994	2623.2890836426
gene-GWK60_A00099	GWK60_A00099	5155.73992865627	4958.14252011407	4616.96529356725	4697.20955126469	3728.63740163669	3778.74602970747	3398.25862500734	3387.24504181411	3945.80366038295	4026.175952864	3537.00694469603	3591.54462550653	4451.42876705172	4515.21096679285	3831.68659024952	3775.62851060172	3395.15259553207	3364.2662895521	4041.52480776512	3821.53010562013	3488.23417531365	3398.00873126759	2740.96343343116	2646.34603579777	2761.92232064403	2709.15613682034	2980.74095931507	2965.51787438617	3473.66580426334	3244.40440264914	1997.95724588302	1999.19321818034	2441.61290407005	2249.15309171923	2118.35680329666	2022.15171362556	2197.24342007866	2207.28736374497	1934.722966013	1886.60925647074	1703.18631724202	1702.50011830656	2741.06813263522	2735.26383902619
gene-GWK60_A00121	GWK60_A00121	707.463320656328	675.81675552593	693.618751352658	611.474716237324	615.46313323727	581.780424196101	582.591775461516	537.540566951149	854.654023999405	918.022907099658	801.589581417896	781.460769402615	864.599215084103	792.975643165254	688.759156366797	765.799768469109	549.19930903691	582.985831636432	715.666500558312	689.880208484836	618.122125293867	636.981831674769	486.235320793967	468.111732317354	320.995119742	356.29199467309	312.844733375299	307.828121919846	938.488714717148	928.827341979393	611.31570553256	601.382536298815	799.535220286572	741.721590396961	682.067823222985	603.718369643443	713.402445306947	764.981271754085	707.349224985304	637.47137911461	491.050447381184	506.156020583634	800.669324395115	797.418054144462
gene-GWK60_A00143	GWK60_A00143	1136.57750152069	998.536892350902	987.908665709851	925.582655966502	864.308100142938	921.632094628239	898.205485420001	873.489509237243	1106.76383119617	1028.43268916293	1089.62778049231	1157.46720873651	1175.88705252915	1044.19846484753	878.985988432954	905.470221550903	934.424820107127	866.670438479136	1057.64658176799	1004.0113425276	969.752262973637	946.825587450181	775.666405797844	773.337136495571	920.264155055646	864.427821181633	1014.32627395985	954.327842623487	1049.49182728261	952.726055119227	751.696797789737	702.460080374624	901.140412791012	891.854557824464	893.430104444721	858.989798720267	1043.78645831457	1019.43853090323	875.538556548115	865.149875955557	814.200735334818	814.832500208559	1319.46591711682	1369.95443523068
gene-GWK60_A00165	GWK60_A00165	951.446117161219	916.3007272575	800.496298880822	812.64685111359	998.601907199959	955.215721512585	936.097439733292	866.186770656451	1081.31652950706	1030.10802404753	1037.92570701249	990.4817295294	1037.85358795792	1022.64556688729	873.863075270942	929.006759623414	848.768836237593	809.775124636784	868.489702501242	871.057243994946	781.320686312799	794.717795831418	607.172783029348	607.027356892759	785.760088646657	719.97213570262	720.674495566156	755.698374248831	1078.09153632686	1095.68467811127	670.932589231516	618.769224980259	837.844429435531	784.866153022093	750.264851931838	768.556844688857	1005.97975454907	939.262485382113	711.441679043729	728.889495886678	711.194455149183	691.955083435595	1218.46735195622	1152.78913991666
gene-GWK60_A00187	GWK60_A00187	477.006066260816	510.082822502293	481.138773936013	433.386653060326	329.643012123329	346.320228044769	297.040882621803	302.306827245839	340.497034136102	319.364881957333	299.339114645564	289.903160690359	464.05853925988	455.914446152369	387.053686915667	398.171056805533	474.615633594245	546.003394149484	575.846742949061	592.316287438172	483.847503570343	514.032229301525	419.306674435588	398.599991338915	477.89032750829	488.514004279402	574.933808807953	567.950493213426	527.322922003678	502.293917649929	420.236962283595	390.573119574139	439.26301437628	427.055375724716	438.531053399948	462.699251432328	452.08172761035	518.656410367431	413.280130829032	438.807965068821	381.039361888204	396.823292604577	674.432646038621	695.732954157884
gene-GWK60_A00209	GWK60_A00209	496.908819949798	510.926075796978	425.504532669914	481.697911836903	298.139451869321	334.268198445527	295.758041917803	257.847506362655	348.14630091748	316.198659445479	330.554188310771	361.764908333069	272.548068536904	314.521177976378	233.928394999382	223.115756785499	230.049471855489	250.224834345066	351.196002396931	285.201125948728	365.745703589678	323.74728982617	283.483120449676	274.719421168504	399.347386627159	376.306595383998	460.886996400865	426.919451217003	672.510970534331	770.468710683195	354.819842562949	397.154282798518	511.745143692134	558.786076258774	473.707738508091	454.922649994276	597.744751450878	585.599726022508	456.143458412842	451.320610500399	504.07301375484	458.099359671106	833.268527246885	798.10521016939
