gene_id,tp,log2FC
KLLA0_A00264g,t0120,0
KLLA0_A00264g,t0150,0
KLLA0_A00264g,t0180,0
KLLA0_A00264g,t0210,0
KLLA0_A00264g,t0240,0
KLLA0_A00264g,t0360,0
KLLA0_A00264g,t0480,0
KLLA0_A00352g,t0015,0
KLLA0_A00352g,t0030,0
KLLA0_A00352g,t0045,1.04769835287975
KLLA0_A00352g,t0060,1.5039633286033742
KLLA0_A00352g,t0090,1.8219227327907168
KLLA0_A00352g,t0120,1.5577133862161774
KLLA0_A00352g,t0150,1.1693681116064918
KLLA0_A00352g,t0180,1.104323639542441
KLLA0_A00352g,t0210,0
KLLA0_A00352g,t0240,0
KLLA0_A00352g,t0360,0
KLLA0_A00352g,t0480,0
KLLA0_A00374g,t0015,0
KLLA0_A00374g,t0030,0
KLLA0_A00374g,t0045,1.06413618439444
KLLA0_A00374g,t0060,1.5790452722034285
KLLA0_A00374g,t0090,1.741797562926552
KLLA0_A00374g,t0120,1.3594987118762114
KLLA0_A00374g,t0150,0
KLLA0_A00374g,t0180,0
KLLA0_A00374g,t0210,0
KLLA0_A00374g,t0240,0
KLLA0_A00374g,t0360,0
KLLA0_A00374g,t0480,0
KLLA0_A00396g,t0015,0
KLLA0_A00396g,t0030,-1.2841994242578108
KLLA0_A00396g,t0045,0
KLLA0_A00396g,t0060,0
KLLA0_A00396g,t0090,0
KLLA0_A00396g,t0120,0
KLLA0_A00396g,t0150,0
KLLA0_A00396g,t0180,0
KLLA0_A00396g,t0210,0
KLLA0_A00396g,t0240,0
KLLA0_A00396g,t0360,0
KLLA0_A00396g,t0480,0
KLLA0_A00418g,t0015,-1.749555325934254
KLLA0_A00418g,t0030,-2.719780185688892
KLLA0_A00418g,t0045,-2.289609173768376
KLLA0_A00418g,t0060,-1.6356589549549383
KLLA0_A00418g,t0090,-1.529351421396135
KLLA0_A00418g,t0120,-1.6463558457046412
KLLA0_A00418g,t0150,-1.5876557381759415
KLLA0_A00418g,t0180,-1.5255845505333927
KLLA0_A00418g,t0210,-1.5850797559003913
KLLA0_A00418g,t0240,-1.538898529916506
KLLA0_A00418g,t0360,-1.812600658349598
KLLA0_A00418g,t0480,-2.0253813081379195
KLLA0_A00462g,t0015,0
KLLA0_A00462g,t0030,-2.2397871417945105
KLLA0_A00462g,t0045,0
KLLA0_A00462g,t0060,0
KLLA0_A00462g,t0090,0
KLLA0_A00462g,t0120,0
KLLA0_A00462g,t0150,0
KLLA0_A00462g,t0180,0
KLLA0_A00462g,t0210,0
KLLA0_A00462g,t0240,0
KLLA0_A00462g,t0360,0
KLLA0_A00462g,t0480,0
KLLA0_A00484g,t0015,-1.6054823782771923
KLLA0_A00484g,t0030,-3.330188565574444
KLLA0_A00484g,t0045,-2.1834066386604825
KLLA0_A00484g,t0060,-1.5431602081756923
KLLA0_A00484g,t0090,0
KLLA0_A00484g,t0120,0
KLLA0_A00484g,t0150,0
KLLA0_A00484g,t0180,0
KLLA0_A00484g,t0210,0
KLLA0_A00484g,t0240,0
KLLA0_A00484g,t0360,0
KLLA0_A00484g,t0480,0
KLLA0_A00506g,t0015,0
KLLA0_A00506g,t0030,-1.9594572116152529
KLLA0_A00506g,t0045,-2.4826650994141777
KLLA0_A00506g,t0060,-1.1123314218194422
KLLA0_A00506g,t0090,0
KLLA0_A00506g,t0120,0
