gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
gene-YBL026W,207,221,209,202
gene-YBL027W,13508,16459,23167,21588
gene-YBL028C,91,107,477,539
gene-YBL029C-A,153,208,85,88
gene-YBL029W,567,606,333,308
gene-YBL030C,12899,15293,5361,5086
gene-YBL031W,322,348,345,314
gene-YBL032W,2220,2394,2497,2194
gene-YBL033C,1319,1261,645,583
gene-YBL034C,651,633,750,649
gene-YBL035C,247,274,849,709
gene-YBL036C,1181,1243,1219,1148
gene-YBL037W,1198,1238,820,743
gene-YBL038W,806,1012,453,385
gene-YBL039C,355,401,5359,4864
gene-YBL039W-B,16,29,7,4
gene-YBL040C,1309,1470,1053,996
gene-YBL041W,4566,4588,2604,2529
gene-YBL042C,1313,1097,1559,1389
gene-YBL043W,41,24,30,29
gene-YBL044W,4,7,6,6
gene-YBL045C,5681,6293,3150,2854
gene-YBL046W,958,1046,776,738
gene-YBL047C,8040,8094,4445,3779
gene-YBL048W,51,51,45,31
gene-YBL049W,85,111,61,56
gene-YBL050W,2512,2536,1300,1265
gene-YBL051C,2391,2375,2237,1887
gene-YBL052C,1137,1233,1708,1604
gene-YBL054W,44,47,751,724
gene-YBL055C,514,614,701,689
gene-YBL056W,5125,5352,2845,2695
gene-YBL057C,935,978,721,823
gene-YBL058W,7594,7464,2995,2821
gene-YBL059C-A,274,273,109,96
gene-YBL059W,177,210,124,118
gene-YBL060W,533,490,507,427
gene-YBL061C,1487,1364,1742,1614
gene-YBL063W,860,894,737,665
gene-YBL064C,6286,6109,632,642
gene-YBL066C,719,768,601,547
gene-YBL067C,1528,1476,1259,1114
gene-YBL068W,547,531,1092,1073
gene-YBL069W,647,726,777,714
gene-YBL071C,69,81,105,98
gene-YBL071C-B,0,0,0,0
gene-YBL071W-A,50,46,93,79
gene-YBL072C,18280,21682,25839,24064
gene-YBL074C,204,217,177,140
gene-YBL075C,1601,1474,607,516
gene-YBL076C,9528,10231,17146,15554
gene-YBL078C,723,720,97,73
gene-YBL079W,2064,2093,2699,2362
gene-YBL080C,690,722,322,328
gene-YBL081W,319,346,712,607
gene-YBL082C,814,826,1221,1110
gene-YBL084C,1367,1160,699,658
gene-YBL085W,2549,2806,2058,1841
gene-YBL086C,1688,1929,728,701
gene-YBL087C,5094,5868,8871,8296
gene-YBL088C,958,904,1166,897
gene-YBL089W,678,696,457,460
gene-YBL090W,668,679,332,300
gene-YBL091C,7180,7553,5636,4934
gene-YBL091C-A,676,655,278,262
gene-YBL092W,12011,13207,18119,17883
gene-YBL093C,833,859,762,733
gene-YBL095W,402,463,374,370
gene-YBL097W,361,357,520,447
gene-YBL098W,540,606,505,502
gene-YBL099W,14996,17091,9257,8227
gene-YBL100W-A,0,0,0,0
gene-YBL100W-B,704,701,496,418
gene-YBL100W-C,0,0,1,0
gene-YBL101C,2220,2304,840,648
gene-YBL102W,2018,2062,1132,1087
gene-YBL103C,960,977,660,619
gene-YBL104C,797,816,928,780
gene-YBL105C,2801,2902,2148,2100
gene-YBL106C,625,579,644,586
gene-YBL107C,712,776,443,455
gene-YBL108C-A,0,0,0,0
gene-YBL111C,106,122,128,0
gene-YBL112C,51,43,39,27
gene-YBL113C,1083,1232,955,713
gene-YBR001C,5302,5294,873,765
gene-YBR002C,650,717,934,974
gene-YBR003W,2277,2367,891,866
gene-YBR004C,433,465,577,500
gene-YBR005W,556,512,229,231
gene-YBR006W,2793,2802,521,513
gene-YBR007C,561,583,642,566
gene-YBR008C,421,447,502,420
gene-YBR009C,3745,4436,5097,5299
gene-YBR010W,3583,4208,5643,5302
gene-YBR011C,17176,18115,16770,15106
gene-YBR012W-A,0,0,0,0
gene-YBR012W-B,832,596,646,726
gene-YBR013C,180,199,56,70
gene-YBR014C,1994,1932,751,695
gene-YBR015C,3639,3724,3767,3463
gene-YBR016W,1143,1077,429,415
gene-YBR017C,2952,2986,3150,2929
gene-YBR018C,152,154,44,31
gene-YBR019C,167,159,94,69
gene-YBR020W,169,172,153,102
gene-YBR021W,630,619,692,660
gene-YBR022W,341,322,216,194
gene-YBR023C,2302,2301,2757,2311
gene-YBR024W,863,922,346,329
gene-YBR025C,8254,8979,12227,11197
gene-YBR026C,5524,5649,1486,1411
gene-YBR027C,0,3,0,0
gene-YBR028C,1089,1130,997,899
gene-YBR029C,2352,2671,3006,2760
gene-YBR030W,596,679,1118,960
gene-YBR031W,26996,32960,49708,43250
gene-YBR032W,9,12,13,11
gene-YBR033W,364,351,255,204
gene-YBR034C,385,476,2085,1995
gene-YBR035C,4145,4438,1849,1855
gene-YBR036C,3103,3335,2290,2008
gene-YBR037C,1087,1272,288,328
gene-YBR038W,1819,1969,1346,1206
gene-YBR039W,4538,5237,3126,2754
gene-YBR040W,10,12,56,70
gene-YBR041W,3028,3116,1998,1799
gene-YBR042C,840,864,965,901
gene-YBR043C,1169,1170,1631,1409
gene-YBR044C,1106,1171,630,646
gene-YBR045C,455,469,133,109
gene-YBR046C,3560,3546,397,439
gene-YBR047W,169,148,65,66
gene-YBR048W,6613,7892,10369,9512
gene-YBR049C,2303,2149,1705,1466
gene-YBR050C,133,140,41,31
gene-YBR052C,8250,8803,1737,1608
gene-YBR053C,4175,4292,1068,1036
gene-YBR054W,1817,1689,2408,2204
gene-YBR055C,1049,1118,1184,1087
gene-YBR056W,7182,7589,1541,1487
gene-YBR056W-A,11,16,15,13
gene-YBR057C,1118,1204,783,698
gene-YBR058C,1771,1688,1667,1391
gene-YBR058C-A,315,384,303,276
gene-YBR059C,5336,5266,2334,2007
gene-YBR060C,855,901,929,836
gene-YBR061C,355,338,777,720
gene-YBR062C,1010,953,364,340
gene-YBR063C,534,519,538,493
gene-YBR065C,365,373,410,401
gene-YBR066C,318,330,252,264
gene-YBR067C,7263,8523,4618,4052
gene-YBR068C,4334,4162,5379,4849
gene-YBR069C,209,219,737,749
gene-YBR070C,306,389,422,421
gene-YBR071W,315,346,511,458
gene-YBR072C-A,0,0,0,0
gene-YBR072W,3793,3414,102,85
gene-YBR073W,1364,1439,2727,2587
gene-YBR074W,1782,1957,2289,2143
gene-YBR076W,72,74,54,30
gene-YBR077C,344,394,196,213
gene-YBR078W,9925,11285,18085,15270
gene-YBR079C,5341,5096,9188,8055
gene-YBR080C,3535,3696,2517,2209
gene-YBR081C,1911,1915,1733,1471
gene-YBR082C,5071,5115,2974,2702
gene-YBR083W,3193,3253,1661,1526
gene-YBR084C-A,12251,14091,18566,17627
gene-YBR084W,2228,2324,8019,7417
gene-YBR085C-A,2439,2372,170,138
gene-YBR085W,148,197,270,238
gene-YBR086C,8165,8521,7226,6230
gene-YBR087W,639,678,838,796
gene-YBR088C,573,742,1988,1939
gene-YBR089C-A,1516,1721,523,538
gene-YBR090C,343,342,91,92
gene-YBR091C,113,116,74,108
gene-YBR092C,1768,1890,6773,6196
gene-YBR093C,467,493,488,450
gene-YBR094W,1302,1261,1041,953
gene-YBR095C,603,574,524,516
gene-YBR096W,1841,1809,1077,1028
gene-YBR097W,803,816,596,560
gene-YBR098W,419,406,369,360
gene-YBR101C,1461,1564,912,799
gene-YBR102C,1241,1151,914,896
gene-YBR103W,1220,1160,923,788
gene-YBR104W,335,282,1005,978
gene-YBR105C,1535,1525,460,425
gene-YBR106W,4603,5135,6231,5811
gene-YBR107C,364,394,277,241
gene-YBR108W,1777,1780,724,704
gene-YBR109C,1751,1879,1437,1312
gene-YBR110W,1556,1572,1148,983
gene-YBR111C,5312,5554,2036,1952
gene-YBR111W-A,210,239,111,107
gene-YBR112C,2092,2154,2574,2231
gene-YBR114W,1501,1674,581,556
gene-YBR115C,3076,3275,3658,3264
gene-YBR117C,8469,7059,205,166
gene-YBR118W,191215,212592,206228,184155
gene-YBR119W,680,763,429,408
gene-YBR120C,360,458,134,161
gene-YBR121C,8635,9793,15788,14656
gene-YBR122C,1066,1070,552,561
gene-YBR123C,1129,1045,767,668
gene-YBR125C,895,913,601,535
gene-YBR126C,38529,40540,4880,4275
gene-YBR126W-A,1631,2069,695,597
gene-YBR127C,12274,13086,12679,10919
gene-YBR128C,358,424,139,150
gene-YBR129C,697,717,531,517
gene-YBR130C,1479,1557,1244,1059
gene-YBR131W,295,354,375,358
gene-YBR132C,2051,2005,632,547
gene-YBR133C,2129,2081,2057,1716
gene-YBR135W,506,504,509,522
gene-YBR136W,706,661,673,510
gene-YBR137W,1243,1280,328,324
gene-YBR138C,652,613,297,281
gene-YBR139W,6794,7280,1741,1604
gene-YBR140C,2423,2485,1958,1659
gene-YBR141C,182,180,235,254
gene-YBR142W,425,420,2113,1884
gene-YBR143C,4952,5372,8660,8075
gene-YBR144C,1,1,2,1
gene-YBR145W,1283,1453,1259,1149
gene-YBR146W,1896,1894,922,869
gene-YBR147W,1072,1241,93,90
gene-YBR148W,192,209,65,41
gene-YBR149W,16002,16338,3206,2927
gene-YBR150C,896,907,470,390
