gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
orf19.1170,774,704,525,576
orf19.1171,76508,57664,13,5
orf19.1177,1889,1497,1520,1648
orf19.1178,214,188,126,111
orf19.1179,5027,3874,2084,2152
orf19.118,6038,4410,7058,7222
orf19.1180,4079,3331,1949,2162
orf19.1181,490,536,322,342
orf19.1182,1018,864,872,813
orf19.1183,3244,2820,2851,3157
orf19.1185,2998,2525,1761,1854
orf19.1186,1347,1144,845,830
orf19.1187,1720,1301,3497,3882
orf19.1189,3603,3331,4615,4850
orf19.119,165,100,133,149
orf19.1190,5383,4223,4237,4586
orf19.1191,2111,1772,2348,2508
orf19.1192,970,884,880,925
orf19.1193,9776,7284,18629,19733
orf19.1195,1322,1158,1412,1464
orf19.1196,2871,2293,2503,2778
orf19.1198,462,376,376,361
orf19.1199,2381,1961,1915,2060
orf19.120,48,46,73,62
orf19.1200,51,48,266,285
orf19.1201,949,807,1039,965
orf19.1202,588,524,565,558
orf19.1203,3758,3288,2591,2852
orf19.1203.1,2388,1960,746,707
orf19.1204,957,810,1026,1087
orf19.1207,4,1,0,2
orf19.1208,280,271,461,433
orf19.121,734,401,309,394
orf19.1210,757,669,3099,3205
orf19.1212,3938,2972,3970,4136
orf19.1214,5203,4205,3499,3504
orf19.1215,44,22,46,51
orf19.1217,949,824,1110,1199
orf19.1219,65,48,220,190
orf19.122,1397,1112,1664,1715
orf19.1220,7672,5980,5005,5229
orf19.1221,1336,1063,926,1058
orf19.1223,2349,1742,1685,1722
orf19.1224,2140,1517,647,705
orf19.1225,308,225,280,282
orf19.1227,29,22,4,9
orf19.1228,289,287,360,434
orf19.1229,1189,960,1818,2118
orf19.123,224,205,134,142
orf19.1232,4448,3419,3426,3736
orf19.1233,1788,1585,3603,3871
orf19.1234,281,324,598,519
orf19.1235,2690,2269,5356,5381
orf19.1236,2032,1629,1066,1142
orf19.1237,412,351,223,261
orf19.1238,1041,835,811,849
orf19.1239,0,1,0,1
orf19.124,213,225,139,157
orf19.1240,2461,2480,2164,2485
orf19.1244,2252,1825,2333,2553
orf19.1246,8871,7851,7490,8231
orf19.1247,535,422,221,263
orf19.1248,3818,2868,3230,3240
orf19.1249,1517,1118,718,710
orf19.125,302,233,92,96
orf19.1250,785,726,387,432
orf19.1251,1432,1203,1024,1031
orf19.1252,5908,4901,4005,4196
orf19.1253,4183,3620,1663,1810
orf19.1254,13118,10210,6221,6522
orf19.1255,163,145,108,115
orf19.1257,15,11,2,5
orf19.1258,2410,1851,2415,2451
orf19.1259,2190,1863,2648,3013
orf19.1260,251,197,282,303
orf19.1261,1125,1005,991,996
orf19.1263,560,433,427,486
orf19.1264,21,13,28,32
orf19.1265,1800,1568,1232,1296
orf19.1266,930,826,248,271
orf19.1267,4400,3932,3081,3325
orf19.1267.1,467,303,249,185
orf19.1268,0,0,1,6
orf19.1270,63,74,88,92
orf19.1272,858,648,925,949
orf19.1273,1144,945,628,616
orf19.1274,149,129,52,54
orf19.1275,927,803,1290,1527
orf19.1276,241,166,187,185
orf19.1277,48,24,358,419
