gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
CaalfMr16,1401.5052945974542,1.9706636531382111,0.12143196115055292,4.494003236308652e-60,6.091758337253602e-59
CaalfMr17,434.8086683478559,1.9734372488996645,0.20911461867177525,4.1226129056512236e-22,2.781605673981528e-21
orf19.1005,30.719416819875406,2.4841381895624224,0.8055376373787198,1.1936201346243731e-4,2.963079333782291e-4
orf19.1007,2410.490112028857,3.3685491608946574,0.10388236831322527,3.2699693449329464e-232,2.3101371666261576e-230
orf19.1010,901.7094672567281,2.057754909371183,0.1383196114610764,8.060204801225144e-51,9.75837294987036e-50
orf19.1030,900.3766550367659,1.4575864400986909,0.1343613622586919,4.811156258404719e-28,3.857275478200313e-27
orf19.1042,33001.39645442862,1.9066292147056385,0.07341170251610021,9.965600409359043e-150,3.4392776125402904e-148
orf19.1045,495.50228981590664,1.0491220718159315,0.17756193394039801,1.2562551890268611e-9,4.976129558117612e-9
orf19.1048,251.48333534206014,1.132151992101145,0.2328264971585751,3.7608982467562596e-7,1.2090039599449324e-6
orf19.1059,13877.96531254447,1.0735948118351906,0.06762128455660113,4.109536126731631e-57,5.423684492532625e-56
orf19.1061,23514.93897525082,1.1917367803124777,0.06495808592498802,9.161926403232765e-76,1.4950371753101292e-74
orf19.1065,39434.63203492418,3.0461278579323205,0.07108830055593732,0,0
orf19.1066,236.44048481597804,1.0196879279235274,0.24176203484423694,9.288222433171889e-6,2.605127310191368e-5
orf19.1082,91.9197727048216,1.5828026178511243,0.389601162962033,8.77883541998696e-6,2.4714911719185043e-5
orf19.11,59.184377217359405,2.404979160958953,0.5091572068337152,2.4679778600390083e-7,8.116214156371438e-7
orf19.1152,6340.936538441311,1.122116379974946,0.07593111704257426,5.259461396321965e-50,6.2789394999827835e-49
orf19.1153,17455.24915460906,1.7942530084984127,0.06767513785692518,8.493080877306409e-156,3.148206831371912e-154
orf19.1171,32143.76493582384,12.766427403977206,0.6955622290586819,2.212497078773793e-78,3.742547875503276e-77
orf19.1203.1,1420.8346409252565,1.470470116464729,0.11567624301288218,1.0754713672643498e-37,1.0433288465948983e-36
orf19.1224,1221.2834873716383,1.3105620084542993,0.12449241581415876,1.651570525843174e-26,1.2731297827584415e-25
orf19.125,176.73426258958725,1.3369036933884388,0.27686620091318626,3.399597266358993e-7,1.098148552150928e-6
orf19.1253,2776.837220433487,1.0671058552666592,0.09056536019940233,2.0802298654034536e-32,1.826283675694114e-31
orf19.1266,557.8742537107819,1.642675547496551,0.16519991120119376,5.06004444950948e-24,3.6477271211649974e-23
orf19.1274,94.38152995843724,1.1722835543818084,0.3724325613930323,4.8301192700360966e-4,0.0011041060607752857
orf19.1287,1720.651982046733,1.6457530730369485,0.11241748706908505,2.7118203133083655e-49,3.193035486552301e-48
orf19.1301,670.6121422018075,3.0383728479675485,0.1657912104286342,5.0666165502146726e-76,8.312850378152762e-75
orf19.1374,722.3792980935328,1.4979820218485211,0.15318917813424848,2.9095511143844165e-23,2.0458845950677309e-22
