gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
orf19.117,1735,1378,1300,1323
orf19.1170,1205,913,525,576
orf19.1171,31,17,13,5
orf19.1177,1482,1102,1520,1648
orf19.1178,74,50,126,111
orf19.1179,2741,2075,2084,2152
orf19.118,10505,7002,7058,7222
orf19.1180,2474,1793,1949,2162
orf19.1181,826,608,322,342
orf19.1182,1758,1314,872,813
orf19.1183,6421,4726,2851,3157
orf19.1185,2368,1774,1761,1854
orf19.1186,706,459,845,830
orf19.1187,3097,2126,3497,3882
orf19.1189,20318,13936,4615,4850
orf19.119,258,163,133,149
orf19.1190,4085,2839,4237,4586
orf19.1191,2540,1854,2348,2508
orf19.1192,720,520,880,925
orf19.1193,35977,26294,18629,19733
orf19.1195,1837,1330,1412,1464
orf19.1196,2123,1611,2503,2778
orf19.1198,685,489,376,361
orf19.1199,17164,11814,1915,2060
orf19.120,81,56,73,62
orf19.1200,790,542,266,285
orf19.1201,1626,1112,1039,965
orf19.1202,248,176,565,558
orf19.1203,2537,1830,2591,2852
orf19.1203.1,665,553,746,707
orf19.1204,1351,948,1026,1087
orf19.1207,1,0,0,2
orf19.1208,82,79,461,433
orf19.121,474,251,309,394
orf19.1210,2184,1608,3099,3205
orf19.1212,3588,2542,3970,4136
orf19.1214,10646,7330,3499,3504
orf19.1215,121,63,46,51
orf19.1217,2698,1890,1110,1199
orf19.1219,411,261,220,190
orf19.122,1946,1390,1664,1715
orf19.1220,6867,5041,5005,5229
orf19.1221,1350,910,926,1058
orf19.1223,1964,1311,1685,1722
orf19.1224,1100,863,647,705
orf19.1225,379,288,280,282
orf19.1227,13,5,4,9
orf19.1228,1012,629,360,434
orf19.1229,4490,2731,1818,2118
orf19.123,267,215,134,142
orf19.1232,4793,3216,3426,3736
orf19.1233,10970,7236,3603,3871
orf19.1234,134,83,598,519
orf19.1235,5749,4389,5356,5381
orf19.1236,1655,1116,1066,1142
orf19.1237,359,236,223,261
orf19.1238,509,347,811,849
orf19.1239,2,0,0,1
orf19.124,3945,2556,139,157
orf19.1240,4595,3189,2164,2485
orf19.1244,1807,1289,2333,2553
orf19.1246,10380,8061,7490,8231
orf19.1247,359,247,221,263
orf19.1248,4236,2978,3230,3240
orf19.1249,1143,828,718,710
orf19.125,247,203,92,96
orf19.1250,2599,1814,387,432
orf19.1251,1037,731,1024,1031
orf19.1252,8094,5761,4005,4196
orf19.1253,3990,2774,1663,1810
orf19.1254,7806,5460,6221,6522
orf19.1255,265,170,108,115
orf19.1257,4,5,2,5
orf19.1258,390,312,2415,2451
orf19.1259,3951,2697,2648,3013
orf19.1260,667,464,282,303
orf19.1261,1782,1298,991,996
orf19.1263,575,361,427,486
orf19.1264,39,27,28,32
orf19.1265,1042,698,1232,1296
orf19.1266,250,182,248,271
orf19.1267,6589,4465,3081,3325
orf19.1267.1,343,270,249,185
orf19.1268,2,3,1,6
orf19.1270,123,84,88,92
orf19.1272,1899,1242,925,949
orf19.1273,1239,884,628,616
orf19.1274,130,80,52,54
orf19.1275,464,362,1290,1527
orf19.1276,273,225,187,185
orf19.1277,66,72,358,419
orf19.1279,3912,2880,2925,2953
orf19.1280,2496,1740,985,1076
orf19.1281,815,537,266,232
orf19.1282,362,289,223,217
orf19.1283,1762,1155,1342,1614
orf19.1285,4578,3438,1850,2085
orf19.1286,11,5,1,1
orf19.1287,4549,3385,805,801
orf19.1288,1338,1147,645,810
orf19.1289,2611,1794,2201,2392
orf19.1290,6289,4576,2427,2721
orf19.1291,4161,2854,1719,1748
orf19.1295,31025,20067,37573,40668
orf19.1296,1247,783,670,667
orf19.1297,520,373,532,591
orf19.1298,2901,1895,1234,1300
orf19.1299,2675,1825,1656,1694
orf19.130,1029,687,924,1065
orf19.1300,1380,901,537,551
orf19.1301,255,150,133,147
orf19.1302,10,6,7,1
orf19.1303,683,462,222,220
orf19.1304,1718,1057,250,263
orf19.1305,1481,893,248,266
orf19.1306,1385,901,376,325
orf19.1307,699,517,830,929
orf19.1308,1048,723,1269,1386
orf19.1309,57,29,184,180
orf19.131,155,125,135,182
orf19.131.2,1603,1091,1326,1314
orf19.1310,349,287,289,270
orf19.1311,913,637,773,781
orf19.1313,377,241,319,315
orf19.1314,1083,818,931,921
orf19.1317,3452,2645,2409,2511
orf19.1318,697,527,412,441
orf19.132,2508,1748,1926,1904
orf19.1321,1,1,5,4
orf19.1323,2162,1473,1347,1464
orf19.1324,2083,1620,1184,1211
orf19.1325,373,251,414,438
orf19.1326,780,565,583,631
orf19.1327,81,52,69,96
orf19.133,70,50,34,58
orf19.1330,215,171,401,391
orf19.1331,1323,921,1726,1797
orf19.1332,794,582,1215,1197
orf19.1333,1575,1217,1008,1105
orf19.1334,979,710,972,1096
orf19.1335,6364,4037,914,982
orf19.1336,3595,2450,2309,2424
orf19.1336.2,205,146,96,112
orf19.1338,2104,1449,1946,1946
orf19.1339,15320,10880,11378,11548
orf19.134,100,57,63,85
orf19.1340,2336,1766,6180,6293
orf19.1341,379,316,922,979
orf19.1342,17250,12369,22760,23719
orf19.1343,1851,1373,1814,1924
orf19.1344,73,62,136,173
orf19.1345,541,416,637,670
orf19.1348,8,9,12,8
orf19.1349,5,5,1,3
