gene_id	gene_name	Scer.t0000.b2.L001	Scer.t0000.b2.L002	Scer.t0000.b3.L001	Scer.t0000.b3.L002	Scer.t0030.b2.L001	Scer.t0030.b2.L002	Scer.t0030.b4.L001	Scer.t0030.b4.L002	Scer.t0060.b2.L001	Scer.t0060.b2.L002	Scer.t0060.b4.L001	Scer.t0060.b4.L002	Scer.t0090.b2.L001	Scer.t0090.b2.L002	Scer.t0090.b4.L001	Scer.t0090.b4.L002	Scer.t0120.b2.L001	Scer.t0120.b2.L002	Scer.t0120.b4.L001	Scer.t0120.b4.L002	Scer.t0150.b2.L001	Scer.t0150.b2.L002	Scer.t0150.b4.L001	Scer.t0150.b4.L002	Scer.t0180.b2.L001	Scer.t0180.b2.L002	Scer.t0180.b4.L001	Scer.t0180.b4.L002	Scer.t0210.b2.L001	Scer.t0210.b2.L002	Scer.t0210.b4.L001	Scer.t0210.b4.L002	Scer.t0240.b2.L001	Scer.t0240.b2.L002	Scer.t0240.b4.L001	Scer.t0240.b4.L002	Scer.t0360.b2.L001	Scer.t0360.b2.L002	Scer.t0360.b4.L001	Scer.t0360.b4.L002	Scer.t0480.b2.L001	Scer.t0480.b2.L002	Scer.t0480.b4.L001	Scer.t0480.b4.L002
gene-Q0020	15S_RRNA	26.9356262819737	13.9666568020028	25.012317599287	31.010886486889	6.98109008094201	8.98606345230943	20.0017612036172	18.0239744265165	39.0325443452899	50.1023818842114	12.0088010537446	10.0166287377134	12.964718097898	8.98531763071274	7.01927320658003	15.0507199650608	9.96729857641772	8.97693382779034	9.01339815969689	11.0219303508304	19.000960122663	20.0012501270362	5.97097444568001	7.97080451020825	15.0103664688996	7.01106810860702	22.9727761905013	10.9969469036744	48.9827718308931	33.996570267412	16.0084119557127	8.0133411333276	48.0876735157691	52.1637425762745	5.99750073926587	10.0034237016385	35.0430756715005	19.0354478197319	42.091837420159	52.1469942750168	38.8956464362918	28.9432380578555	29.9530059569982	30.9778592102232
gene-Q0045	COX1	7.31384096247078	14.2326752363858	7.14061891327512	6.74346760956936	8.27291809481203	8.70125850583188	10.6167906071241	6.94664691534617	23.3255676742964	23.1469244676076	16.8225271288875	14.1033273764266	14.1709363357815	13.1053577483596	15.3469606770387	29.391781807425	27.2532084239459	27.467891488564	16.5662630540038	21.4782225329356	26.0722364452341	21.7972056222936	29.4488137900415	32.9594105285645	49.9742822832659	31.9753705538102	16.8811975420767	22.6927838395107	31.7047723427613	30.0013444459107	20.8655613557632	19.9407478167251	59.15655192309	45.0211620076834	31.1765672786894	37.4213099793826	44.986182622973	38.0943464537803	29.0356613900325	19.0317229830466	38.6676149426997	36.3497456793715	21.4058866020598	28.8384036485111
gene-Q0050	AI1	10.9626954527386	10.963014462745	4.00368885656552	10.0076198879141	2.98678953616352	8.97717186675349	13.000358681232	5.09079335570682	16.0197521959588	13.0407059980148	6.00438731414982	4.00885199623932	4.04037135785506	6.98310546840668	10.0371595813312	7.03286415747057	9.95304064064863	11.9572688493364	11.0254357997094	8.12128367882175	21.001277701163	22.0028762183745	10.9173458118763	10.938422252654	5.0048778209106	6.01483279835034	8.15928569706624	8.99627199372357	15.9899549529777	17.9970015982807	15.0109501118658	12.0326319892442	24.1649934153657	22.0802162129621	5.99699773552403	12.0092817435528	22.0445160769605	17.0503646786589	9.03164452237832	17.2478161677015	15.9384567473527	15.1421746485726	25.1311588595133	12.9891815975997
gene-Q0055	AI2	6.97596979831034	21.9250932192049	17.0160063430513	7.00545131889387	9.1127678366488	5.98453862118514	12.0107427829513	18.3415205590918	18.0225350093321	13.4809307616561	8.00584269079606	12.0267986161327	11.1193592175739	10.9730679870612	15.0563684187755	8.03802171347441	20.9001003083169	13.9495516718727	17.0399196567105	17.2600623211688	18.1890948732279	25.9204836596675	23.8169032951222	23.8636295970305	13.0128554352388	14.0351521240852	13.257840344112	19.9916081912303	22.1945531776403	25.9955860913169	18.0132893479489	19.0512553538972	34.2324799060563	37.1373469445277	7.07119138154675	10.0079309147529	43.077946771276	40.3822896358294	24.0857575827297	17.2448650119431	33.088359340968	32.299041616138	19.0945097224431	17.1417823872785
gene-Q0060	AI3	0	0.999010630773367	0	1.0003041266331	2.06309098663209	0	0	0	4.00319265235026	6.66264813700966	0	0	1.01980295131571	2.07307244283906	1.00213875752675	1.00240924455491	3.14954841166687	0	1.0010211581693	2.0465785390061	4.20079890433602	1.05065228765442	0	1.99749403590364	1.00077604218866	1.00104133563744	3.13321054299642	3.00072293796111	4.07943852167073	1.00033979129185	1.00069330689755	2.00205825716184	3.09351351184512	2.03151435979617	6.14535422489372	0	0	1.02166014136528	4.08271399416162	1.01419353241263	2.02128385851605	2.04158373616724	3.04156351148904	0
gene-Q0065	AI4	11.66327915779	16.9833303974215	6.88480017129745	8.82217123274344	10.9539434565929	7.06466166450045	5.15270914468786	8.33808829069021	18.3893016957738	8.48893303142285	7.58893690967651	3.50696490301013	11.8998376783101	10.4181401786767	15.4344338601356	11.5790159105833	13.885480520809	17.3609744466296	7.58161557797324	9.46729226765794	9.1808464737365	9.68298757999707	17.0564301679783	11.6630179433377	12.2982261620699	12.3009926717599	20.8327665184547	15.2735004992783	9.75451542938356	10.7704067834864	8.6005490350721	12.4713285022	36.2645607055632	14.0367988661398	4.19815286524066	12.9089082651086	15.6093656380811	18.753722090122	17.1997648837365	13.310729178982	15.9744334097917	17.0190704027474	16.8932376450146	9.13066778573509
gene-Q0070	AI5_ALPHA	1.97219745155713	2.70251680521833	2.98331875745324	4.44200763599574	10.4681957673564	1.20775351650378	6.2323271940136	9.36412413559	7.32665615618083	8.35544243512267	3.60890229008051	1.42104071174846	5.59751129443129	6.35224675676551	1.30657198458536	8.1964271830465	4.59478987804217	5.04265132444074	7.90139117853386	2.77410240904133	8.3621098590066	4.55479400973343	7.23079794721252	1.2133430097538	5.77403317241041	2.79697223780646	2.64569067937631	19.0170672675329	5.23740728778029	13.2225951376677	7.55363880532665	2.64614124341393	12.4082822965545	14.0702215581716	8.3871731050166	5.68879045110331	1.47930809160053	14.0054704524442	15.8279586949543	11.4427537372255	17.9168400236618	19.8707932206506	17.2410402540614	20.8320854207272
gene-Q0075	AI5_BETA	2.99836145241866	6.99586233150183	2.99913297988069	4.99802888579106	5.00203417302111	9.00227537153357	4.00078567036468	8.00157228397416	3.00031659355415	8.00066048575456	7.00504949970783	6.00400773456193	3.99925175880143	5.9987639235635	13.0130862755606	7.00699043301496	15.9893151094911	15.988148558781	6.99995341343736	8.00047080616024	12.0003833363178	11.999261786363	12.0008409645907	12.9989489218621	10.0017092310678	10.9996104540985	9.00148648532158	8.99973648618819	7.00107663308612	16.0002944756512	11.0016986535575	15.9980118789204	29.9875073499465	21.9855780219319	12.9965986445975	15.9929504257567	8.00173403234348	17.9977631559559	18.9957817430102	6.99660955463493	28.9843922160698	17.9884933850837	19.9935314251791	27.985933455491
gene-Q0080	ATP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-Q0085	ATP6	0	0	0	0.999547242822041	0	2.00644020941811	1.00117343642254	0	0	1.99716342825325	0	1.00028982536673	0	1.00234915123382	0.999773643513145	0	2.00668108255713	0	0	0	3.00247768732273	2.0012224466458	0	1.0051397397795	2.00064313572456	0.998826545548546	0	1.00103904388224	1.00157605500635	8.00791356874322	0	0	0	0.996857861300268	1.00073832084977	0	3.99892360265428	3.99311249825531	0.997708403945817	2.98912000842867	2.00580446511694	0	2.00413275542703	0
