gene_id	gene_name	Scer.t0000.b2.L001	Scer.t0000.b2.L002	Scer.t0000.b3.L001	Scer.t0000.b3.L002	Scer.t0030.b2.L001	Scer.t0030.b2.L002	Scer.t0030.b4.L001	Scer.t0030.b4.L002	Scer.t0060.b2.L001	Scer.t0060.b2.L002	Scer.t0060.b4.L001	Scer.t0060.b4.L002	Scer.t0090.b2.L001	Scer.t0090.b2.L002	Scer.t0090.b4.L001	Scer.t0090.b4.L002	Scer.t0120.b2.L001	Scer.t0120.b2.L002	Scer.t0120.b4.L001	Scer.t0120.b4.L002	Scer.t0150.b2.L001	Scer.t0150.b2.L002	Scer.t0150.b4.L001	Scer.t0150.b4.L002	Scer.t0180.b2.L001	Scer.t0180.b2.L002	Scer.t0180.b4.L001	Scer.t0180.b4.L002	Scer.t0210.b2.L001	Scer.t0210.b2.L002	Scer.t0210.b4.L001	Scer.t0210.b4.L002	Scer.t0240.b2.L001	Scer.t0240.b2.L002	Scer.t0240.b4.L001	Scer.t0240.b4.L002	Scer.t0360.b2.L001	Scer.t0360.b2.L002	Scer.t0360.b4.L001	Scer.t0360.b4.L002	Scer.t0480.b2.L001	Scer.t0480.b2.L002	Scer.t0480.b4.L001	Scer.t0480.b4.L002
gene-Q0020	15S_RRNA	12.5650448682345	6.50902473181663	11.4596370238145	14.1876690967439	3.53210473674728	4.5463193385375	9.83183387727989	8.87025684327891	19.3263548726738	24.7930332941248	5.89325136191715	4.9110974013214	6.11745780437461	4.23687980746338	3.29279532208662	7.05948245954846	4.71164896517697	4.24659240979764	4.09603914402016	5.01182779478338	9.62456663769927	10.1176252454628	3.09810962463639	4.13572145231005	8.02555547945995	3.75766502764083	12.3856416942167	5.942054105394	27.4298012498618	19.0515536506395	8.73827478256301	4.37756235965241	27.5582441931577	29.8710284149009	3.37134466836701	5.62423249478337	20.0185434834173	10.8847334847412	23.6531224928491	29.3696687211451	20.4228260996945	15.2649448420502	16.2481114813401	16.8009702257359
gene-Q0045	COX1	3.51871061868031	6.84086583568646	3.3740681970715	3.181861109504	4.31688151711297	4.54018554219083	5.3822097546542	3.52583456516425	11.9112237596838	11.8131483640483	8.51427406867934	7.13147937926054	6.89616310335392	6.37327508426068	7.42499290728569	14.2181331280026	13.2866094441647	13.4010538260264	7.76427963968943	10.0725142137841	13.6202474082228	11.3716462852388	15.758702163855	17.6371996783714	27.5569688116865	17.6746383436347	9.38662257429646	12.6460042447043	18.3107028888284	17.3395204722725	11.7465029472854	11.2346933907804	34.9640476225215	26.5888286459382	18.0743302316409	21.6987472376969	26.5039421176339	22.4655110168073	16.8276469923994	11.0547505646578	20.9393551970828	19.7719986680784	11.9755859180404	16.1307756151161
gene-Q0050	AI1	3.21399293583246	3.21102768307128	1.15283684726081	2.87751948726869	0.949741804901242	2.85443790035002	4.01617132583019	1.57456902548849	4.98504960704953	4.05567361260172	1.85188756883997	1.23528621683631	1.19817372244472	2.0694355907014	2.95919797544388	2.07318672647046	2.95693541196243	3.55496354823277	3.14892204604004	2.32088574612888	6.68562414265934	6.9950610032258	3.56007574254224	3.56692854659948	1.6817749847109	2.02604010806107	2.76469847684793	3.05504529595096	5.62752128470462	6.33849351339951	5.14963241301628	4.13114032222226	8.70352259954909	7.94649027436225	2.11864080206198	4.2434807603052	7.91446260385611	6.12743871392357	3.18968675434636	6.10512392755483	5.25958788464628	5.0191130312496	8.56772651607616	4.42746719115397
gene-Q0055	AI2	1.99327562763687	6.25879472184672	4.77529674966042	1.96317397361281	2.8241413919548	1.85458579845625	3.61627924812363	5.52900227460777	5.46593880041425	4.08617505119102	2.40651274666016	3.61187580223458	3.21376016986795	3.1693235589453	4.32631982416053	2.3093542726593	6.05159182967314	4.04202135962156	4.74317211229427	4.80735989856264	5.64342196804684	8.03138320456626	7.56942099799828	7.58422870972389	4.26169347777138	4.60762154050403	4.37828082765887	6.61664759092128	7.61292425243776	8.92320159546194	6.02276987757696	6.37482265178549	12.0166092302124	13.0262109143344	2.43473239963482	3.44655091735318	15.0733940784193	14.1439736860773	8.29042331488482	5.94915610611527	10.6418192463208	10.4343057307554	6.34449103396467	5.69461984106462
gene-Q0060	AI3	0	0.643646373330559	0	0.632677932166081	1.44305362285445	0	0	0	2.74020677380623	4.55797486154017	0	0	0.665239342386517	1.3513907604206	0.649911474844365	0.650001573589562	2.05824705827729	0	0.628886911120844	1.28653217000339	2.94165194513428	0.734740899023028	0	1.43280923041141	0.739732096142496	0.741719410432855	2.33533058102042	2.24152779512376	3.15815508487299	0.774990883081186	0.755148209917716	1.51199090032477	2.45088848627487	1.60825564722853	4.77566134649414	0	0	0.807634585148743	3.17170882557778	0.78966767437192	1.4672222693763	1.48856936414871	2.2809361244592	0
gene-Q0065	AI4	5.35931205638972	7.7964648950457	3.10713180027592	3.97579296903253	5.4592405996674	3.52073415691169	2.49490108218482	4.04206721657328	8.96891142355046	4.13786013842983	3.66849276194506	1.69371291437935	5.53095787533741	4.83898544375148	7.13205531213899	5.34981356829053	6.46558433698678	8.08980516485736	3.39381926969225	4.24048636944743	4.5807835518468	4.82483240169558	8.71748317673887	5.9608950500269	6.47705657175792	6.49419680333259	11.0637762997662	8.12932462184242	5.38067068453531	5.94536891074501	4.62439614902022	6.71093199702935	20.4715915386966	7.9177341921073	2.32456932128002	7.14916836290633	8.78348617459709	10.5631533907485	9.52060431543196	7.38453278958611	8.26212417516699	8.84169168057245	9.02665362528852	4.87794513274698
gene-Q0070	AI5_ALPHA	0.787330933874873	1.07785866951717	1.16973246022539	1.73918638135574	4.53264934862955	0.522924179131415	2.62172113527861	3.94387145095482	3.10455139736132	3.53843072963362	1.51565513354413	0.596256939418748	2.26033515051917	2.56336249619273	0.524536709159255	3.29010780876629	1.85879317823549	2.04146270778379	3.07290448444908	1.07952057288227	3.62486187074969	1.97178766219414	3.21075930817284	0.538769089202245	2.6420013568118	1.28289758696258	1.22071436059347	8.7938281083666	2.50995310589517	6.34135328217641	3.5286096343722	1.23709111509708	6.085543888942	6.89528662714226	4.03476650656045	2.73718715756409	0.723200716696143	6.85365688978859	7.61176655864092	5.51531439686144	8.05093309093858	8.96877817015534	8.00379393774059	9.66909136614115
gene-Q0075	AI5_BETA	2.34405369809368	5.46400790987216	2.30281608556355	3.83214766766969	4.24134490061512	7.63289617380063	3.29577977643823	6.59944737688588	2.48964128151712	6.63504291962239	5.76120233772777	4.9333828306676	3.16251980195604	4.74046654065885	10.2305622743641	5.50799728220344	12.6669461570154	12.6752733778256	5.33110573826476	6.09678145189647	10.1870247448763	10.1723801369566	10.4354180888097	11.3032664315123	8.96199371673897	9.88001915241062	8.13328271802721	8.14968591907054	6.57038380771984	15.0269164843756	10.0643051289147	14.6464148005475	28.8008131554902	21.0991968806405	12.2436006739119	15.0691861187017	7.66056806576389	17.2472491981283	17.8893422229302	6.60395355546748	25.5050188062763	15.8997215289245	18.1760116132843	25.4372033748588
gene-Q0080	ATP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-Q0085	ATP6	0	0	0	1.14238308989287	0	2.53587738302778	1.22938294220759	0	0	2.46886001678822	0	1.22516446691784	0	1.18071018037744	1.17161748386678	0	2.36965644327137	0	0	0	3.79924234251535	2.528880948071	0	1.30282816119181	2.67217566800324	1.33732056649024	0	1.35122310077738	1.40111830692753	11.2105324574862	0	0	0	1.42602205004388	1.40528673171699	0	5.70669862033075	5.70397768824127	1.40057315495646	4.20556828943127	2.63096463384583	0	2.71581719913976	0
