gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
gene-GWK60_A03157,38288,36712,52001,43833
gene-GWK60_A03179,8,10,4,6
gene-GWK60_A03201,924,890,907,720
gene-GWK60_A03223,2437,2188,2445,2143
gene-GWK60_A03245,20558,18533,13435,11776
gene-GWK60_A03267,31614,28338,40853,37369
gene-GWK60_A03289,18,22,12,8
gene-GWK60_A03311,1293,1098,973,865
gene-GWK60_A03333,1228,1164,1440,1313
gene-GWK60_A03355,3175,3019,1752,1520
gene-GWK60_A03377,538,603,625,519
gene-GWK60_A03399,0,0,0,0
gene-GWK60_A03421,1306,1227,690,556
gene-GWK60_A03443,1182,1107,1341,1121
gene-GWK60_A03465,36,27,51,30
gene-GWK60_A03487,462,452,292,265
gene-GWK60_A03509,1355,1225,1398,1209
gene-GWK60_A03531,1608,1416,1767,1520
gene-GWK60_A03553,525,506,397,288
gene-GWK60_A03575,4113,3894,3838,3142
gene-GWK60_A03597,17366,14758,11900,11286
gene-GWK60_A03619,258,233,255,279
gene-GWK60_A03641,0,0,0,0
gene-GWK60_A03663,269,304,250,223
gene-GWK60_A03685,7,8,11,12
gene-GWK60_A03707,416,417,923,667
gene-GWK60_A03729,0,0,0,0
gene-GWK60_A03751,8595,7563,5843,5085
gene-GWK60_A03773,931,867,950,892
gene-GWK60_A03795,3110,2744,511,392
gene-GWK60_A03817,3019,3054,2508,2407
gene-GWK60_A03839,1118,1126,1527,1436
gene-GWK60_A03861,404,393,410,323
gene-GWK60_A03883,909,839,765,677
gene-GWK60_A03905,8274,7375,10734,9526
gene-GWK60_A03927,3988,3587,3849,3645
gene-GWK60_A03949,4659,4380,4083,3760
gene-GWK60_A03971,4848,4390,4193,3880
gene-GWK60_A03993,1259,1118,1042,896
gene-GWK60_A04015,6231,6017,7351,6352
gene-GWK60_A04037,468,524,567,569
gene-GWK60_A04059,1954,1948,3379,3309
gene-GWK60_A04081,1693,1775,1825,1725
gene-GWK60_A04103,2884,2784,2658,2405
gene-GWK60_A04125,947,890,1437,1209
gene-GWK60_A04147,2592,2410,1997,1796
gene-GWK60_A04169,2370,2358,2132,1964
gene-GWK60_A04191,2249,1989,1584,1301
gene-GWK60_A04213,1176,1282,1157,917
gene-GWK60_A04235,4029,3808,3608,3032
gene-GWK60_A04257,296,289,328,260
gene-GWK60_A04279,105,111,121,110
gene-GWK60_A04301,1390,1278,1099,900
gene-GWK60_A04323,3412,3468,2271,1977
gene-GWK60_A04345,2172,1851,1320,1258
gene-GWK60_A04367,1984,1823,2013,1802
gene-GWK60_A04389,125,113,71,70
gene-GWK60_A04411,47838,44992,59590,50030
gene-GWK60_A04433,857,879,869,771
gene-GWK60_A04455,3013,3032,3235,2895
gene-GWK60_A04477,300,252,333,305
gene-GWK60_A04499,851,718,1001,890
gene-GWK60_A04521,762,676,771,696
gene-GWK60_A04543,177,155,170,119
gene-GWK60_A04565,336,264,187,130
gene-GWK60_A04587,4969,4716,4955,4150
gene-GWK60_A04609,6130,5586,6239,5399
gene-GWK60_A04631,5423,4950,3053,2600
gene-GWK60_A04653,3267,3205,2950,2657
gene-GWK60_A04675,57261,47898,13299,11340
gene-GWK60_A04697,4,4,2,1
gene-GWK60_B00011,1,6,0,2
gene-GWK60_B00033,0,0,0,0
gene-GWK60_B00055,0,0,0,0
gene-GWK60_B00077,0,0,0,0
gene-GWK60_B00099,94,96,118,126
gene-GWK60_B00121,5528,5541,8501,7149
gene-GWK60_B00143,738,750,1133,941
gene-GWK60_B00165,2334,2211,2600,2312
gene-GWK60_B00187,1525,1436,1522,1305
gene-GWK60_B00209,106,87,78,45
gene-GWK60_B00231,340,343,257,254
gene-GWK60_B00253,5941,5339,5436,4672
gene-GWK60_B00275,2115,1892,2106,1896
gene-GWK60_B00297,4,16,23,8
gene-GWK60_B00319,3364,2973,3254,2752
gene-GWK60_B00341,1435,1371,1673,1454
gene-GWK60_B00363,1173,983,986,861
gene-GWK60_B00385,3474,3406,4591,3977
gene-GWK60_B00407,3576,3080,2660,2300
gene-GWK60_B00429,319,298,477,396
gene-GWK60_B00451,479,474,326,334
gene-GWK60_B00473,3724,3445,4397,3788
gene-GWK60_B00495,1572,1352,1755,1458
gene-GWK60_B00517,27421,24989,29477,26418
gene-GWK60_B00539,34,24,14,12
gene-GWK60_B00561,31,38,28,21
gene-GWK60_B00583,2344,2012,2221,1929
gene-GWK60_B00605,1314,1256,1494,1241
gene-GWK60_B00627,3802,3589,3059,2817
gene-GWK60_B00649,4690,4319,3880,3461
gene-GWK60_B00671,927,798,350,297
gene-GWK60_B00693,593,533,737,668
gene-GWK60_B00715,812,754,745,648
gene-GWK60_B00737,6852,5748,7418,6758
gene-GWK60_B00759,507,479,407,379
gene-GWK60_B00781,4731,4148,3279,2789
gene-GWK60_B00803,33,49,57,35
gene-GWK60_B00825,436,414,576,521
gene-GWK60_B00847,34,16,67,44
gene-GWK60_B00869,0,0,0,0
gene-GWK60_B00891,795,565,528,433
gene-GWK60_B00913,3333,3445,1985,1892
gene-GWK60_B00935,10202,9610,18524,16455
gene-GWK60_B00957,2134,1812,1433,1275
gene-GWK60_B00979,3071,2739,3952,3411
gene-GWK60_B01001,2375,2412,4726,4071
gene-GWK60_B01023,10771,10703,13855,11996
gene-GWK60_B01045,1444,1467,1637,1408
gene-GWK60_B01067,0,24,25,0
gene-GWK60_B01089,633,610,926,795
gene-GWK60_B01111,0,0,0,0
gene-GWK60_B01133,557,523,675,492
gene-GWK60_B01155,2067,1887,1961,1744
gene-GWK60_B01177,7875,6779,6940,6150
gene-GWK60_B01199,1717,1683,1307,1215
gene-GWK60_B01221,3421,2985,2100,1816
gene-GWK60_B01243,4212,3961,5067,4216
gene-GWK60_B01265,1468,1264,1499,1220
gene-GWK60_B01287,696,631,747,626
gene-GWK60_B01309,267,312,673,521
gene-GWK60_B01331,251,272,368,304
gene-GWK60_B01353,3069,2729,3093,2755
gene-GWK60_B01375,418,351,368,319
gene-GWK60_B01397,322,288,338,284
gene-GWK60_B01419,138,123,126,102
gene-GWK60_B01441,1282,1160,1483,1198
gene-GWK60_B01463,1638,1458,1440,1327
gene-GWK60_B01485,0,0,0,0
gene-GWK60_B01507,3206,3040,4076,3636
gene-GWK60_B01529,714,664,876,836
gene-GWK60_B01551,1106,922,652,579
gene-GWK60_B01573,523,446,458,389
gene-GWK60_B01595,724,729,1203,1017
gene-GWK60_B01617,228,277,363,281
gene-GWK60_B01639,904,901,1069,932
gene-GWK60_B01661,1537,1365,1595,1409
gene-GWK60_B01683,444,449,422,401
gene-GWK60_B01705,7,3,1,1
gene-GWK60_B01727,1153,1061,1551,1348
gene-GWK60_B01749,1488,1367,1781,1466
gene-GWK60_B01771,971,871,776,701
gene-GWK60_B01793,1684,1874,8888,7657
gene-GWK60_B01815,104,95,158,161
gene-GWK60_B01837,321,267,1008,963
gene-GWK60_B01859,823,803,1019,849
gene-GWK60_B01881,12067,10951,9007,8143
gene-GWK60_B01903,117,89,274,237
gene-GWK60_B01925,7,6,18,10
gene-GWK60_B01947,714,697,843,714
gene-GWK60_B01969,641,608,642,588
gene-GWK60_B01991,1805,1860,2263,1985
gene-GWK60_B02013,1462,1347,1464,1251
gene-GWK60_B02035,5510,4729,5669,5039
gene-GWK60_B02057,1544,1246,1009,974
gene-GWK60_B02079,741,671,847,721
gene-GWK60_B02101,320,299,290,224
gene-GWK60_B02123,485,507,397,437
gene-GWK60_B02145,786,650,451,455
gene-GWK60_B02167,4064,3687,3753,3370
gene-GWK60_B02189,192,147,174,151
gene-GWK60_B02211,3130,2729,2411,2222
gene-GWK60_B02233,639,566,468,374
gene-GWK60_B02255,1494,1354,1391,1190
gene-GWK60_B02277,5596,5230,2876,2513
gene-GWK60_B02299,6742,6128,1637,1421
gene-GWK60_B02321,107856,102428,174,161
gene-GWK60_B02343,4187,3719,4242,4060
gene-GWK60_B02365,3600,3460,4404,3906
gene-GWK60_B02387,1832,1773,2407,2017
gene-GWK60_B02409,7383,6530,2075,2015
gene-GWK60_B02431,8339,7742,10845,9897
gene-GWK60_B02453,3427,2971,3486,3241
gene-GWK60_B02475,2449,2208,2628,2407
gene-GWK60_B02497,6,0,2,1
gene-GWK60_B02519,681,650,858,697
gene-GWK60_B02541,786,727,854,693
gene-GWK60_B02563,14277,13413,17192,15199
gene-GWK60_B02585,990,920,1150,1019
gene-GWK60_B02607,457,431,486,333
gene-GWK60_B02629,849,825,1640,1512
gene-GWK60_B02651,557,485,600,531
gene-GWK60_B02673,3062,2676,2625,2213
gene-GWK60_B02695,698,659,635,617
gene-GWK60_B02717,303,296,325,298
gene-GWK60_B02739,1920,1579,822,700
gene-GWK60_B02761,336,339,294,327
gene-GWK60_B02783,58,34,83,82
gene-GWK60_B02805,246,253,19,13
gene-GWK60_B02827,171,155,152,126
gene-GWK60_B02849,1852,1999,2700,2355
gene-GWK60_B02871,2558,2672,8864,7948
gene-GWK60_B02893,16458,15373,32503,27320
gene-GWK60_B02915,26166,23726,18575,16534
gene-GWK60_B02937,527,549,903,803
gene-GWK60_B02959,967,904,907,868
gene-GWK60_B02981,0,0,0,0
gene-GWK60_B03003,1468,1290,2051,1832
gene-GWK60_B03025,629,607,555,509
gene-GWK60_B03047,1,1,1,1
gene-GWK60_B03069,5391,5165,6791,6004
gene-GWK60_B03091,542,503,689,520
gene-GWK60_B03113,1235,1231,1357,1259
gene-GWK60_B03135,261,194,363,298
gene-GWK60_B03157,2155,2057,2663,2273
gene-GWK60_B03179,619,649,823,649
gene-GWK60_B03201,779,779,1016,788
gene-GWK60_B03223,2574,2312,2928,2612
gene-GWK60_B03245,1727,1502,7430,6958
gene-GWK60_B03267,687,686,1240,1091
gene-GWK60_B03289,397,366,381,319
gene-GWK60_B03311,92089,82271,105009,95041
gene-GWK60_B03333,34084,30523,8349,7316
gene-GWK60_B03355,291,298,179,191
gene-GWK60_B03377,5545,5025,7372,6485
gene-GWK60_B03399,1477,1411,2049,1759
gene-GWK60_B03421,4481,4352,4330,3976
gene-GWK60_B03443,101,120,86,91
gene-GWK60_B03465,7327,6318,4003,3652
gene-GWK60_B03487,1044,998,1387,1224
gene-GWK60_B03509,717,653,2297,2467
gene-GWK60_B03531,15220,14429,11410,9438
gene-GWK60_B03553,1403,1417,1913,1529
gene-GWK60_B03575,0,0,0,0
gene-GWK60_B03597,4424,4108,3250,3110
gene-GWK60_B03619,3900,3605,4354,3533
gene-GWK60_B03641,1120,1067,908,872
gene-GWK60_B03663,482,424,911,843
gene-GWK60_B03685,592,495,636,527
gene-GWK60_B03707,279,259,353,316
gene-GWK60_B03729,1614,1605,2096,1686
gene-GWK60_B03751,50,58,67,65
gene-GWK60_B03773,931,866,1485,1370
gene-GWK60_B03795,1598,1566,1948,1692
gene-GWK60_B03817,544,430,633,610
gene-GWK60_B03839,1713,1553,3103,2878
gene-GWK60_B03861,3842,3450,8127,7223
gene-GWK60_B03883,1656,1434,2393,2150
gene-GWK60_B03905,1025,936,1075,1001
