gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
gene-KLLA0_A02541g,1496,1512,1545,1453
gene-KLLA0_A02563g,549,550,85,75
gene-KLLA0_A02585g,1583,1694,780,870
gene-KLLA0_A02607g,23493,23325,17439,21431
gene-KLLA0_A02629g,5871,5994,1809,2045
gene-KLLA0_A02651g,610,574,393,413
gene-KLLA0_A02673g,9319,9296,24957,31782
gene-KLLA0_A02695g,2494,2459,1050,992
gene-KLLA0_A02717g,11066,11481,2261,2407
gene-KLLA0_A02739g,1039,1025,630,698
gene-KLLA0_A02761g,2099,2221,3451,3571
gene-KLLA0_A02783r,0,0,0,0
gene-KLLA0_A02827g,3230,3414,2169,2651
gene-KLLA0_A02849g,339,356,284,304
gene-KLLA0_A02871g,265,292,138,191
gene-KLLA0_A02893g,1760,1976,2124,2333
gene-KLLA0_A02915g,442,453,912,952
gene-KLLA0_A02937g,508,501,390,505
gene-KLLA0_A02959g,1148,1311,1168,1402
gene-KLLA0_A02981g,531,524,327,369
gene-KLLA0_A03003g,536,506,285,278
gene-KLLA0_A03025g,14284,15036,5092,6690
gene-KLLA0_A03047g,1247,1154,2518,2359
gene-KLLA0_A03069g,2094,2228,1468,1863
gene-KLLA0_A03091g,6215,6249,3025,2880
gene-KLLA0_A03113g,1606,1663,1185,1407
gene-KLLA0_A03135g,766,849,508,658
gene-KLLA0_A03157g,3247,3194,2585,3255
gene-KLLA0_A03179g,579,594,941,1028
gene-KLLA0_A03201g,4698,4380,3382,3513
gene-KLLA0_A03223g,1170,1226,439,526
gene-KLLA0_A03245g,810,858,505,654
gene-KLLA0_A03267g,307,292,778,885
gene-KLLA0_A03289g,339,321,140,158
gene-KLLA0_A03311g,296,328,292,238
gene-KLLA0_A03333g,7382,7338,1696,1905
gene-KLLA0_A03355g,2757,2754,3798,3997
gene-KLLA0_A03377g,3384,3514,2377,2813
gene-KLLA0_A03399g,1195,1244,650,747
gene-KLLA0_A03421g,1974,2074,1003,1182
gene-KLLA0_A03443g,2417,2475,1772,1947
gene-KLLA0_A03465g,1657,1752,1151,1285
gene-KLLA0_A03487g,3449,3538,2214,2580
gene-KLLA0_A03509g,1145,1198,780,858
gene-KLLA0_A03531g,1013,1041,3823,4536
gene-KLLA0_A03553g,78,91,80,112
gene-KLLA0_A03575g,177,164,235,242
gene-KLLA0_A03597g,2753,2894,1526,1730
gene-KLLA0_A03619g,965,1176,769,940
gene-KLLA0_A03641g,1759,1799,2502,2346
gene-KLLA0_A03663g,1497,1465,1371,1512
gene-KLLA0_A03696g,480,506,315,428
gene-KLLA0_A03718g,707,859,496,452
gene-KLLA0_A03740g,10150,9944,4370,5039
gene-KLLA0_A03762r,0,0,0,0
gene-KLLA0_A03784r,0,0,0,0
gene-KLLA0_A03806g,2180,2189,1839,2085
gene-KLLA0_A03883g,1138,1148,569,591
gene-KLLA0_A03905g,3764,3733,5078,5482
gene-KLLA0_A03938g,1417,1489,749,895
gene-KLLA0_A03960g,1091,1039,359,539
gene-KLLA0_A03982g,2626,2549,1973,2634
gene-KLLA0_A04015g,3581,3581,2672,2848
gene-KLLA0_A04037g,535,554,1006,1162
gene-KLLA0_A04059g,1371,1431,1889,1869
gene-KLLA0_A04081g,659,719,124,155
gene-KLLA0_A04103g,1430,1435,1939,1962
gene-KLLA0_A04125g,3114,3428,1384,1609
gene-KLLA0_A04147g,5208,5327,1364,1780
gene-KLLA0_A04169g,4302,4140,8539,8697
gene-KLLA0_A04191g,5413,5587,5358,6395
gene-KLLA0_A04213g,1396,1494,974,1343
gene-KLLA0_A04235g,2750,2831,2550,3189
gene-KLLA0_A04257r,0,0,0,0
gene-KLLA0_A04301g,702,706,750,730
gene-KLLA0_A04323g,2134,1957,1221,1311
gene-KLLA0_A04345g,339,339,646,584
gene-KLLA0_A04367g,293,254,206,210
gene-KLLA0_A04389g,576,651,299,246
gene-KLLA0_A04411g,947,998,655,762
gene-KLLA0_A04433g,737,740,655,813
gene-KLLA0_A04499g,5313,5419,4409,5346
gene-KLLA0_A04521g,295,296,91,106
gene-KLLA0_A04543g,2476,2476,1632,1861
gene-KLLA0_A04565g,233,244,152,181
gene-KLLA0_A04587g,2889,2963,3030,3802
gene-KLLA0_A04609g,516,472,762,719
gene-KLLA0_A04620g,12,19,12,21
gene-KLLA0_A04631g,1531,1542,1069,1346
gene-KLLA0_A04653g,837,940,1162,1312
gene-KLLA0_A04686r,0,0,0,0
gene-KLLA0_A04708g,1408,1531,970,1266
gene-KLLA0_A04730g,4269,3950,9773,10503
gene-KLLA0_A04752g,3016,3219,2112,2558
