gene_id,treated_b1,untreated_b1,untreated_b2
gene-KLLA0_B02288g,1540,3512,4232
gene-KLLA0_B02310g,573,502,563
gene-KLLA0_B02332g,949,338,443
gene-KLLA0_B02354g,1671,447,523
gene-KLLA0_B02376g,510,1017,1304
gene-KLLA0_B02398g,1116,611,732
gene-KLLA0_B02420g,1345,1130,1372
gene-KLLA0_B02442g,1016,820,731
gene-KLLA0_B02464g,920,401,438
gene-KLLA0_B02519g,360,383,404
gene-KLLA0_B02541g,987,564,665
gene-KLLA0_B02563g,294,128,160
gene-KLLA0_B02585g,1690,795,971
gene-KLLA0_B02607g,2430,24155,25954
gene-KLLA0_B02629g,354,544,652
gene-KLLA0_B02651g,1119,660,570
gene-KLLA0_B02673g,1829,1587,1805
gene-KLLA0_B02695g,352,260,312
gene-KLLA0_B02717g,21110,38380,39243
gene-KLLA0_B02739g,128,106,96
gene-KLLA0_B02783g,855,2563,3281
gene-KLLA0_B02805g,10839,3583,3920
gene-KLLA0_B02827g,1560,1134,1200
gene-KLLA0_B02849g,1129,846,1078
gene-KLLA0_B02871g,249,113,100
gene-KLLA0_B02893g,406,373,404
gene-KLLA0_B02915g,1426,1158,1465
gene-KLLA0_B02937g,350,13020,14917
gene-KLLA0_B02948r,40,27,38
gene-KLLA0_B02959g,392,440,519
gene-KLLA0_B02981g,627,944,1104
gene-KLLA0_B03003g,2209,998,993
gene-KLLA0_B03025g,176,125,166
gene-KLLA0_B03047g,2946,3082,3009
gene-KLLA0_B03069g,623,1325,1462
gene-KLLA0_B03091g,2005,1733,2200
gene-KLLA0_B03113g,2745,2205,2436
gene-KLLA0_B03135g,6145,2953,3116
gene-KLLA0_B03157g,1482,1527,1852
gene-KLLA0_B03179g,1949,1344,1464
gene-KLLA0_B03212g,282,210,271
gene-KLLA0_B03234g,1242,688,717
gene-KLLA0_B03267g,1228,935,1074
gene-KLLA0_B03289g,437,448,761
gene-KLLA0_B03311g,472,506,406
gene-KLLA0_B03333g,22,54,51
gene-KLLA0_B03355g,12134,3651,4363
gene-KLLA0_B03377g,5321,3491,4800
gene-KLLA0_B03432g,1462,881,886
gene-KLLA0_B03454g,745,394,456
gene-KLLA0_B03476g,738,1622,1573
gene-KLLA0_B03498g,466,258,320
gene-KLLA0_B03520g,3099,2328,2526
gene-KLLA0_B03542g,1040,956,1018
gene-KLLA0_B03564g,3991,6301,8085
gene-KLLA0_B03586g,1284,1484,1576
gene-KLLA0_B03608g,910,1139,1365
gene-KLLA0_B03652g,901,31313,38167
gene-KLLA0_B03674g,2469,1591,1865
gene-KLLA0_B03696r,0,0,0
gene-KLLA0_B03718g,393,489,668
gene-KLLA0_B03740g,1227,1246,1385
gene-KLLA0_B03762g,6315,5123,5561
gene-KLLA0_B03784g,1235,645,896
gene-KLLA0_B03806g,1434,992,1127
gene-KLLA0_B03828g,1437,846,980
gene-KLLA0_B03850g,2040,1820,1812
gene-KLLA0_B03872g,7008,5970,7253
gene-KLLA0_B03894g,2082,2257,2241
gene-KLLA0_B03916g,2222,1374,1669
gene-KLLA0_B03927g,210,80,110
gene-KLLA0_B03938g,4167,3686,4335
gene-KLLA0_B03982g,2942,1963,2237
gene-KLLA0_B04004g,1984,970,936
gene-KLLA0_B04026g,573,269,300
gene-KLLA0_B04048g,62,95,133
gene-KLLA0_B04070g,125,60,99
gene-KLLA0_B04092g,1097,1336,1556
gene-KLLA0_B04114r,0,0,0
gene-KLLA0_B04136g,1261,1522,1618
gene-KLLA0_B04158g,572,711,829
gene-KLLA0_B04180g,689,1263,1486
gene-KLLA0_B04202g,2663,2155,2426
gene-KLLA0_B04224g,724,438,402
gene-KLLA0_B04246g,1441,967,1052
gene-KLLA0_B04268r,0,0,0
gene-KLLA0_B04290g,3734,3474,4473
gene-KLLA0_B04312g,684,532,692
gene-KLLA0_B04334g,113,111,192
gene-KLLA0_B04356g,1474,1172,1458
gene-KLLA0_B04378g,1947,1729,2050
gene-KLLA0_B04400g,723,416,686
gene-KLLA0_B04422g,524,209,228
gene-KLLA0_B04444g,659,564,659
gene-KLLA0_B04455g,647,299,362
gene-KLLA0_B04466g,1021,543,543
gene-KLLA0_B04477g,1227,1371,1329
gene-KLLA0_B04499g,662,528,679
gene-KLLA0_B04521g,869,478,624
gene-KLLA0_B04543g,3244,1036,1102
gene-KLLA0_B04565g,4070,2994,3051
gene-KLLA0_B04587g,5586,2226,2633
gene-KLLA0_B04609g,236,127,142
gene-KLLA0_B04620g,736,856,923
gene-KLLA0_B04642g,3614,13383,15289
gene-KLLA0_B04664g,1337,4054,4849
gene-KLLA0_B04686g,578,18134,23987
gene-KLLA0_B04708g,7209,10398,10963
gene-KLLA0_B04730g,1569,980,1213
gene-KLLA0_B04752g,6060,4063,4884
gene-KLLA0_B04774g,1563,2708,2753
gene-KLLA0_B04796g,417,371,521
gene-KLLA0_B04818g,771,408,473
gene-KLLA0_B04840g,968,874,790
gene-KLLA0_B04862g,151,117,124
gene-KLLA0_B04884g,6929,5736,7042
gene-KLLA0_B04906g,2985,3481,4227
gene-KLLA0_B04928g,27,36,33
gene-KLLA0_B04950g,857,1038,1247
gene-KLLA0_B04972g,756,515,680
gene-KLLA0_B04994g,726,515,610
gene-KLLA0_B05016g,1212,1179,1351
gene-KLLA0_B05038g,280,220,263
gene-KLLA0_B05060g,923,29079,35474
gene-KLLA0_B05082g,383,495,629
gene-KLLA0_B05115g,795,987,1112
gene-KLLA0_B05137g,1468,1531,1703
gene-KLLA0_B05159g,1092,633,772
gene-KLLA0_B05181g,849,1641,1947
gene-KLLA0_B05203g,215,162,236
gene-KLLA0_B05225g,2519,1577,1629
gene-KLLA0_B05247g,6054,16335,19546
gene-KLLA0_B05269g,315,208,261
gene-KLLA0_B05379g,25,32,35
gene-KLLA0_B05423g,4718,3828,4108
gene-KLLA0_B05445g,1547,1441,1454
gene-KLLA0_B05467g,423,585,754
gene-KLLA0_B05489g,1207,1666,2018
gene-KLLA0_B05511g,6756,10633,12664
gene-KLLA0_B05522r,3,2,0
gene-KLLA0_B05533g,778,251,296
gene-KLLA0_B05555g,1522,1876,1960
gene-KLLA0_B05577g,3958,5103,5763
gene-KLLA0_B05599g,747,1157,1297
gene-KLLA0_B05621g,1238,1003,1110
gene-KLLA0_B05643g,16638,7815,8934
gene-KLLA0_B05665g,4066,3020,3294
gene-KLLA0_B05687g,854,985,1229
gene-KLLA0_B05709g,1257,956,1020
gene-KLLA0_B05742g,341,9521,13287
gene-KLLA0_B05764r,0,0,0
gene-KLLA0_B05786g,763,708,818
gene-KLLA0_B05808g,113,194,188
gene-KLLA0_B05841g,10215,14781,15182
gene-KLLA0_B05863g,4282,789,698
gene-KLLA0_B05885g,10,18,24
gene-KLLA0_B05918g,585,18296,19652
gene-KLLA0_B05973g,67,114,130
gene-KLLA0_B05995g,1542,3584,4299
gene-KLLA0_B06017r,0,0,0
gene-KLLA0_B06039g,1293,1073,767
gene-KLLA0_B06061g,329,232,295
gene-KLLA0_B06094g,650,547,731
gene-KLLA0_B06116g,887,791,897
gene-KLLA0_B06138g,2620,2524,2827
gene-KLLA0_B06160r,0,0,0
gene-KLLA0_B06182g,1726,11218,15032
gene-KLLA0_B06190r,0,0,0
gene-KLLA0_B06198r,1,0,0
gene-KLLA0_B06206r,0,0,0
gene-KLLA0_B06215g,2469,2373,3039
gene-KLLA0_B06237g,632,436,553
gene-KLLA0_B06259g,581,446,504
gene-KLLA0_B06281r,0,0,0
gene-KLLA0_B06303g,1739,4661,5201
gene-KLLA0_B06325r,0,0,0
gene-KLLA0_B06347g,3332,410,498
gene-KLLA0_B06369g,438,188,221
gene-KLLA0_B06391g,2079,1513,1688
gene-KLLA0_B06413g,1812,2555,2835
gene-KLLA0_B06435g,2265,2386,2544
gene-KLLA0_B06457g,992,1160,1279
gene-KLLA0_B06479g,3227,2473,2986
gene-KLLA0_B06501g,6524,3173,3190
gene-KLLA0_B06523g,989,1061,1008
gene-KLLA0_B06545g,338,244,322
gene-KLLA0_B06556g,524,392,529
gene-KLLA0_B06578r,0,0,0
gene-KLLA0_B06622g,1482,1482,1668
gene-KLLA0_B06644g,539,253,245
gene-KLLA0_B06688r,0,0,0
gene-KLLA0_B06710g,835,269,399
gene-KLLA0_B06732g,925,845,1039
gene-KLLA0_B06754g,4062,1573,1779
gene-KLLA0_B06776g,731,357,393
gene-KLLA0_B06798g,1106,1088,1313
gene-KLLA0_B06820g,1395,658,772
gene-KLLA0_B06842g,2065,1386,1685
gene-KLLA0_B06864g,708,170,227
gene-KLLA0_B06886g,10466,6151,8032
gene-KLLA0_B06908r,0,0,0
gene-KLLA0_B06930r,0,0,0
gene-KLLA0_B06952g,5978,1424,1480
gene-KLLA0_B06974g,192,62,98
gene-KLLA0_B06996r,0,0,0
gene-KLLA0_B07010r,955,655,741
gene-KLLA0_B07040g,632,687,643
gene-KLLA0_B07062g,2876,3299,4163
gene-KLLA0_B07084g,589,296,405
gene-KLLA0_B07095g,159,181,176
gene-KLLA0_B07117g,489,1188,1450
gene-KLLA0_B07139g,1838,28276,31526
gene-KLLA0_B07161g,439,444,561
gene-KLLA0_B07183g,110,204,298
gene-KLLA0_B07205g,1273,1220,1390
gene-KLLA0_B07227g,1194,712,767
gene-KLLA0_B07249g,3072,1560,1657
gene-KLLA0_B07271g,1216,615,675
gene-KLLA0_B07293r,0,0,0
gene-KLLA0_B07315r,0,0,0
gene-KLLA0_B07337g,397,223,277
gene-KLLA0_B07370g,3245,1176,1293
gene-KLLA0_B07392g,26689,15550,15145
gene-KLLA0_B07425r,0,0,0
gene-KLLA0_B07447g,513,266,316
gene-KLLA0_B07469g,2629,558,604
gene-KLLA0_B07491g,5292,1613,1921
gene-KLLA0_B07513g,1048,1556,1819
gene-KLLA0_B07535g,2139,1868,2009
gene-KLLA0_B07557g,3379,6604,7122
gene-KLLA0_B07579g,1386,2140,2309
gene-KLLA0_B07590r,0,0,0
gene-KLLA0_B07601g,123,5792,7817
gene-KLLA0_B07623g,208,12995,15560
gene-KLLA0_B07645g,649,947,976
gene-KLLA0_B07667g,2318,2141,2172
gene-KLLA0_B07689g,1819,1831,2267
gene-KLLA0_B07711g,38,19,17
gene-KLLA0_B07733g,1320,1924,2463
gene-KLLA0_B07755g,598,816,904
gene-KLLA0_B07777g,1223,4309,5200
gene-KLLA0_B07799g,2047,2576,2560
gene-KLLA0_B07821g,2396,1287,1423
gene-KLLA0_B07843g,2002,1489,1649
gene-KLLA0_B07865g,1267,838,1051
gene-KLLA0_B07887g,1341,1086,1058
gene-KLLA0_B07909g,2338,578,621
gene-KLLA0_B07931g,103,1486,1848
gene-KLLA0_B07953g,319,19293,23818
gene-KLLA0_B07975g,751,164,231
gene-KLLA0_B07997g,268,363,423
gene-KLLA0_B08019g,388,350,353
gene-KLLA0_B08041g,214,66,83
gene-KLLA0_B08063g,7112,4931,5338
gene-KLLA0_B08085g,6622,18088,19941
gene-KLLA0_B08107g,471,432,459
gene-KLLA0_B08118r,1,0,0
gene-KLLA0_B08129g,120,244,334
gene-KLLA0_B08151g,524,658,608
gene-KLLA0_B08173g,68,4483,6617
gene-KLLA0_B08195g,765,275,301
gene-KLLA0_B08217g,3042,1849,1962
gene-KLLA0_B08239g,624,2224,2355
gene-KLLA0_B08261g,50,13,15
gene-KLLA0_B08283g,128,171,210
gene-KLLA0_B08305g,1198,1081,1003
gene-KLLA0_B08327g,3181,2678,2726
gene-KLLA0_B08349r,0,0,0
gene-KLLA0_B08371g,4574,2062,2634
gene-KLLA0_B08393r,0,0,0
gene-KLLA0_B08415g,981,887,1133
gene-KLLA0_B08437g,824,726,932
gene-KLLA0_B08459g,836,399,449
gene-KLLA0_B08481g,434,874,1222
gene-KLLA0_B08503g,335,456,630
gene-KLLA0_B08525g,378,232,270
gene-KLLA0_B08547g,413,224,289
gene-KLLA0_B08569g,723,789,1042
gene-KLLA0_B08591g,869,1222,1220
gene-KLLA0_B08613r,0,0,0
gene-KLLA0_B08635g,4658,4354,5241
gene-KLLA0_B08657g,485,904,873
gene-KLLA0_B08679g,934,506,606
gene-KLLA0_B08712g,354,454,686
gene-KLLA0_B08734g,613,535,611
gene-KLLA0_B08756g,642,628,622
gene-KLLA0_B08778g,128,92,138
gene-KLLA0_B08800g,870,455,464
gene-KLLA0_B08822g,25949,15676,19361
gene-KLLA0_B08844g,848,1193,1233
gene-KLLA0_B08866g,1285,1221,1397
gene-KLLA0_B08888g,366,590,672
gene-KLLA0_B08910g,82,45,74
gene-KLLA0_B08932g,5749,7714,9424
gene-KLLA0_B08954g,146,259,252
gene-KLLA0_B08976g,271,246,218
gene-KLLA0_B08998g,135458,223076,243263
gene-KLLA0_B09020g,497,626,686
gene-KLLA0_B09042g,6,11,8
gene-KLLA0_B09064g,5963,717,922
gene-KLLA0_B09108g,284,182,221
gene-KLLA0_B09130g,1079,952,965
gene-KLLA0_B09152g,29878,26096,29841
gene-KLLA0_B09174g,444,347,382
gene-KLLA0_B09196g,1534,1403,1518
gene-KLLA0_B09218g,9050,11463,12110
gene-KLLA0_B09240g,554,762,781
gene-KLLA0_B09262g,3178,5153,4213
gene-KLLA0_B09284g,171,144,176
gene-KLLA0_B09306g,1769,1222,1568
gene-KLLA0_B09328r,0,0,0
gene-KLLA0_B09350g,551,427,535
gene-KLLA0_B09372g,3404,4883,6171
gene-KLLA0_B09394g,346,285,309
gene-KLLA0_B09405g,3313,2489,3142
gene-KLLA0_B09427g,2489,1663,2216
gene-KLLA0_B09460g,1663,1499,1014
gene-KLLA0_B09482g,246,167,218
gene-KLLA0_B09504g,243,247,329
gene-KLLA0_B09526g,376,239,238
gene-KLLA0_B09548g,2724,2680,3653
gene-KLLA0_B09592g,1653,1769,1610
gene-KLLA0_B09614r,0,0,0
gene-KLLA0_B09636g,604,572,794
gene-KLLA0_B09658g,1537,238,304
gene-KLLA0_B09680g,871,794,856
gene-KLLA0_B09702g,739,1660,1847
gene-KLLA0_B09724g,203,113,155
gene-KLLA0_B09746g,6507,6700,7687
gene-KLLA0_B09768g,4382,3269,3249
gene-KLLA0_B09790g,1426,1189,1402
gene-KLLA0_B09812g,2051,2072,2654
gene-KLLA0_B09834g,420,346,287
gene-KLLA0_B09856g,1691,1101,1058
gene-KLLA0_B09878g,351,34,39
gene-KLLA0_B09900g,812,273,335
gene-KLLA0_B09922g,1569,715,829
gene-KLLA0_B09944g,1141,783,756
gene-KLLA0_B09966g,663,751,965
gene-KLLA0_B09988g,1787,916,955
gene-KLLA0_B10010g,378,142,166
gene-KLLA0_B10032g,430,246,349
gene-KLLA0_B10054g,542,424,391
gene-KLLA0_B10076g,481,372,319
gene-KLLA0_B10098g,44,28,41
gene-KLLA0_B10120g,514,183,198
gene-KLLA0_B10142g,588,169,210
gene-KLLA0_B10153g,1413,821,1083
gene-KLLA0_B10175g,3714,3012,3678
gene-KLLA0_B10197g,941,1016,1047
gene-KLLA0_B10219g,4,22,14
gene-KLLA0_B10241g,320,87,85
gene-KLLA0_B10263g,5234,2206,2367
gene-KLLA0_B10285g,1447,593,759
gene-KLLA0_B10307g,467,353,391
gene-KLLA0_B10329g,1176,719,928
gene-KLLA0_B10351g,963,618,633
gene-KLLA0_B10373g,284,47,70
gene-KLLA0_B10395g,1566,302,369
gene-KLLA0_B10406g,329,46,52
gene-KLLA0_B10428g,202,104,80
gene-KLLA0_B10450g,1420,966,957
gene-KLLA0_B10472g,1178,1013,1279
gene-KLLA0_B10494r,0,0,0
gene-KLLA0_B10538g,2355,3105,3606
gene-KLLA0_B10560g,2579,4970,5942
gene-KLLA0_B10582g,2399,2953,3272
gene-KLLA0_B10604g,1009,624,539
gene-KLLA0_B10626g,3351,2611,3798
gene-KLLA0_B10648g,200,230,313
gene-KLLA0_B10670g,1349,408,565
gene-KLLA0_B10692g,1008,606,767
gene-KLLA0_B10714g,267,142,152
gene-KLLA0_B10736g,1572,1526,1775
gene-KLLA0_B10758r,0,0,0
gene-KLLA0_B10769g,737,375,410
gene-KLLA0_B10780g,525,1713,2010
gene-KLLA0_B10802g,897,1025,1068
gene-KLLA0_B10824g,1529,1103,1214
gene-KLLA0_B10846g,2073,1479,1710
gene-KLLA0_B10868g,2404,8310,10110
gene-KLLA0_B10879r,17,14,17
gene-KLLA0_B10890g,565,775,860
gene-KLLA0_B10912g,653,1051,1157
gene-KLLA0_B10934g,390,668,794
gene-KLLA0_B10956g,1205,424,509
gene-KLLA0_B10978g,1400,1447,1725
gene-KLLA0_B11000g,882,807,1032
gene-KLLA0_B11011g,1154,681,850
gene-KLLA0_B11033g,1843,871,877
gene-KLLA0_B11055g,2401,2701,2845
gene-KLLA0_B11077g,522,1128,1309
gene-KLLA0_B11099g,2113,1772,1797
gene-KLLA0_B11121g,635,506,616
gene-KLLA0_B11143g,1875,2322,2343
gene-KLLA0_B11165g,637,521,557
gene-KLLA0_B11187g,7,31,32
gene-KLLA0_B11209g,1361,1602,2148
gene-KLLA0_B11231g,1687,18470,24217
gene-KLLA0_B11253g,607,853,990
gene-KLLA0_B11275g,588,434,515
gene-KLLA0_B11297g,1603,1343,1359
gene-KLLA0_B11319g,381,485,505
gene-KLLA0_B11341g,936,1474,1700
gene-KLLA0_B11363g,56,49,58
gene-KLLA0_B11385g,3398,4247,4847
gene-KLLA0_B11407g,2734,821,906
gene-KLLA0_B11429g,486,414,380
gene-KLLA0_B11451g,1702,1245,1366
gene-KLLA0_B11473g,867,1700,1925
gene-KLLA0_B11495g,314,239,267
gene-KLLA0_B11550g,636,418,387
gene-KLLA0_B11572g,5776,5212,6100
gene-KLLA0_B11594g,71,36,37
gene-KLLA0_B11616g,2063,1939,2323
gene-KLLA0_B11638g,1811,892,1038
gene-KLLA0_B11660g,2360,1254,1555
gene-KLLA0_B11682g,1078,847,1018
gene-KLLA0_B11704g,1206,858,930
gene-KLLA0_B11726r,0,0,0
gene-KLLA0_B11748g,2912,2588,2838
gene-KLLA0_B11770g,678,359,481
gene-KLLA0_B11792g,958,658,734
gene-KLLA0_B11814g,1269,1080,1575
gene-KLLA0_B11836g,4082,2124,2756
gene-KLLA0_B11858g,1782,2121,2100
gene-KLLA0_B11880g,922,266,311
gene-KLLA0_B11902g,1685,1400,1450
gene-KLLA0_B11924g,1424,848,936
gene-KLLA0_B11946g,368,463,519
gene-KLLA0_B11968g,439,453,529
gene-KLLA0_B11990g,644,718,847
gene-KLLA0_B12012g,1180,1001,1082
gene-KLLA0_B12034g,160,196,293
gene-KLLA0_B12056g,5338,2942,4177
gene-KLLA0_B12078g,3332,3223,4130
gene-KLLA0_B12100g,275,258,326
gene-KLLA0_B12133g,909,965,1167
gene-KLLA0_B12155g,893,855,1052
gene-KLLA0_B12177g,765,808,1073
gene-KLLA0_B12199g,366,739,999
gene-KLLA0_B12221g,1059,902,1167
gene-KLLA0_B12243g,1400,1033,1170
gene-KLLA0_B12265g,1160,690,870
gene-KLLA0_B12287g,3933,2998,3315
gene-KLLA0_B12309g,1253,1092,1162
gene-KLLA0_B12331g,994,621,599
gene-KLLA0_B12353g,660,234,304
gene-KLLA0_B12375g,1315,1157,1248
gene-KLLA0_B12397g,661,512,537
gene-KLLA0_B12419g,1970,1203,1461
gene-KLLA0_B12441g,1435,469,586
gene-KLLA0_B12463g,843,464,600
gene-KLLA0_B12496g,1359,573,652
gene-KLLA0_B12518g,350,436,588
gene-KLLA0_B12540g,2673,2540,3083
gene-KLLA0_B12562g,4716,3822,3657
gene-KLLA0_B12584g,3290,6324,7063
gene-KLLA0_B12606g,64,14,5
gene-KLLA0_B12628g,4309,1727,2146
gene-KLLA0_B12650g,3851,573,603
gene-KLLA0_B12672g,7629,2383,2873
gene-KLLA0_B12694g,20112,9806,11682
gene-KLLA0_B12716g,4197,3138,3335
gene-KLLA0_B12738g,499,721,887
gene-KLLA0_B12760g,1999,931,1072
gene-KLLA0_B12782g,463,428,525
gene-KLLA0_B12804g,2765,1938,1985
gene-KLLA0_B12826g,551,902,990
gene-KLLA0_B12848g,690,354,398
gene-KLLA0_B12870g,406,170,221
gene-KLLA0_B12892g,2068,834,895
gene-KLLA0_B12914g,5074,4053,4854
gene-KLLA0_B12936g,12141,10763,12282
gene-KLLA0_B12958g,2534,1853,1553
gene-KLLA0_B12980g,1728,874,998
gene-KLLA0_B13002g,1760,937,1069
gene-KLLA0_B13024g,240,219,275
gene-KLLA0_B13046g,426,814,886
gene-KLLA0_B13068g,1279,727,679
gene-KLLA0_B13090g,854,424,465
gene-KLLA0_B13112g,1752,1062,1178
gene-KLLA0_B13123g,867,338,297
gene-KLLA0_B13134g,1035,537,660
gene-KLLA0_B13145g,975,843,1009
gene-KLLA0_B13167g,754,598,600
gene-KLLA0_B13189g,4252,4490,5420
gene-KLLA0_B13211g,3107,2791,2902
gene-KLLA0_B13233g,1356,1352,1515
gene-KLLA0_B13255g,1589,1743,1907
gene-KLLA0_B13277g,7043,4937,5331
gene-KLLA0_B13321g,597,57,57
gene-KLLA0_B13343g,1919,1064,1153
gene-KLLA0_B13365g,118,210,297
gene-KLLA0_B13387g,592,688,726
gene-KLLA0_B13409g,248,12710,17804
gene-KLLA0_B13431g,230,211,220
gene-KLLA0_B13453g,2053,1578,2022
gene-KLLA0_B13475g,1490,1344,1380
gene-KLLA0_B13497g,1863,2645,3146
gene-KLLA0_B13519g,571,1802,2009
gene-KLLA0_B13541g,163,72,86
gene-KLLA0_B13563g,306,1072,1306
gene-KLLA0_B13585g,2066,1195,1365
gene-KLLA0_B13607g,2990,3173,3159
gene-KLLA0_B13629g,904,458,530
gene-KLLA0_B13651g,551,378,399
gene-KLLA0_B13673g,612,268,272
gene-KLLA0_B13695g,1248,1012,1031
gene-KLLA0_B13717r,0,0,0
gene-KLLA0_B13739g,1053,922,929
gene-KLLA0_B13761g,5826,2996,3131
gene-KLLA0_B13794g,355,358,472
gene-KLLA0_B13816g,1952,887,1304
gene-KLLA0_B13838g,905,724,839
gene-KLLA0_B13860g,365,425,397
gene-KLLA0_B13882g,3168,3147,3663
gene-KLLA0_B13904g,6333,4393,5255
gene-KLLA0_B13926g,219,151,184
gene-KLLA0_B13948g,3329,3375,3498
gene-KLLA0_B13970g,641,241,282
gene-KLLA0_B13992g,1146,765,1017
gene-KLLA0_B14014g,3260,2640,2188
gene-KLLA0_B14036g,886,1817,2151
gene-KLLA0_B14058g,1621,894,1004
gene-KLLA0_B14080g,1286,3047,3784
gene-KLLA0_B14102g,893,745,699
gene-KLLA0_B14124g,1677,942,1133
gene-KLLA0_B14146g,1494,894,1151
gene-KLLA0_B14168g,2478,1176,1380
gene-KLLA0_B14190g,641,300,344
gene-KLLA0_B14212r,0,0,0
gene-KLLA0_B14234g,1389,1309,1529
gene-KLLA0_B14256g,1764,1017,1068
gene-KLLA0_B14278g,15042,6405,6615
gene-KLLA0_B14300g,1347,484,567
gene-KLLA0_B14322g,3387,2363,2831
gene-KLLA0_B14333r,0,0,0
gene-KLLA0_B14344g,3328,2526,3043
gene-KLLA0_B14366g,1434,1666,2007
gene-KLLA0_B14388g,6847,4936,5500
gene-KLLA0_B14410g,4824,2305,2597
gene-KLLA0_B14432g,640,458,676
gene-KLLA0_B14454g,17368,6294,7603
gene-KLLA0_B14476g,4198,718,768
gene-KLLA0_B14498g,404837,149079,164905
gene-KLLA0_B14531g,197,0,94
gene-KLLA0_B14553g,460,171,166
gene-KLLA0_B14575g,277,42,18
gene-KLLA0_B14597g,10,26,33
gene-KLLA0_B14619g,311,317,333
gene-KLLA0_B14685g,898,439,502
gene-KLLA0_B14707g,3726,5034,5185
gene-KLLA0_B14729g,497,235,271
gene-KLLA0_B14751g,786,335,331
gene-KLLA0_B14773g,157,84,61
gene-KLLA0_B14795g,460,178,236
gene-KLLA0_B14817g,429,176,229
gene-KLLA0_B14839g,2032,1606,1821
gene-KLLA0_B14861g,2469,1425,1759
gene-KLLA0_B14883g,6200,6621,7412
gene-KLLA0_B14916g,174,32,43
gene-KLLA0_B14927g,127,19,16
gene-KLLA0_B14949g,0,2,2
gene-KLLA0_C00110g,87,0,45
gene-KLLA0_C00132g,0,81,0
gene-KLLA0_C00154g,44,0,30
gene-KLLA0_C00176g,728,45,108
gene-KLLA0_C00190g,533,254,381
gene-KLLA0_C00198g,21,7,8
gene-KLLA0_C00220g,754,183,215
gene-KLLA0_C00242g,55,10,10
gene-KLLA0_C00264g,623,354,469
gene-KLLA0_C00286g,2234,591,672
gene-KLLA0_C00330g,0,195,96
gene-KLLA0_C00352g,3,4,3
gene-KLLA0_C00374g,0,1,0
gene-KLLA0_C00396g,99,52,78
gene-KLLA0_C00440g,2226,377,420
gene-KLLA0_C00462g,1078,1399,1560
gene-KLLA0_C00484g,2023,1684,1856
gene-KLLA0_C00506g,1165,1105,1282
gene-KLLA0_C00528g,209,151,147
gene-KLLA0_C00550g,790,428,655
gene-KLLA0_C00572g,4296,3803,4664
gene-KLLA0_C00594g,429,250,256
gene-KLLA0_C00616g,161,49,69
gene-KLLA0_C00649g,3785,2472,2775
gene-KLLA0_C00671g,130,36,43
gene-KLLA0_C00693g,91,83,108
gene-KLLA0_C00715g,5925,6943,8141
gene-KLLA0_C00737g,1057,1486,1716
gene-KLLA0_C00759g,1225,1375,1677
gene-KLLA0_C00803g,785,1708,1438
gene-KLLA0_C00825g,2315,3260,3547
gene-KLLA0_C00847g,13706,5505,6707
gene-KLLA0_C00869g,4158,2204,2591
gene-KLLA0_C00891g,564,228,307
gene-KLLA0_C00913g,1766,822,894
gene-KLLA0_C00935g,2678,1284,1858
gene-KLLA0_C00957g,10838,10905,14790
gene-KLLA0_C00979g,330,208,233
gene-KLLA0_C01001g,744,250,286
gene-KLLA0_C01023g,1025,747,826
gene-KLLA0_C01045g,967,742,972
gene-KLLA0_C01067g,1995,1415,1471
gene-KLLA0_C01089g,1178,1125,1166
gene-KLLA0_C01111g,14009,13947,18055
gene-KLLA0_C01133g,1824,1809,1663
gene-KLLA0_C01155g,4204,8065,9628
gene-KLLA0_C01177g,2286,1033,1128
gene-KLLA0_C01188g,2819,1273,1528
gene-KLLA0_C01210g,254,2077,2308
gene-KLLA0_C01232g,859,1236,1415
gene-KLLA0_C01254g,511,843,982
gene-KLLA0_C01276g,2852,8996,9825
gene-KLLA0_C01298g,3055,1903,2422
gene-KLLA0_C01320g,3989,2932,3832
gene-KLLA0_C01342g,452,212,268
gene-KLLA0_C01364g,46,47,60
gene-KLLA0_C01386g,544,393,468
gene-KLLA0_C01408g,538,901,1070
gene-KLLA0_C01430g,695,420,501
gene-KLLA0_C01452g,5192,7328,8874
gene-KLLA0_C01474g,646,508,591
gene-KLLA0_C01496g,3280,8812,9654
gene-KLLA0_C01518g,17,20,38
gene-KLLA0_C01540g,975,1827,1894
gene-KLLA0_C01562g,1421,590,827
gene-KLLA0_C01584g,975,611,802
gene-KLLA0_C01606g,4655,14905,17536
gene-KLLA0_C01628g,1180,1263,1642
gene-KLLA0_C01650g,2117,3044,3392
gene-KLLA0_C01672g,1394,1162,1378
gene-KLLA0_C01694g,3036,2099,2135
gene-KLLA0_C01716g,3122,1930,2061
gene-KLLA0_C01738g,3434,1355,1933
gene-KLLA0_C01760g,1163,915,1189
gene-KLLA0_C01782g,5681,9277,10986
gene-KLLA0_C01804g,1383,891,1107
gene-KLLA0_C01826g,1631,1609,1834
gene-KLLA0_C01848g,1746,2219,2604
gene-KLLA0_C01870g,447,8405,9151
gene-KLLA0_C01892g,606,493,489
gene-KLLA0_C01914g,711,678,982
gene-KLLA0_C01936g,142,91,88
gene-KLLA0_C01969g,2513,2825,2543
gene-KLLA0_C01991g,2044,1857,2171
gene-KLLA0_C02013g,670,585,642
gene-KLLA0_C02035g,7592,2107,2143
gene-KLLA0_C02057g,1553,555,734
gene-KLLA0_C02079g,354,150,149
