gene_id,treated_b1,untreated_b1,untreated_b2
gene-KLLA0_A02915g,339,912,952
gene-KLLA0_A02937g,560,390,505
gene-KLLA0_A02959g,1230,1168,1402
gene-KLLA0_A02981g,429,327,369
gene-KLLA0_A03003g,490,285,278
gene-KLLA0_A03025g,9787,5092,6690
gene-KLLA0_A03047g,921,2518,2359
gene-KLLA0_A03069g,2425,1468,1863
gene-KLLA0_A03091g,4778,3025,2880
gene-KLLA0_A03113g,1412,1185,1407
gene-KLLA0_A03135g,649,508,658
gene-KLLA0_A03157g,2931,2585,3255
gene-KLLA0_A03179g,373,941,1028
gene-KLLA0_A03201g,4157,3382,3513
gene-KLLA0_A03223g,1325,439,526
gene-KLLA0_A03245g,607,505,654
gene-KLLA0_A03267g,267,778,885
gene-KLLA0_A03289g,241,140,158
gene-KLLA0_A03311g,320,292,238
gene-KLLA0_A03333g,4469,1696,1905
gene-KLLA0_A03355g,3358,3798,3997
gene-KLLA0_A03377g,3131,2377,2813
gene-KLLA0_A03399g,957,650,747
gene-KLLA0_A03421g,1695,1003,1182
gene-KLLA0_A03443g,1963,1772,1947
gene-KLLA0_A03465g,1558,1151,1285
gene-KLLA0_A03487g,4271,2214,2580
gene-KLLA0_A03509g,1563,780,858
gene-KLLA0_A03531g,1114,3823,4536
gene-KLLA0_A03553g,80,80,112
gene-KLLA0_A03575g,188,235,242
gene-KLLA0_A03597g,2758,1526,1730
gene-KLLA0_A03619g,895,769,940
gene-KLLA0_A03641g,1383,2502,2346
gene-KLLA0_A03663g,1157,1371,1512
gene-KLLA0_A03696g,469,315,428
gene-KLLA0_A03718g,666,496,452
gene-KLLA0_A03740g,6298,4370,5039
gene-KLLA0_A03762r,0,0,0
gene-KLLA0_A03784r,0,0,0
gene-KLLA0_A03806g,2167,1839,2085
gene-KLLA0_A03883g,1034,569,591
gene-KLLA0_A03905g,4474,5078,5482
gene-KLLA0_A03938g,1090,749,895
gene-KLLA0_A03960g,973,359,539
gene-KLLA0_A03982g,2177,1973,2634
gene-KLLA0_A04015g,3596,2672,2848
gene-KLLA0_A04037g,241,1006,1162
gene-KLLA0_A04059g,1381,1889,1869
gene-KLLA0_A04081g,539,124,155
gene-KLLA0_A04103g,1725,1939,1962
gene-KLLA0_A04125g,3162,1384,1609
gene-KLLA0_A04147g,7739,1364,1780
gene-KLLA0_A04169g,4728,8539,8697
gene-KLLA0_A04191g,6166,5358,6395
gene-KLLA0_A04213g,1664,974,1343
gene-KLLA0_A04235g,2525,2550,3189
gene-KLLA0_A04257r,0,0,0
gene-KLLA0_A04301g,921,750,730
gene-KLLA0_A04323g,2810,1221,1311
gene-KLLA0_A04345g,632,646,584
gene-KLLA0_A04367g,317,206,210
gene-KLLA0_A04389g,467,299,246
gene-KLLA0_A04411g,905,655,762
gene-KLLA0_A04433g,514,655,813
gene-KLLA0_A04499g,5621,4409,5346
gene-KLLA0_A04521g,352,91,106
gene-KLLA0_A04543g,2915,1632,1861
gene-KLLA0_A04565g,243,152,181
gene-KLLA0_A04587g,2294,3030,3802
gene-KLLA0_A04609g,732,762,719
gene-KLLA0_A04620g,29,12,21
gene-KLLA0_A04631g,1453,1069,1346
gene-KLLA0_A04653g,517,1162,1312
gene-KLLA0_A04686r,0,0,0
gene-KLLA0_A04708g,1436,970,1266
gene-KLLA0_A04730g,4082,9773,10503
gene-KLLA0_A04752g,3260,2112,2558
gene-KLLA0_A04774g,399,230,339
gene-KLLA0_A04796g,1436,1382,1728
gene-KLLA0_A04818g,680,761,1021
gene-KLLA0_A04840g,1010,717,942
gene-KLLA0_A04862g,1636,1167,1437
gene-KLLA0_A04884g,1127,1316,1345
gene-KLLA0_A04906g,18919,95,100
gene-KLLA0_A04928g,1080,981,1116
gene-KLLA0_A04961g,4800,7704,8664
gene-KLLA0_A04983g,6499,5693,5227
gene-KLLA0_A05005g,681,259,340
gene-KLLA0_A05027g,3211,1483,1769
gene-KLLA0_A05049g,625,484,526
gene-KLLA0_A05071g,5118,4812,5454
gene-KLLA0_A05093g,2653,1592,2235
gene-KLLA0_A05115g,1627,1048,1096
gene-KLLA0_A05137g,2200,1370,1581
gene-KLLA0_A05159g,1415,1295,1714
gene-KLLA0_A05181g,100,73,82
gene-KLLA0_A05203g,711,484,581
gene-KLLA0_A05225g,614,447,471
gene-KLLA0_A05247g,621,400,551
gene-KLLA0_A05258g,725,462,504
gene-KLLA0_A05280g,2279,1859,1728
gene-KLLA0_A05302g,598,319,371
gene-KLLA0_A05324g,1801,891,1045
gene-KLLA0_A05346g,3942,2116,1886
gene-KLLA0_A05368g,420,1488,1475
gene-KLLA0_A05390g,2833,3219,3586
gene-KLLA0_A05412g,633,593,732
gene-KLLA0_A05434g,1224,936,996
gene-KLLA0_A05456g,1617,1431,1587
gene-KLLA0_A05478g,6381,3811,4638
gene-KLLA0_A05500g,473,306,412
gene-KLLA0_A05511g,21,23,30
gene-KLLA0_A05522g,3392,2452,2155
gene-KLLA0_A05544g,37297,43685,51766
gene-KLLA0_A05566g,145,167,224
gene-KLLA0_A05621g,2373,1696,1582
gene-KLLA0_A05643g,507,243,298
gene-KLLA0_A05665g,460,836,1015
gene-KLLA0_A05687g,4,0,0
gene-KLLA0_A05700g,238,6187,6314
gene-KLLA0_A05709g,1902,1012,1042
gene-KLLA0_A05731g,9988,19436,24176
gene-KLLA0_A05753g,318,418,460
gene-KLLA0_A05775g,735,1015,1254
gene-KLLA0_A05797g,798,784,902
gene-KLLA0_A05819g,1992,1679,1922
gene-KLLA0_A05841g,633,1391,1783
gene-KLLA0_A05852g,189,83,77
gene-KLLA0_A05863g,2416,17410,22238
gene-KLLA0_A05885g,1116,926,1275
gene-KLLA0_A05907g,1490,721,933
gene-KLLA0_A05929g,815,451,484
gene-KLLA0_A05951g,601,735,951
gene-KLLA0_A05973g,264,411,484
