gene_id	gene_name	Klac.t0000.b1.L001	Klac.t0000.b1.L002	Klac.t0000.b2.L001	Klac.t0000.b2.L002	Klac.t0015.b3.L001	Klac.t0015.b3.L002	Klac.t0015.b4.L001	Klac.t0015.b4.L002	Klac.t0030.b3.L001	Klac.t0030.b3.L002	Klac.t0030.b4.L001	Klac.t0030.b4.L002	Klac.t0045.b3.L001	Klac.t0045.b3.L002	Klac.t0045.b4.L001	Klac.t0045.b4.L002	Klac.t0060.b3.L001	Klac.t0060.b3.L002	Klac.t0060.b4.L001	Klac.t0060.b4.L002	Klac.t0090.b3.L001	Klac.t0090.b3.L002	Klac.t0090.b4.L001	Klac.t0090.b4.L002	Klac.t0120.b4.L001	Klac.t0120.b4.L002	Klac.t0150.b1.L001	Klac.t0150.b1.L002	Klac.t0150.b2.L001	Klac.t0150.b2.L002	Klac.t0180.b3.L001	Klac.t0180.b3.L002	Klac.t0180.b4.L001	Klac.t0180.b4.L002	Klac.t0210.b3.L001	Klac.t0210.b3.L002	Klac.t0210.b4.L001	Klac.t0210.b4.L002	Klac.t0240.b3.L001	Klac.t0240.b3.L002	Klac.t0240.b4.L001	Klac.t0240.b4.L002	Klac.t0360.b3.L001	Klac.t0360.b3.L002	Klac.t0360.b4.L001	Klac.t0360.b4.L002	Klac.t0480.b3.L001	Klac.t0480.b3.L002	Klac.t0480.b4.L001	Klac.t0480.b4.L002
gene-KDRO_A02850	Rcn1	0	0	0	0.97994422195083	0	0	0	0	2.99397580343796	2.98556366486745	0	0	0	0	0	0	3.9892177959504	0	2.02198435889497	2.01578184977571	0.994503236454048	0	2.00852773113112	0	0	0	0	0	0	1.00290841095364	0	1.99308664940483	0	2.99800960345881	1.00443213541575	3.00384852153889	0	1.00679364234138	2.00516032398103	0	0	0	0	0	0.994712003321496	0.994251874235155	1.98760239431573	2.97642174688688	0	0
gene-KDRO_A04150	Mip1	8.03650242643424	8.03246122082874	11.1348827971156	15.2066202285399	17.0270786089676	9.01802077686904	6.01889837000351	4.01245281268373	20.0017897090733	17.0464834700556	14.0472639172471	10.0508622560164	8.03133525073674	14.0810109445959	7.01037422477319	6.00816579132835	11.9988262774796	10.0108649062143	11.8722846940441	2.97403734929088	8.01597899072052	12.0391098671258	11.9449915697703	6.98105402089285	12.0098565844996	8.01930237315577	22.0656796123619	9.02825896570987	10.9582112812208	13.9516667689621	11.9836608491773	9.00427457669552	6.98676278457586	9.72822204214877	4.97884291098869	7.98060896497176	4.96942632763819	9.94069574408783	7.97279098770003	7.98694147371221	4.96321062596908	10.9363834289184	10.9970309565663	8.99989380574742	6.00956452418364	16.0303979093312	5.0103892366658	5.01545311446706	17.9181867253925	4.98331012264244
gene-KDRO_A04940	Lcb3_Ysr3	17.0148417850003	19.0152703440458	35.1033971717044	32.1041229576568	18.0122168621023	27.0235327131266	7.00696382076598	16.0150476556427	17.0069809169763	14.0167062356362	16.0178993468619	14.0231415228848	23.0268365645682	30.0514553371643	26.0118057012338	26.0085838639162	17.998849999209	26.0038202589391	30.9167075989725	17.9587251555828	27.0137800114345	26.01714366533	31.9781027449306	42.9767270878412	36.0097467012363	34.0143106329285	27.012282376771	23.0108602667522	14.9941025325725	21.9914262972382	42.9949864775366	35.002698355584	30.9934949711697	32.9937634443802	36.9869771248642	37.9939354294205	22.9815639591829	21.9828475458171	27.985000504554	20.9920289119739	23.9709653094215	28.9699653525489	33.9978827240267	37.9973810983275	38.0075036311697	52.0107341664975	46.0088110854455	41.0122279732685	19.9858141268008	33.9798469153821
gene-KDRO_B02650	Tom7	0	1.97367250476004	0.957317842735731	1.90945928040907	1.95790456466549	1.9615497253951	0.992821583545401	0	2.96327100762517	3.9511046213478	2.98427307242318	1.98258928644928	3.0041115605251	0.99828382760146	4.0147469192833	2.00551244775544	2.00737904463167	0	3.14978317240135	2.09868729476867	0	0	1.04213720264702	1.04085948286455	1.93116046513789	0.965635304833449	0	0	1.0136963735511	2.0230426740865	0.986270680400617	0.98382147038711	2.00750096125991	0	0.980041405747061	2.93718106181635	0	0	1.01696735855505	1.01758648894332	0	1.03546602532945	0	1.01485304382483	1.00732486924617	1.01000008461781	2.0148560552347	0	0	1.02994883586994
gene-KDRO_B05790	Slo1	0	0.983910430019236	0.958315867099011	0	0.981288541679723	0.981603176210405	0	0.990614664336506	0	0.98807690593929	0.994558145421329	0	0	0	0	0	0	0	0	1.04449587924517	0.982105141352692	0	3.09582618636432	0	0	0	0.990860474684048	0	1.01544208632485	0	0.998949283038278	0	0	4.01874694703237	0	1.99234719385328	1.03750190868566	0	0	1.01458887420796	0	0	1.00762319519362	3.02405176104407	3.00420268923541	0	0	0	0	0
gene-KDRO_B06350	Med11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0087674388272	0	0
gene-KDRO_C01800	Hor7_Ddr2	29.4664900541695	21.6301638188364	28.6948588288159	15.2562993595877	16.6239066853926	21.5131095505144	10.8843593985801	17.8421289056415	5.91353258736381	9.86330690290319	1.98692683033862	3.96033833283432	7.98287957520176	8.95205383482667	7.02295934758945	18.0363883449292	56.0531277407546	60.8887895205452	71.2360026838114	61.7184114202474	69.3306680293495	67.2197133843116	49.771308409576	89.0957746887567	131.819925855728	117.182292704719	129.991978486102	139.920779165875	123.628207825082	131.442583141544	176.0075286889	179.406520374004	151.432425489357	155.377302070981	167.522278512132	153.390239859253	154.051221167411	139.539170655925	196.653209277023	176.261392340018	165.373297808726	181.835001713326	123.051892314788	136.348529894686	246.913988353379	222.145522657189	191.859355320087	164.46113300571	145.543903820566	141.854769992181
gene-KDRO_C02880	Pho84	100.233131895978	93.2071067921528	141.98887239457	87.681996014796	408.384230022773	429.586711639254	339.657235329394	360.680756362821	5710.5436661518	5530.2024180606	5319.18543048117	5075.9602719366	6602.60852525598	6575.90492313832	4919.44099937986	4767.72205282604	5344.57941585742	5376.00167404158	4844.8193600434	4713.87411512375	4766.52950761067	4770.55654828243	5447.90760035763	5372.96887670908	6319.23374719669	6164.06156093132	5757.98500689643	5576.12808143405	5834.95468474593	5941.67413665547	7121.27968280923	6921.74075848625	6038.27585337076	6034.84023383712	7094.37917386006	7065.86032364086	5673.14400735304	5921.91695282504	6727.90857321498	6831.64731292417	6963.63521512563	6897.39172143528	6537.99548475679	6727.70475176172	8320.73581616642	8299.85701350261	6425.53173334906	6382.68522645765	7352.35108996934	7282.89026966434
gene-KDRO_D00400	Atp15	0.982288235966807	5.90665722836813	13.3836990490812	3.81121896641821	3.91010004626546	2.93765267988165	5.94339989766883	2.97932713910618	11.825890018984	6.90256065890365	13.9068274275795	1.97977957791271	11.9891075241586	2.98784602437865	16.0322048751476	5.00543937616623	6.01091858508721	12.9784625278526	8.3831922247651	2.09426426308617	17.5399156317086	7.79197448731162	13.5123559324358	9.34401694494883	9.6531567427772	15.4415060571147	4.96327219501029	2.9793263996906	5.05950014711505	7.06894515669068	6.89878364022629	4.91319849598584	8.01494795691668	4.00875113930985	8.82369644404013	6.85379910454703	7.3029625296646	6.2596786369797	3.04464754218003	6.08938627067618	1.03502889251308	6.19967896062489	3.02797090530363	5.06056874219493	6.02797865223235	3.02146664891602	1.00500981117205	3.01521067965797	6.16081887168508	9.25133918543514
gene-KDRO_D02850	Hho1	0	0	0.994318799741116	0.993449432324227	0	0	0	0	0	1.0000292567495	2.99786678136684	0	0	0	0.999809818147151	0	1.00036347276307	0	0	1.00447008142403	3.99773071813624	0	0	0	2.00022579046527	0.99885472354684	0	0	2.00672178414244	0	1.00150951266901	0	2.00374274114192	0	0	1.00247441222327	1.00491561507417	0	1.00273531758258	0	0	0	0	0	2.99765727002171	0	0	0	2.00702202869329	0
