gene_id	gene_name	Scer.t0000.b2.L001	Scer.t0000.b2.L002	Scer.t0000.b3.L001	Scer.t0000.b3.L002	Scer.t0030.b2.L001	Scer.t0030.b2.L002	Scer.t0030.b4.L001	Scer.t0030.b4.L002	Scer.t0060.b2.L001	Scer.t0060.b2.L002	Scer.t0060.b4.L001	Scer.t0060.b4.L002	Scer.t0090.b2.L001	Scer.t0090.b2.L002	Scer.t0090.b4.L001	Scer.t0090.b4.L002	Scer.t0120.b2.L001	Scer.t0120.b2.L002	Scer.t0120.b4.L001	Scer.t0120.b4.L002	Scer.t0150.b2.L001	Scer.t0150.b2.L002	Scer.t0150.b4.L001	Scer.t0150.b4.L002	Scer.t0180.b2.L001	Scer.t0180.b2.L002	Scer.t0180.b4.L001	Scer.t0180.b4.L002	Scer.t0210.b2.L001	Scer.t0210.b2.L002	Scer.t0210.b4.L001	Scer.t0210.b4.L002	Scer.t0240.b2.L001	Scer.t0240.b2.L002	Scer.t0240.b4.L001	Scer.t0240.b4.L002	Scer.t0360.b2.L001	Scer.t0360.b2.L002	Scer.t0360.b4.L001	Scer.t0360.b4.L002	Scer.t0480.b2.L001	Scer.t0480.b2.L002	Scer.t0480.b4.L001	Scer.t0480.b4.L002
gene-YOR262W	NM_001183681.1	39.540053	45.439148	44.267552	48.310409	27.411928	24.816339	26.293887	24.518303	48.340642	54.117003	49.74649	47.857533	44.132561	40.678993	42.358065	45.480023	39.478582	39.537531	37.008398	37.718434	31.411513	25.906469	30.440518	30.892152	28.629299	30.742313	28.482085	28.482753	37.066814	35.339458	43.494041	40.95116	36.474035	39.785553	40.63028	41.689647	50.60191	51.62189	52.058245	55.877612	62.86092	70.248923	53.407502	58.503862
gene-YOR264W	NM_001183683.3	45.690263	46.690517	45.109658	38.447999	75.677167	74.507636	72.055261	76.360891	70.270811	76.505089	73.023904	69.697503	37.751532	36.666033	39.11066	38.371724	72.858537	70.156969	75.61106	77.550203	69.383256	73.1991	65.762704	68.529454	68.230129	65.253165	70.97411	65.544471	63.884522	62.271375	65.854708	69.546595	67.029354	61.340528	68.549589	61.912136	57.361327	50.515971	61.015554	57.970403	41.627061	39.875471	38.439836	40.198424
gene-YOR265W	NM_001183684.1	120.418086	136.806398	122.150616	129.660415	156.348424	150.082413	151.886712	148.267735	145.619621	145.610853	153.491831	139.213369	119.474547	143.949909	149.395474	147.27867	149.87753	162.665779	143.52068	142.490422	203.678223	172.94341	184.989822	159.59723	198.820728	190.840852	184.760013	183.292243	183.402227	205.831741	206.994592	192.934255	203.049788	172.144239	190.5945	178.870094	196.506857	200.434742	162.895734	178.243916	168.4013	184.917847	179.57606	208.72088
gene-YOR266W	NM_001183685.3	15.981816	16.785948	11.65427	15.595989	18.730634	18.093507	19.056934	20.53407	17.318261	18.300506	18.421028	19.237604	15.309696	15.547959	15.012826	12.333558	16.93259	13.432159	13.735883	16.228124	15.063534	18.290578	14.839053	17.933642	15.934234	18.683326	16.001807	18.750179	16.371062	17.721602	18.555733	19.030447	19.003724	17.339687	13.437159	16.361611	15.112612	15.976287	18.529487	15.900356	17.608168	16.333254	15.532222	19.387135
gene-YOR267C	NM_001183686.1	35.663479	34.428834	30.900262	30.802883	68.688623	64.110582	62.718113	64.441305	37.162211	34.068656	35.673904	38.920886	34.744965	33.52027	34.097223	33.086084	39.326985	40.397212	32.736305	31.652687	46.615239	45.981277	47.773558	48.585852	53.382928	53.096641	53.698639	53.356463	47.668788	46.609352	48.848265	48.206651	42.76074	46.888539	45.176008	49.305522	44.943677	45.245911	46.049759	45.88983	47.272829	49.884873	44.572554	45.151563
gene-YOR268C	NM_001183687.3	0	0.515187	0.538303	0	0.491971	0	0.446668	0	0	0	0	0	0.465135	0.940413	0	0	0.78547	0	0.962324	0	1.075873	2.177785	0	0.516733	1.001028	1.520722	0	0	1.794648	0.608349	0.986276	0.989524	1.439179	1.935166	1.083581	0.546167	0.530579	2.146735	2.889655	0.972317	0.897853	5.936539	1.639644	0
gene-YOR269W	NM_001183688.1	14.452975	14.647773	15.800774	14.15506	11.23735	9.871131	12.370887	12.103361	15.989196	13.643436	12.791036	14.987056	15.709509	13.86183	13.247974	13.593615	13.116907	12.644047	13.490498	11.812356	11.958254	10.303802	10.752489	10.718573	6.646657	9.569966	7.832699	7.688231	7.691886	8.907942	10.692069	7.901219	7.344747	7.989838	8.601177	8.366774	7.686876	6.14107	6.708112	6.638666	9.075541	9.561495	11.125132	8.875929
gene-YOR270C	NM_001183689.3	300.121706	297.669903	289.370646	295.565794	233.304772	232.483114	217.099834	217.259965	269.534173	260.873699	252.011043	262.678468	235.288807	235.799095	246.001167	239.990934	229.599295	224.652552	224.005733	231.74087	221.575443	212.056594	221.627021	219.393818	212.407627	204.855522	211.973813	211.517944	204.035706	203.946921	201.433481	200.136542	198.911763	204.05353	193.879933	197.259414	190.278332	185.431222	185.674963	180.637791	171.260442	172.869105	179.538223	174.383805
gene-YOR271C	NM_001183690.1	205.758407	210.404846	199.568895	207.726517	79.986898	82.645569	99.080573	95.054577	178.583212	159.312464	183.62476	180.029405	196.210124	206.239246	185.355474	194.976745	164.78193	164.332189	157.105211	170.87515	118.930444	104.085496	133.993221	134.331083	103.749594	99.666028	98.093997	99.162738	129.037767	130.998871	135.366543	126.676805	131.313352	124.809366	161.725343	155.120097	131.004203	134.221417	137.079661	140.626507	123.873294	137.145073	170.826358	170.227898
gene-YOR272W	NM_001183691.3	91.506073	96.828876	97.504566	100.74837	7.802433	11.068929	11.250919	10.057198	93.368113	100.087779	99.797731	97.31209	96.016167	93.378701	96.63924	95.731853	56.408535	49.35006	53.609092	53.706934	21.3678	17.993956	28.261996	32.565598	9.949052	9.855767	8.416728	8.541776	19.846064	17.971178	18.027831	19.087932	17.140582	19.756842	23.594932	24.010739	28.611636	27.057417	33.079924	31.264007	47.074307	51.391811	61.097529	61.194176
gene-YOR273C	NM_001183692.1	82.042229	80.19913	78.104443	78.713785	101.799704	101.995811	118.664214	113.097751	28.966576	29.033155	32.747784	33.944574	34.985827	36.642398	36.952539	37.080173	67.087034	66.322773	59.644764	55.239211	80.556634	82.151555	73.905788	73.899242	81.69068	86.524266	80.711298	80.641229	73.820239	79.974446	74.361966	72.392469	94.264712	88.156259	79.757517	73.636626	100.099553	103.876922	87.133154	92.508903	69.324058	67.714835	61.755216	62.09052
gene-YOR274W	NM_001183693.3	22.064391	21.683837	21.858276	23.590974	13.760407	14.853361	14.286591	13.443281	27.396415	28.562545	28.819276	27.10346	24.172955	23.486371	21.879207	26.608772	23.611911	23.812982	21.932797	20.657394	22.33446	21.562686	24.03847	24.507998	26.733613	27.590405	23.721215	25.20572	32.630536	28.819326	33.109133	34.107284	37.392181	38.221398	36.878244	39.871485	40.425359	45.921886	47.272005	49.124897	54.021156	49.777724	63.221877	60.267218
gene-YOR275C	NM_001183694.1	31.046652	32.230376	30.612085	29.165479	50.223648	49.662594	47.026753	45.444083	33.935937	36.036278	35.878334	40.078079	32.218339	33.556565	30.738372	33.422492	37.606426	34.858142	33.735817	32.147889	42.012946	42.136217	44.516043	44.084907	43.799152	46.620998	47.521221	49.830713	47.157966	45.908168	44.777272	45.797332	46.130451	46.89335	45.618906	40.877485	47.923775	50.343071	46.375888	48.001205	45.703634	43.533195	45.426304	42.729245
