gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0150,t0180,t0210,t0240,t0360,t0480
KDRO_C01800,0,-1.869972239107144,0,0,1.130135407836286,1.9859166757767044,2.208983908816197,2.3537550989548977,2.316323443726273,2.4820354968449485,2.369221487401545,2.3826441716374305
KDRO_C02880,1.9915560012809608,5.680942598262082,5.68980503097934,5.213098623874946,5.383581382956168,5.64580535512148,5.647421089878558,5.617652193535015,5.6951190323207594,5.724916931366901,5.7480373406521865,5.7845764351646185
KDRO_D07380,0,0,0,0,-2.0115613302630257,-2.775758771560885,-3.2422902720854125,-3.3914345310414222,-3.596656746815384,-3.5782733060998657,-3.5709309169925767,-2.872070378281537
KDRO_E08030,0,1.4564510434725055,1.1199926550324089,0,-3.0031915251865176,-5.387946823750112,-5.951369935225264,-6.465365114781244,-5.454406166545024,-5.404058551464705,-4.356288228272167,-4.130760278375147
KDRO_F01520,-1.3000116793185394,-3.3633537156066513,-1.0763196246246942,0,0,0,0,0,0,0,0,0
KLLA0_A00132g,0,0,0,0,2.0347785947442723,3.0259765408134305,3.2465913526081436,3.47008092727131,3.5162374581310294,3.6067740989544967,3.3029586325940468,2.9526797861364127
KLLA0_A00154g,0,-4.119210006366658,-4.118763578527716,0,2.646804846310274,2.7775191039826006,2.2010196156920765,2.5637997532424053,2.364983915357774,2.1443386630506702,1.5078868544323127,0
KLLA0_A00176g,0,3.659568672475264,7.235699640648886,8.611047093984928,8.75550043277468,8.845816118281821,9.048198781839524,9.263958985197396,9.218792643894702,9.287420004287092,9.678178324683836,9.697264570576314
KLLA0_A00198g,-1.249495127700512,-1.204654625668575,0,0,0,0,0,0,0,0,0,1.1664497669753409
KLLA0_A00220g,0,-4.720585081616841,-2.7967602012824857,0,0,0,0,0,0,0,0,0
KLLA0_A00242g,1.4165758180446022,0,0,-2.515375476815235,-1.483996311102443,0,-1.0708530537329397,0,0,0,-1.3610190647962106,-1.8096878906301144
KLLA0_A00264g,0,-1.6702476560720296,-1.1907696363757938,0,0,0,0,0,0,0,0,0
KLLA0_A00352g,0,0,1.04769835287975,1.5039633286033742,1.8219227327907168,1.5577133862161774,1.1693681116064918,1.104323639542441,0,0,0,0
KLLA0_A00374g,0,0,1.06413618439444,1.5790452722034285,1.741797562926552,1.3594987118762114,0,0,0,0,0,0
KLLA0_A00396g,0,-1.2841994242578108,0,0,0,0,0,0,0,0,0,0
KLLA0_A00418g,-1.749555325934254,-2.719780185688892,-2.289609173768376,-1.6356589549549383,-1.529351421396135,-1.6463558457046412,-1.5876557381759415,-1.5255845505333927,-1.5850797559003913,-1.538898529916506,-1.812600658349598,-2.0253813081379195
KLLA0_A00462g,0,-2.2397871417945105,0,0,0,0,0,0,0,0,0,0
KLLA0_A00484g,-1.6054823782771923,-3.330188565574444,-2.1834066386604825,-1.5431602081756923,0,0,0,0,0,0,0,0
KLLA0_A00506g,0,-1.9594572116152529,-2.4826650994141777,-1.1123314218194422,0,0,0,0,0,0,0,0
