tx	gene_id	Klac.t0000.b1.L001	Klac.t0000.b1.L002	Klac.t0000.b2.L001	Klac.t0000.b2.L002	Klac.t0015.b3.L001	Klac.t0015.b3.L002	Klac.t0015.b4.L001	Klac.t0015.b4.L002	Klac.t0030.b3.L001	Klac.t0030.b3.L002	Klac.t0030.b4.L001	Klac.t0030.b4.L002	Klac.t0045.b3.L001	Klac.t0045.b3.L002	Klac.t0045.b4.L001	Klac.t0045.b4.L002	Klac.t0060.b3.L001	Klac.t0060.b3.L002	Klac.t0060.b4.L001	Klac.t0060.b4.L002	Klac.t0090.b3.L001	Klac.t0090.b3.L002	Klac.t0090.b4.L001	Klac.t0090.b4.L002	Klac.t0120.b4.L001	Klac.t0120.b4.L002	Klac.t0150.b1.L001	Klac.t0150.b1.L002	Klac.t0150.b2.L001	Klac.t0150.b2.L002	Klac.t0180.b3.L001	Klac.t0180.b3.L002	Klac.t0180.b4.L001	Klac.t0180.b4.L002	Klac.t0210.b3.L001	Klac.t0210.b3.L002	Klac.t0210.b4.L001	Klac.t0210.b4.L002	Klac.t0240.b3.L001	Klac.t0240.b3.L002	Klac.t0240.b4.L001	Klac.t0240.b4.L002	Klac.t0360.b3.L001	Klac.t0360.b3.L002	Klac.t0360.b4.L001	Klac.t0360.b4.L002	Klac.t0480.b3.L001	Klac.t0480.b3.L002	Klac.t0480.b4.L001	Klac.t0480.b4.L002
rna-XM_453644.1	gene-KLLA0_D13046g	66.620813	68.309624	65.226475	64.185456	45.097038	46.180995	41.489775	40.710131	14.635394	14.122577	13.974889	14.136851	22.538291	24.796263	28.872999	27.964401	60.359749	63.038789	63.398681	66.485184	91.216334	93.409511	91.843471	92.705808	116.881955	106.442538	129.736657	112.005483	121.725894	126.448527	125.374732	130.612673	127.097041	135.019387	121.17202	133.883978	125.825783	121.951146	126.62705	123.578272	127.674086	138.759291	147.116392	146.954909	133.574683	128.168095	142.736276	132.593471	147.318714	148.690787
rna-XM_453645.1	gene-KLLA0_D13068g	30.322516	27.927699	29.592949	31.492159	23.311745	19.960042	19.71474	21.286082	26.610736	24.089742	24.933276	24.832652	24.211993	23.336642	23.949752	25.054361	28.942489	28.457986	29.229571	31.253502	31.592023	34.340717	32.957929	31.083346	26.781061	25.988136	23.205375	26.182084	23.694146	23.657104	24.848565	27.51043	25.854723	24.803018	30.563792	29.035964	31.766349	28.983182	26.679212	31.606725	32.06993	33.022596	31.339046	29.934696	26.025895	24.745071	28.634575	27.922693	30.447321	32.458663
rna-XM_002999327.1	gene-KLLA0_D13079g	1.209159	0	0.983565	0	0	0	0	0	0	0	2.649085	0	0	0.871357	0	1.103628	0	0.885235	0	0	0	0	0	1.177264	0	3.761063	0	2.792422	0	0	3.263118	2.193177	1.32776	0	1.18148	3.580471	1.452111	0	0	3.817238	0	0	1.429265	8.697129	0	7.453506	1.264231	8.996014	1.27803	1.302742
rna-XM_453646.1	gene-KLLA0_D13090g	112.511652	111.569779	111.392158	118.911515	150.959861	161.941402	164.237245	164.0579	223.022531	224.815836	229.83784	230.288769	185.963013	180.534704	172.560735	176.201677	99.453515	99.328837	99.055243	98.895469	79.449139	67.708237	71.791394	73.780366	78.552961	76.3832	90.547471	80.344901	77.448203	89.358183	83.285818	81.321812	86.652647	80.448935	80.31897	87.920646	78.921425	82.1225	94.24149	87.846305	90.594277	88.181368	97.979119	98.33808	83.377425	84.766931	88.081797	84.717926	96.14783	94.905054
rna-XM_453647.1	gene-KLLA0_D13112g	346.624804	387.337543	460.285341	430.829206	475.72673	424.077985	426.642606	415.042913	650.120666	577.405119	632.176121	622.241073	601.319829	617.607477	670.304783	630.349327	610.960166	654.195283	577.414761	587.287074	759.162231	824.068889	753.401243	773.906532	789.061088	771.279183	620.941184	600.868629	686.982689	613.252459	537.887545	548.158879	548.551735	580.624315	558.063624	564.535919	493.068955	541.519065	549.938988	589.021643	562.963231	543.459697	591.920712	592.005303	579.012534	595.63623	464.285306	462.663957	456.64308	466.368741
rna-XM_453648.1	gene-KLLA0_D13134g	47.080343	51.40026	50.597105	50.256767	32.830902	32.259912	31.138747	32.999247	27.096657	26.321125	29.554157	26.379391	34.555788	31.301613	33.931523	40.258039	56.36489	55.587859	55.001414	60.570923	67.939141	69.003311	69.405024	67.227336	70.21572	61.922827	67.299644	78.855385	67.756697	63.650283	57.662705	63.011651	63.039866	64.698095	69.248205	59.814647	61.229747	69.209694	70.566044	69.940338	69.937989	65.873843	73.568033	75.19435	68.498282	65.309337	63.392314	55.649244	63.125177	57.428143
rna-XM_453649.1	gene-KLLA0_D13156g	24.254299	23.343899	21.858976	22.165617	28.556805	27.025306	27.52347	27.322831	29.718948	29.980485	24.270322	25.926049	29.568765	29.729256	26.353195	28.004323	20.678164	20.881142	21.880019	22.853194	24.981398	26.268115	23.79635	23.84254	30.80075	34.202022	34.885009	29.43656	34.785224	35.012864	33.501574	31.733005	33.951457	35.128602	33.411729	33.961125	33.89445	36.051154	31.02361	30.386385	34.070226	33.263357	35.712762	34.441103	33.066955	31.944623	35.838026	34.535019	38.363989	36.529165
rna-XM_453650.1	gene-KLLA0_D13178g	29.405574	30.157824	31.017678	29.340466	20.443237	21.695355	18.462481	19.509168	10.567488	10.088881	11.293935	10.231225	16.388145	18.892295	17.704865	14.991398	35.610161	29.69609	38.165784	34.865451	49.853218	46.126334	47.064165	48.570431	52.517818	50.558049	48.596432	50.083855	52.234271	53.803851	50.746212	50.72327	49.537933	50.050267	52.104411	52.740285	55.626405	54.660362	51.412463	52.055628	54.438347	53.463821	59.809715	59.092646	50.896216	49.956779	63.830188	58.544467	63.7541	60.432294
rna-XM_453651.1	gene-KLLA0_D13200g	31.186537	33.258013	29.298195	31.779642	32.886528	30.116482	29.65254	29.06195	20.220681	21.765904	19.900305	22.313598	22.83225	24.681849	28.834454	26.837203	33.928252	35.50886	30.709934	33.915287	39.244352	39.296874	39.156603	37.389746	36.565903	37.938173	39.036885	36.69924	38.577658	40.814236	39.651786	37.931395	41.175708	36.093832	40.661897	40.897696	38.438075	37.364054	39.093284	39.252882	34.275037	37.463104	42.421823	39.447811	39.21075	36.915154	37.017555	37.909916	42.08645	41.527405
rna-XM_453652.1	gene-KLLA0_D13222g	41.898156	42.467874	40.798129	42.440056	156.621928	152.422485	152.441041	151.96749	132.550915	132.268734	132.431882	137.582764	65.433049	60.793708	49.14515	47.231465	9.818606	8.791871	9.457748	8.464797	6.342189	6.730567	7.798226	6.733063	18.85012	18.114936	20.374313	22.252973	23.791926	24.17546	24.255754	22.762525	22.261696	25.932536	23.725393	23.022231	23.546871	22.386005	23.578584	21.841623	25.864494	24.493789	29.955067	27.177868	24.896371	25.106375	27.29824	25.481339	28.748572	30.82331
rna-XM_453653.1	gene-KLLA0_D13244g	33.676876	33.510691	31.012296	31.350537	30.674682	29.211828	31.584637	30.010685	28.660797	26.326643	27.452926	27.156141	30.698575	32.068416	31.301209	30.297638	40.292552	42.946742	41.310595	41.710317	47.005472	44.187487	47.42217	48.46054	55.263101	53.545921	45.106545	46.350138	44.134179	46.685948	38.723044	36.582059	36.798851	37.218131	38.634004	39.960363	36.614462	38.088209	31.581679	30.749087	30.323945	32.328511	26.908578	29.935191	27.638768	26.381143	21.523862	20.696961	23.387013	22.983562
