gene_id	gene_name	Klac.t0000.b1.L001	Klac.t0000.b1.L002	Klac.t0000.b2.L001	Klac.t0000.b2.L002	Klac.t0015.b3.L001	Klac.t0015.b3.L002	Klac.t0015.b4.L001	Klac.t0015.b4.L002	Klac.t0030.b3.L001	Klac.t0030.b3.L002	Klac.t0030.b4.L001	Klac.t0030.b4.L002	Klac.t0045.b3.L001	Klac.t0045.b3.L002	Klac.t0045.b4.L001	Klac.t0045.b4.L002	Klac.t0060.b3.L001	Klac.t0060.b3.L002	Klac.t0060.b4.L001	Klac.t0060.b4.L002	Klac.t0090.b3.L001	Klac.t0090.b3.L002	Klac.t0090.b4.L001	Klac.t0090.b4.L002	Klac.t0120.b4.L001	Klac.t0120.b4.L002	Klac.t0150.b1.L001	Klac.t0150.b1.L002	Klac.t0150.b2.L001	Klac.t0150.b2.L002	Klac.t0180.b3.L001	Klac.t0180.b3.L002	Klac.t0180.b4.L001	Klac.t0180.b4.L002	Klac.t0210.b3.L001	Klac.t0210.b3.L002	Klac.t0210.b4.L001	Klac.t0210.b4.L002	Klac.t0240.b3.L001	Klac.t0240.b3.L002	Klac.t0240.b4.L001	Klac.t0240.b4.L002	Klac.t0360.b3.L001	Klac.t0360.b3.L002	Klac.t0360.b4.L001	Klac.t0360.b4.L002	Klac.t0480.b3.L001	Klac.t0480.b3.L002	Klac.t0480.b4.L001	Klac.t0480.b4.L002
gene-KDRO_A02850	Rcn1	0	0	0	1.7119276203961	0	0	0	0	4.29843254924749	4.2923868191044	0	0	0	0	0	0	6.74617321354856	0	3.49257865304946	3.48347468313605	1.9375383925637	0	3.94452446811777	0	0	0	0	0	0	2.01938342001914	0	3.89729764603918	0	5.92821321575436	1.99172846210788	5.96107770545474	0	2.0185873501234	3.92386537415497	0	0	0	0	0	1.87960955757868	1.87787422292501	3.88533013761073	5.82535935363967	0	0
gene-KDRO_A04150	Mip1	1.85181157447363	1.84895073001434	2.49765867742695	3.41691428463612	3.6925823857999	1.9549851514553	1.27615848384187	0.850146622166877	3.6935844147107	3.15227907890276	2.57785724470106	1.84598068743587	1.56234549433781	2.74214275785753	1.33786567778213	1.1441336560424	2.60991190043863	2.17848419054275	2.63766749738719	0.661047836788964	2.00871363870614	3.01774265548892	3.01731055276088	1.76334331440968	3.08840775797242	2.06318900714552	5.57089530818684	2.27743085782851	2.83592176401715	3.61327444389887	3.01253054118736	2.26466238675812	1.77926391050018	2.47423879489855	1.26985840129778	2.0370426808533	1.28053273975521	2.56354654097508	2.00674743619336	2.01592854305784	1.24728108873421	2.75367283170675	2.81796073867766	2.30558071142559	1.46059776098582	3.89432082311564	1.25975828530027	1.26257088168818	4.59194684444574	1.27871592777649
gene-KDRO_A04940	Lcb3_Ysr3	12.4213029987874	13.867198486243	24.9462984094768	22.8544998272594	12.3756137533469	18.5602525265112	4.70681364172245	10.7503265759352	9.94983601508516	8.21193221920327	9.31284143678209	8.15978424586552	14.1916577649587	18.5409191567585	15.7271974184461	15.691378036383	12.4034176157653	17.9279030098525	21.7614841217588	12.6465335567082	21.4464958882146	20.6612677427422	25.5915378481381	34.3921037369033	29.3377231892834	27.7251322385733	21.606205212962	18.3900781491602	12.2937557080223	18.0442060862462	34.2428018184734	27.8911094011831	25.0060128685061	26.5857869737428	29.8872005648984	30.7247178840162	18.7617583134327	17.9604783647584	22.3160426950656	16.7864389156398	19.0851985206512	23.1097961207878	27.6007503269141	30.8394153743116	29.2662110659239	40.0304004875075	36.6493515630696	32.7090916497131	16.2268478765394	27.624034282398
gene-KDRO_B02650	Tom7	0	37.7863715513177	17.8602276757369	35.6857792446294	35.3154683602499	35.3683624390171	17.5082286817259	0	45.5128406742205	60.7703568048163	45.5500733417818	30.2858652513072	48.6058765615519	16.1693908465353	63.7254458497977	31.7646162883155	36.316155501389	0	58.203594008151	38.7987382328406	0	0	21.8948746236593	21.8671094594512	41.3046145842968	20.6632657177394	0	0	21.8195539152344	43.5775989079095	20.6215578318288	20.5804294080926	42.5210061324043	0	20.7900098921311	62.3559952025912	0	0	21.2898572908093	21.3623665471306	0	21.6849219917816	0	21.6236748585478	20.3629447502177	20.407614090425	42.1350177493015	0	0	21.9813929249589
gene-KDRO_B05790	Slo1	0	11.4696116419343	10.8861061631035	0	10.777132644093	10.7766712450906	0	10.6293105565738	0	9.25330877684936	9.24301691903976	0	0	0	0	0	0	0	0	11.7573554710698	12.4633815463488	0	39.6029175236764	0	0	0	12.6688338809972	0	13.3084103399335	0	12.7175026353497	0	0	51.7625002573435	0	25.7540519341107	13.5390995744615	0	0	12.9688412855724	0	0	13.0759753879708	39.2327375843061	36.9771390457709	0	0	0	0	0
gene-KDRO_B06350	Med11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2529711381495	0	0
gene-KDRO_C01800	Hor7_Ddr2	482.400732933436	353.741772105513	457.300176135265	243.556892250454	256.137391680096	331.348690050236	163.960907330234	268.584166011577	77.5846855082567	129.587240616119	25.9059088706845	51.6780311047085	110.331301108406	123.859336011536	95.2228778056259	244.024970002776	866.237081264782	941.390886699602	1124.43699192831	974.655295762562	1234.34533627839	1197.11071427807	893.229503614434	1598.90559732043	2408.39498402703	2141.97429375349	2331.70755750663	2507.6865201026	2273.11803175678	2418.58178419868	3143.56924822659	3205.84704504907	2739.88975010768	2807.66670139001	3035.63311337882	2781.70877840661	2820.32666239118	2556.64483053805	3516.68293309073	3160.83383762102	2952.68322220465	3252.86421021487	2240.25587413054	2481.66549601071	4263.66584220096	3834.20055991527	3427.27202484291	2941.43130143612	2650.00474247591	2586.12755204277
gene-KDRO_C02880	Pho84	51.2214551257946	47.581335287677	70.633812166514	43.6940910527135	196.412857130954	206.535146874469	159.712669726226	169.479730443934	2338.66236115114	2267.99338244722	2164.82676780587	2067.53534959742	2848.4970230781	2840.02816702765	2082.08264409051	2013.52339143628	2578.16978344694	2594.49659107027	2387.11989147529	2323.67479829481	2648.95536977273	2651.96488548704	3051.9315894227	3009.82398738994	3603.89501296385	3517.06415770469	3223.95607374083	3119.49885819899	3348.90602507561	3412.67225563855	3970.1863234606	3860.83253149178	3410.26571104655	3403.96285203382	4012.8429805925	3999.81626708374	3242.04572183281	3386.86304122899	3755.5479930275	3824.11520053843	3881.04378010787	3851.53989147194	3715.48065119603	3822.2647604265	4484.97739718008	4471.66161952062	3582.90858509173	3563.36178762952	4178.68783383212	4144.48739878998
gene-KDRO_D00400	Atp15	18.0994311106869	108.72132521016	240.060036927573	68.4796533310633	67.806946875786	50.9247548381438	100.767114324492	50.4775602540296	174.626148488746	102.069586991035	204.075775104329	29.0761526116141	186.497256368124	46.5276057725379	244.658794815394	76.2207690208405	104.550038106449	225.840760191753	148.933171444011	37.2232440425702	351.467543294002	156.182227802677	272.936431007754	188.732095471844	198.500881230063	317.678885022473	100.200998651022	60.09738090106	104.702838703682	146.394828266782	138.679012800148	98.8132798921425	163.21547976209	81.529260199817	179.959053041879	139.891631418318	150.480342198586	129.084093805576	61.2795588450586	122.903548827451	20.7993791870237	124.825720108063	62.0450952905976	103.666525144348	117.153589953782	58.6950526734254	20.2060920314325	60.6959236179378	126.251777822966	189.826583450945
gene-KDRO_D02850	Hho1	0	0	1.18711736880212	1.1881402821341	0	0	0	0	0	0.984290137909663	2.92819517934937	0	0	0	1.01556863008048	0	1.15815177607958	0	0	1.18834911096351	5.33206659868593	0	0	0	2.73776650568046	1.36780857990399	0	0	2.76415448175567	0	1.34003949212406	0	2.71598210119077	0	0	1.36193996159812	1.37827092499712	0	1.34335012283295	0	0	0	0	0	3.87784258191211	0	0	0	2.73763473894262	0
gene-KDRO_D07380	Stm1	28.9281647512338	46.2343002604862	70.0649153359294	56.4760342136912	50.2841381459847	58.3443887696791	34.2352566929014	32.6889842210122	62.9404591821427	75.0031266154938	56.6349687304466	63.2919313484694	80.2761454140778	70.6000702132984	62.2939772153162	53.9561667368901	46.0188772858151	61.6476980520805	38.199181846275	39.0162131880212	8.98836944638841	18.87984637464	16.3064393889686	10.8684029722324	7.37870687930947	9.22658118342208	5.43208931791708	5.42745937197089	5.5698481252464	6.50253741868156	7.21285647922695	5.41162611859129	6.39343159585149	4.56050923346721	5.49001598215686	6.40921043882222	4.62142430147561	2.77499564594576	1.8052725811938	6.3351216337362	3.60476256718103	9.02839007751198	3.67563082003806	5.51164777774932	9.58673990271889	3.48431229056621	9.91644334244225	6.31774335667588	6.43335200495268	9.20133363712987
gene-KDRO_E00600	Eri1	0	0	0	8.4769237918484	0	0	0	0	0	0	7.21538584455873	14.4116324492621	15.3104155106716	0	0	0	0	0	0	0	9.73994607046961	0	0	0	0	9.9872851409004	0	0	10.3831633689133	0	0	0	0	0	20.2580724060436	0	0	0	0	0	0	0	10.1747285831281	0	0	0	0	0	20.7248034793129	0
gene-KDRO_E02810	Coa2	29.8704853670734	0	42.498298780803	28.2956322898841	0	0	13.8388038021331	0	12.0188634463086	48.1479571806065	12.0284451218408	36.0082075692345	12.8054323027894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.657809345688	0	0	0
gene-KDRO_E03520	Ipp1	58.8389121634688	29.4702937635274	27.6951700993853	27.6246157282769	0	27.4499937613344	0	136.760066755364	0	47.2272436536928	0	46.9164984381827	0	75.6238981701074	0	0	56.3306115639679	0	0	0	31.3742722385983	0	0	0	0	0	64.8896149789255	32.4251596165674	33.5845658211306	0	31.4086004815696	0	0	0	63.0406891439226	31.5935977949517	0	34.8431387023561	33.0833004261385	0	0	0	0	0	0	63.0947347562326	0	0	0	0
gene-KDRO_E04050	Rec107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.06818363579577	0	0	0	0	0	0	0	9.15324595542919	0	0	0	0	0	0	0	0	0	0	26.0818348833131	0	8.99807590400655	8.98704081158473	0	0
gene-KDRO_E04190	Rps0a_Rps0b	0	0	0	61.017533308272	60.3789407744615	181.60876549375	0	60.1424405757393	0	17.3400795130354	103.807586771295	17.272301959836	0	0	36.2879125481041	18.0903915918536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.6100497510064	0	0	0	24.0744447066739	0	0	0
gene-KDRO_E06940	Oaz1	0	0	0	0	7.6586281431762	0	0	0	13.1193443723839	0	6.53974031419585	0	0	0	0	0	0	7.79729203933942	8.30717777464354	0	0	0	0	0	0	0	0	0	0	9.41134423744965	0	0	18.344719058604	0	9.19660707852875	0	0	0	0	0	0	9.30160524248625	0	0	0	0	0	0	0	0
gene-KDRO_E07690	Taf7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
