TXNAME	GENEID
orf19.2970-T	orf19.2970
orf19.2971-T	orf19.2971
orf19.2972-T	orf19.2972
orf19.2973-T	orf19.2973
orf19.2975-T	orf19.2975
orf19.2983-T	orf19.2983
orf19.2986-T	orf19.2986
orf19.2988-T	orf19.2988
orf19.2989-T	orf19.2989
orf19.2991-T	orf19.2991
orf19.2992-T	orf19.2992
orf19.2994.1-T	orf19.2994.1
orf19.2995-T	orf19.2995
orf19.2996-T	orf19.2996
orf19.3002-T	orf19.3002
orf19.3003-T	orf19.3003
orf19.3003.1-T	orf19.3003.1
orf19.3004-T	orf19.3004
orf19.3007-T	orf19.3007
orf19.3010-T	orf19.3010
orf19.3016-T	orf19.3016
orf19.3019-T	orf19.3019
orf19.3021-T	orf19.3021
orf19.3022-T	orf19.3022
orf19.3023-T	orf19.3023
orf19.3027-T	orf19.3027
orf19.3035-T	orf19.3035
orf19.3037-T	orf19.3037
orf19.3038-T	orf19.3038
orf19.3040-T	orf19.3040
orf19.3041-T	orf19.3041
orf19.3042-T	orf19.3042
tN(GUU)3-T	tN(GUU)3
orf19.3043-T	orf19.3043
orf19.3051-T	orf19.3051
orf19.3052-T	orf19.3052
orf19.3054-T	orf19.3054
orf19.3055-T	orf19.3055
orf19.3059.1-T	orf19.3059.1
orf19.3060-T	orf19.3060
orf19.3062-T	orf19.3062
orf19.3064.1-T	orf19.3064.1
orf19.3066-T	orf19.3066
orf19.71-T	orf19.71
orf19.1035-T	orf19.1035
orf19.1034-T	orf19.1034
orf19.1032-T	orf19.1032
orf19.1029-T	orf19.1029
orf19.1027-T	orf19.1027
orf19.1026.1-T	orf19.1026.1
orf19.4463-T	orf19.4463
orf19.4464-T	orf19.4464
orf19.4467-T	orf19.4467
orf19.4468-T	orf19.4468
orf19.4472-T	orf19.4472
orf19.4473-T	orf19.4473
orf19.4474-T	orf19.4474
orf19.4478-T	orf19.4478
orf19.4482-T	orf19.4482
orf19.1040-T	orf19.1040
orf19.1043-T	orf19.1043
