gene_id	gene_name	Calb.t0000.b1.L001	Calb.t0000.b1.L002	Calb.t0000.b4.L001	Calb.t0000.b4.L002	Calb.t0015.b1.L001	Calb.t0015.b1.L002	Calb.t0015.b2.L001	Calb.t0015.b2.L002	Calb.t0030.b1.L001	Calb.t0030.b1.L002	Calb.t0030.b2.L001	Calb.t0030.b2.L002	Calb.t0045.b1.L001	Calb.t0045.b1.L002	Calb.t0045.b2.L001	Calb.t0045.b2.L002	Calb.t0060.b1.L001	Calb.t0060.b1.L002	Calb.t0060.b2.L001	Calb.t0060.b2.L002	Calb.t0090.b1.L001	Calb.t0090.b1.L002	Calb.t0090.b2.L001	Calb.t0090.b2.L002	Calb.t0120.b1.L001	Calb.t0120.b1.L002	Calb.t0120.b4.L001	Calb.t0120.b4.L002	Calb.t0150.b1.L001	Calb.t0150.b1.L002	Calb.t0150.b4.L001	Calb.t0150.b4.L002	Calb.t0180.b1.L001	Calb.t0180.b1.L002	Calb.t0180.b2.L001	Calb.t0180.b2.L002	Calb.t0210.b1.L001	Calb.t0210.b1.L002	Calb.t0210.b4.L001	Calb.t0210.b4.L002	Calb.t0240.b1.L001	Calb.t0240.b1.L002	Calb.t0240.b3.L001	Calb.t0240.b3.L002	Calb.t0360.b1.L001	Calb.t0360.b1.L002	Calb.t0360.b3.L001	Calb.t0360.b3.L002	Calb.t0480.b1.L001	Calb.t0480.b1.L002	Calb.t0480.b2.L001	Calb.t0480.b2.L002
CaalfMp01	CaalfMp01	0	1.00254682849106	1.00463446222436	0	0	6.03176503807381	0	0	2.00520900643441	1.00225437032472	0	0.999470264081693	0	0	0	2.00493016246433	1.00164630288834	0	1.00576739754856	0	2.35857928462382	1.00077772572359	3.00958625026836	5.00929461569883	4.02440374228372	7.04349421989167	3.0099693542937	3.00666457905983	3.00470352054581	3.00425869135848	19.8680453223783	25.7463473428253	1.00222908098588	2.00377376931075	0	0.997069180274899	3.99730514762327	2.99731125644601	1.998492919101	4.99089684334877	1.99745093028533	1.99665720506202	5.9792059883706	6.96926030393985	3.99700745895527	3.99261208362227	12.9593665198904	9.96303454149496	11.9777409677646	8.98015877073637	1.99814534890758	0
CaalfMp02	CaalfMp02	3.02539376349758	0	0	0	1.01369794408515	0	0	0	0	0	0	0	0	1.00213233106093	0	1.00858016017078	2.0128004665359	0	1.02707337311585	0	0	2.00118360104369	2.01800827387583	0	2.05208974418107	3.08227253214354	0	0	0	0	7.97836612126688	11.9076394970488	2.7863557914018	0	1.98026595313974	0	0	0.993245391420556	0	0	0.992526681761789	0	1.96529847889721	0	0	0.987490542303086	0.986292237556789	2.4559467009764	0.989826185547741	1.97445315994982	1.98768443896527	0
CaalfMp03	CaalfMp03	1.00266030575393	0	1.0029376000228	4.00950986628226	4.01235401760559	0	1.00159077493478	0	0	0	0	1.00143990857857	0	0	0	5.00706677506863	0	1.00090735277801	0	0	1.00132018482223	2.00235722562212	1.00208839379939	2.00342980434929	5.01374830134692	5.01345439000564	0	1.0015976333677	1.00172103535963	4.00653805051426	20.6345751385347	33.1370100885444	3.00502955274475	4.00614553932321	1.00034475989393	2.99976632605834	3.00285626761049	5.00414356058364	6.00609750325966	3.00183709638406	2.00112264852737	2.00079730189689	2.99966982413937	3.99807876210961	1.00106663383973	0	4.99929723237225	6.99743490439928	9.0044113064889	5.00096653204337	0	3.00169534416283
CaalfMp04	CaalfMp04	0	0	0	0	0	3.01762062641092	0	0	0	0.501571521343472	0	0	0	0	0	0	0	0	0	0	0	0	6.02372610833853	1.00276593152668	0	2.0131626857058	0	6.01829264711824	11.0275231726239	0	11.3464157547708	13.1520034130205	4.01222190206219	0	0	0	1.0004933101276	1.00028208297863	0	1.99895160997354	3.99966474500785	0	0	0	0	1.99892931048372	4.99122317225574	7.98102899112062	0	4.99360860482829	0	0
CaalfMp05	CaalfMp05	2.99075979404543	2.986977231877	2.02518051547739	0	5.07344771708845	3.05203199322668	0	0	1.9824813420952	1.98079616994352	0	0	0	0	0	0	0	0	0	1.03849098067852	0	0	3.02209653291997	2.00605680107973	12.3277992434463	3.09221023289347	1.02762149385184	3.08168327291405	0.997278813044933	3.98721019454469	6.77263919465421	4.56412127279709	2.05972428323452	0	1.00971373076027	1.00752682681827	3.9538032149584	3.95794358002036	2.94553831978824	2.93646819900251	0	1.99709090147591	4.951562966766	5.93024831886568	7.86325821157726	3.91333982691537	8.02613517537539	14.021954120586	10.9035686815742	25.7285829763629	5.05393890621809	4.04446433437457
CaalfMp06	CaalfMp06	0	2.00514736892404	1.0051436857546	3.01062181051354	8.04610870037928	4.02393149452605	3.00279403855557	1.9985022852711	1.0026552375535	0	0	0.998543854432676	0	0	0	0	2.00349060263349	0	3.0220029678135	0	0.984073736004408	2.00089793019935	6.02105161952794	0.999145574331606	3.02200734347415	13.0974470205329	1.00373465666989	3.0069481180097	3.00413870093806	4.00476809429102	26.4002470146509	31.3475566629165	8.01853342589348	3.00570979334015	3.98872200595501	0	1.99710459634732	3.993166026222	0	3.98835398189386	4.98928104695828	3.98959087769994	1.99016473421874	4.96963625056571	8.98566217234331	7.97639120350105	10.9515997808652	13.9258608492286	16.9508893776786	13.946028569271	0	2.99421593427369
CaalfMp07	CaalfMp07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.82180550317441	3.02296177667098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMp08	CaalfMp08	5.05626602394206	3.82490823241308	0	2.99687250705621	16.811175089506	13.631750785295	0	0	2.54439393219554	4.99849035396921	2.00497658460075	2.00559587800934	2.4216434283984	0	0.99642760155497	0	0	0	4.93946844125446	1.98774994543735	10.0933807013047	9.0000343340643	10.658801837561	12.7193801395983	18.1282219333688	22.0651865238269	6.31314948195308	11.890436879402	6.94370355640813	3.56147479985905	22.4081094226555	17.5508190571	11.2386260676036	10.2374349009718	3.26307470217806	4.78569825243748	12.8916021704665	17.0234851504905	11.2953997717085	8.08220996718673	8.05483700501708	8.78444287668658	15.9961233179659	13.0836718532143	23.021071177184	23.6212130949491	48.1633221448733	43.1872484727811	56.6353973560786	36.0835783775213	14.0464419565161	9.98826188253937
CaalfMp08.1	CaalfMp08.1	2.99694523621229	4.17171680929754	0	0.999115549343665	5.41090009642447	2.44347885909287	2.00048244944374	1.00098887461919	0	0	0	0	0	0	0.996739697137143	0	0	5.09688264729039	1.23292104358239	0	0	0	0	2.27384933030438	4.30503491253753	0	1.05281523872607	1.36001896871708	1.41703636209373	6.10287599949909	65.6182718260825	77.4054770968671	0	0	0	5.46733863825481	5.24955175491276	1.07402517910169	0	0	0	2.2033903523313	0	0	1.12857684465425	1.14834682392437	7.26720956102159	2.46413738487319	4.29180900769605	2.18044042953004	2.23513434012129	1.00124183885656
CaalfMp08.2	CaalfMp08.2	1.93520276988536	0	0	0	3.27147675107967	1.50278355916152	0	0	2.50910085542641	0	0	0	0	4.11955279144622	0	0	0	2.89489934289199	1.3844253878484	0	0	0	1.88604981091076	0	12.33370509917	6.36567873749904	0	1.72995750801613	0	1.11807648360422	46.8554420636826	56.0572510090697	4.77027486400963	4.31709385786418	1.11107158993309	4.72308652521234	2.54545968785102	0	1.51023588153228	0	0	8.70626928662547	2.71258860930592	1.29579118825717	0	5.80311622267103	14.5235094103054	18.007923200386	5.5368487839655	15.1916116187222	0	3.18867415834354
