tx	gene_id	Calb.t0000.b1.L001	Calb.t0000.b1.L002	Calb.t0000.b4.L001	Calb.t0000.b4.L002	Calb.t0015.b1.L001	Calb.t0015.b1.L002	Calb.t0015.b2.L001	Calb.t0015.b2.L002	Calb.t0030.b1.L001	Calb.t0030.b1.L002	Calb.t0030.b2.L001	Calb.t0030.b2.L002	Calb.t0045.b1.L001	Calb.t0045.b1.L002	Calb.t0045.b2.L001	Calb.t0045.b2.L002	Calb.t0060.b1.L001	Calb.t0060.b1.L002	Calb.t0060.b2.L001	Calb.t0060.b2.L002	Calb.t0090.b1.L001	Calb.t0090.b1.L002	Calb.t0090.b2.L001	Calb.t0090.b2.L002	Calb.t0120.b1.L001	Calb.t0120.b1.L002	Calb.t0120.b4.L001	Calb.t0120.b4.L002	Calb.t0150.b1.L001	Calb.t0150.b1.L002	Calb.t0150.b4.L001	Calb.t0150.b4.L002	Calb.t0180.b1.L001	Calb.t0180.b1.L002	Calb.t0180.b2.L001	Calb.t0180.b2.L002	Calb.t0210.b1.L001	Calb.t0210.b1.L002	Calb.t0210.b4.L001	Calb.t0210.b4.L002	Calb.t0240.b1.L001	Calb.t0240.b1.L002	Calb.t0240.b3.L001	Calb.t0240.b3.L002	Calb.t0360.b1.L001	Calb.t0360.b1.L002	Calb.t0360.b3.L001	Calb.t0360.b3.L002	Calb.t0480.b1.L001	Calb.t0480.b1.L002	Calb.t0480.b2.L001	Calb.t0480.b2.L002
CaalfMt23-T	CaalfMt23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.018087	8.346713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.981166	0	0	0
CaalfMt24-T	CaalfMt24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.226076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt25-T	CaalfMt25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.036174	2.086678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMp05-T	CaalfMp05	4.099533	4.151047	2.725005	0	4.879244	2.954114	0	0	2.026312	2.036195	0	0	0	0	0	0	0	0	0	1.180489	0	0	4.052329	2.724222	13.156229	3.314282	1.439249	4.383828	1.167547	4.71407	9.675151	6.609297	2.467904	0	1.36798	1.389299	7.153873	7.222326	4.356144	4.390937	0	3.268487	7.258995	8.76195	11.164521	5.621301	11.413305	20.206931	16.183392	38.744894	7.880178	6.35768
CaalfMt26-T	CaalfMt26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.108523	16.620752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMp06-T	CaalfMp06	0	0.372999	0.181037	0.547759	1.035788	0.521344	0.541933	0.364604	0.137178	0	0	0.13336	0	0	0	0	0.251958	0	0.453701	0	0.138201	0.282777	1.080698	0.18162	0.431695	1.879069	0.188173	0.572568	0.470775	0.633782	5.04828	6.076275	1.286026	0.487604	0.723354	0	0.483685	0.97535	0	0.798291	1.080178	0.874003	0.390534	0.982852	1.707746	1.533668	2.084578	2.686269	3.367666	2.811155	0	0.630023
CaalfMp07-T	CaalfMp07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.187368	12.177128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt27-T	CaalfMt27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.363591	8.092011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt28-T	CaalfMt28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.180872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt29-T	CaalfMt29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.322425	8.349859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMp08.1-T	CaalfMp08.1	0.231687	0.326972	0	0.076592	0.293487	0.133388	0.152121	0.076945	0	0	0	0	0	0	0.06153	0	0	0.272879	0.077991	0	0	0	0	0.174153	0.259115	0	0.083162	0.109114	0.093564	0.406941	5.286821	6.321786	0	0	0	0.425192	0.535696	0.110533	0	0	0	0.203381	0	0	0.090373	0.093032	0.582831	0.200275	0.359262	0.185188	0.196553	0.088766
CaalfMp08.2-T	CaalfMp08.2	0.131922	0	0	0	0.15647	0.072339	0	0	0.127542	0	0	0	0	0.209191	0	0	0	0.136668	0.077223	0	0	0	0.125773	0	0.654602	0.339315	0	0.122388	0	0.065741	3.328877	4.037084	0.28425	0.260204	0.074862	0.323894	0.22905	0	0.111076	0	0	0.708629	0.197768	0.095214	0	0.414561	1.027104	1.290605	0.408697	1.137733	0	0.249279
CaalfMp08.3-T	CaalfMp08.3	0	0	0	0	0.068351	0.160314	0	0	0.125591	0	0	0	0.106983	0.194587	0	0.236492	0	0	0.075848	0	0	0	0.291663	0	0	0	0.127981	0	0	0.06485	2.685751	3.121265	0.179943	0.165741	0.153059	0	0	0.131443	0.108915	0	0.280586	0	0.299234	0.313172	0.217981	0	0.102487	0	0.193774	0.273047	0.122333	0
CaalfMp08.4-T	CaalfMp08.4	0	0	0.30025	0	0	0	0	0.121225	0.110657	0	0	0.044455	0	0	0	0.081552	0.249765	0	0	0	0.088686	0	0	0	0.319144	0.067486	0.173875	0	0	0.057918	1.572777	1.4107	0.528576	0.088493	0.08118	0.372771	0.205565	0.119552	0.113613	0.462462	0.105302	0.0982	0.276194	0.223602	0.302454	0.225326	0.103644	0.361453	0.468062	0.740719	0.691007	0.198871
CaalfMp08-T	CaalfMp08	0.362446	0.277976	0	0.213023	0.845489	0.690002	0	0	0.136001	0.268707	0.104889	0.104647	0.127912	0	0.057035	0	0	0	0.289721	0.118163	0.55379	0.496922	0.747421	0.903287	1.011723	1.236769	0.462391	0.884553	0.425118	0.2202	1.674039	1.329095	0.704195	0.648838	0.23119	0.3451	1.219814	1.624488	0.873574	0.632008	0.681301	0.751837	1.226336	1.010923	1.709321	1.774402	3.58164	3.254677	4.395916	2.841638	1.145336	0.821085
CaalfMt30-T	CaalfMt30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt31-T	CaalfMt31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt32-T	CaalfMt32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.090949	12.520111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt33-T	CaalfMt33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.036174	12.916236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt34-T	CaalfMt34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.757769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMp09-T	CaalfMp09	0	0.16509	0.079842	0	0.228183	0	0	0	0.121389	0.061066	0.059561	0.178255	0	0.303246	0.129675	0.131757	0.05572	0.056322	0	0	0.06232	0	0.716089	0.080656	0.315844	0.063429	0	0.084427	0.139134	0.140509	3.843655	4.096946	0.071125	0.215849	0.403111	0.2463	0.322958	0.108571	0.440058	0.089039	0.192449	0.486927	0.436721	0.528404	0.507023	0.342185	0.846829	0.686799	0.618478	0.807148	0.092734	0.186997
CaalfMp10-T	CaalfMp10	0.495725	0	0	0	0	0.352449	0	0	0	0	0	0	0	0	0	0	0	0.685231	0.414692	0	0	0	0	0	0	1.190769	0.509367	0.515316	0	0	4.104778	6.65322	0	0.877428	0	0	0	0	0.524331	0.527911	0	0	0	0	0	0	0.502254	0	0.525874	0	0	0
