gene_id	gene_name	Calb.t0000.b1.L001	Calb.t0000.b1.L002	Calb.t0000.b4.L001	Calb.t0000.b4.L002	Calb.t0015.b1.L001	Calb.t0015.b1.L002	Calb.t0015.b2.L001	Calb.t0015.b2.L002	Calb.t0030.b1.L001	Calb.t0030.b1.L002	Calb.t0030.b2.L001	Calb.t0030.b2.L002	Calb.t0045.b1.L001	Calb.t0045.b1.L002	Calb.t0045.b2.L001	Calb.t0045.b2.L002	Calb.t0060.b1.L001	Calb.t0060.b1.L002	Calb.t0060.b2.L001	Calb.t0060.b2.L002	Calb.t0090.b1.L001	Calb.t0090.b1.L002	Calb.t0090.b2.L001	Calb.t0090.b2.L002	Calb.t0120.b1.L001	Calb.t0120.b1.L002	Calb.t0120.b4.L001	Calb.t0120.b4.L002	Calb.t0150.b1.L001	Calb.t0150.b1.L002	Calb.t0150.b4.L001	Calb.t0150.b4.L002	Calb.t0180.b1.L001	Calb.t0180.b1.L002	Calb.t0180.b2.L001	Calb.t0180.b2.L002	Calb.t0210.b1.L001	Calb.t0210.b1.L002	Calb.t0210.b4.L001	Calb.t0210.b4.L002	Calb.t0240.b1.L001	Calb.t0240.b1.L002	Calb.t0240.b3.L001	Calb.t0240.b3.L002	Calb.t0360.b1.L001	Calb.t0360.b1.L002	Calb.t0360.b3.L001	Calb.t0360.b3.L002	Calb.t0480.b1.L001	Calb.t0480.b1.L002	Calb.t0480.b2.L001	Calb.t0480.b2.L002
CaalfMp01	CaalfMp01	0	1.3149407434144	1.3469400074969	0	0	7.89741543286977	0	0	2.24904541154447	1.12334535286435	0	1.10982253436873	0	0	0	2.14016715444395	1.04209905256958	0	1.0829902511926	0	2.80979706392094	1.19159332861368	3.63443379550721	6.06044892320628	5.08383780208827	8.8761969821092	3.84606539110647	3.84347973299053	4.0838167526135	4.08177473216772	26.2689058464495	34.0717511722902	1.35250626527522	2.70362613606069	0	1.27350820913189	5.125250771061	3.83782804466713	2.57681965270068	6.43762249815034	2.57676295185197	2.57789492696878	7.67999817418584	8.97550741424329	5.05346987990543	5.06129808824874	16.3893117138933	12.6046303319849	15.129631890394	11.3531632920327	2.58326540937522	0
CaalfMp02	CaalfMp02	9.37230086798612	0	0	0	3.1372155289233	0	0	0	0	0	0	0	0	2.49185084664171	0	2.54400793465601	4.94828754645459	0	2.61329272483784	0	0	5.63037036010282	5.75854156887415	0	6.12556407935253	9.17845114671636	0	0	0	0	24.9264481748756	37.2360928780138	8.88522544974342	0	5.97724049713721	0	0	3.00517537584818	0	0	3.02552074183057	0	5.96493499138284	0	0	2.95799434705677	2.94742086164712	7.34204446374818	2.95441826228186	5.8984689848197	6.07224079973808	0
CaalfMp03	CaalfMp03	1.02899202613761	0	1.05261017215462	4.21247663246008	4.11366486957668	0	1.00884150435361	0	0	0	0	0.870486467459217	0	0	0	4.18393854389318	0	0.814288614121046	0	0	0.933793644557081	1.86631720638213	0.947304212776031	1.89738655653179	4.95799561311571	4.9457174996014	0	1.00227378692047	1.06577341443131	4.26122480722657	21.3567833250598	34.3277722189208	3.17449393123603	4.23134211067706	1.00027815388755	2.99928234123017	3.013948521689	5.01576171511825	6.06215807753373	3.03101092119654	2.02081019476553	2.02217279628085	3.01609157801977	4.03066902606589	0.990766189308194	0	4.94924974367521	6.92996135266404	8.9035302359669	4.9492601876922	0	3.03270566470029
CaalfMp04	CaalfMp04	0	0	0	0	0	3.8127762488543	0	0	0	0.54250571265332	0	0	0	0	0	0	0	0	0	0	0	0	7.01990599584379	1.17074928877147	0	2.44823866649286	0	7.42418914271985	14.4636768833249	0	14.4771024034791	16.7960382841291	5.22508477723003	0	0	0	1.237935785443	1.23598234939959	0	2.48820011088377	4.97918256238856	0	0	0	0	2.44533490454796	6.09144101124102	9.74391478485818	0	6.09233085525281	0	0
CaalfMp05	CaalfMp05	31.865981521903	31.8401037626108	22.0670850425605	0	54.0033164445434	32.4766105722301	0	0	18.0712724725992	18.0433082809468	0	0	0	0	0	0	0	0	0	9.09603959068062	0	0	29.6605601221912	19.7247947911214	126.56590902716	31.6700558686903	10.6715822707618	32.0161173063239	11.0159577249865	44.027282988065	72.7756057419673	49.088194001689	22.5903220315776	0	10.4823081733958	10.4586137106977	41.200635458711	41.1873939714291	30.8664820704722	30.7831644129609	0	20.9556232883673	51.6893361925269	62.0706439021501	80.797571467545	40.3174828175689	82.4943983867434	144.17437135436	111.934291792227	264.356372807256	53.1022578685098	42.4240611297076
CaalfMp06	CaalfMp06	0	2.8610436989391	1.46603726409677	4.39567559049721	11.4640684363112	5.73149379548952	4.20321283416901	2.8051238954041	1.22339551621183	0	0	1.2062226629021	0	0	0	0	2.26755901173938	0	3.53996167170742	0	1.27534826385707	2.59174367311528	7.9100458040134	1.31502397013293	4.15300388108781	17.9556900140435	1.39524408259868	4.18159751109014	4.44182332529699	5.91923740350521	37.9727029536861	45.1293633812511	11.7718280293648	4.41185951663857	5.54278538170044	0	2.785642037795	5.56221426587963	0	5.59651006206351	7.00185312817422	5.60359506429209	2.78088677848825	6.96263463047792	12.3589475521085	10.999879429665	15.0671525907912	19.1662526270667	23.2928491568864	19.1805077386192	0	4.2040703944083
CaalfMp07	CaalfMp07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.238000608587	90.4412710833541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMp08	CaalfMp08	2.81732029933352	2.13218127463156	0	1.70947442454526	9.3578451943335	7.58566739403419	0	0	1.21289866888513	2.38108984564267	0.947369197251908	0.946517569021567	1.08281831375085	0	0.451813246699661	0	0	0	2.26052231643471	0.910483135508754	5.11049207343946	4.55445262355776	5.470662798378	6.54027120861944	9.73300488906705	11.8181082136838	3.42848499304834	6.46009665791193	4.01104359493093	2.05656846715723	12.5919690825164	9.87137863628686	6.44595244508164	5.87071087410426	1.77152065571674	2.59790555637178	7.025161327498	9.2641106560212	6.18991387985124	4.43076413401208	4.41628096302482	4.82033826239975	8.73240631643893	7.16149276650668	12.3703458176554	12.7264884314965	25.887789473592	23.2217851605716	30.4048585264523	19.3884932169711	7.71809058349793	5.47900495663291
CaalfMp08.1	CaalfMp08.1	1.80092065629552	2.50799916442006	0	0.614638161723244	3.24830472371534	1.46642618768559	1.17984499845299	0.591985436615803	0	0	0	0	0	0	0.48742121626072	0	0	2.42798892809792	0.608517836059725	0	0	0	0	1.26095897737342	2.49274511089558	0	0.616620282384143	0.796884965323053	0.882788503229967	3.80064499815364	39.766986657299	46.952808688301	0	0	0	3.20083645124553	3.085184153072	0.63034626487976	0	0	0	1.30395978934945	0	0	0.654028858581254	0.667250528211186	4.21265292622461	1.42894149650902	2.4848769366681	1.26353753780898	1.32451425473247	0.592325220872963
CaalfMp08.2	CaalfMp08.2	1.02543973041136	0	0	0	1.73180495258645	0.795272468220439	0	0	1.13745871006057	0	0	0	0	1.75213026358896	0	0	0	1.21602758301403	0.602525584414101	0	0	0	0.92058113451508	0	6.29741981391455	3.24236893755108	0	0.893828080135984	0	0.613991224338709	25.0395099896118	29.9840002035186	2.60192415810174	2.35433567745019	0.573638908812087	2.43826723348445	1.31914636335	0	0.787055102508038	0	0	4.5433138865819	1.40825233246801	0.674506735201561	0	2.97334300268464	7.42382040615033	9.20833374161539	2.82679979899194	7.76275111510481	0	1.66340984987486
