a21_orf19,a22_orf19,a22_id
orf19.12400,orf19.12400,C1_13080W_A
orf19.4934,orf19.4934,C1_13080W_A
orf19.12402,orf19.12402,C1_13090W_A
orf19.4936,orf19.4936,C1_13090W_A
orf19.12403,orf19.12403,C1_13110C_A
orf19.12404,orf19.12404,C1_13110C_A
orf19.4937,orf19.4937,C1_13110C_A
orf19.4938,orf19.4938,C1_13110C_A
orf19.12405,orf19.12405,C1_13120C_A
orf19.4939,orf19.4939,C1_13120C_A
orf19.12406,orf19.12406,C1_13130C_A
orf19.4940,orf19.4940,C1_13130C_A
orf19.12407,orf19.12407,C1_13140C_A
orf19.4941,orf19.4941,C1_13140C_A
orf19.12408,orf19.12408,C1_13150W_A
orf19.4942,orf19.4942,C1_13150W_A
orf19.12409,orf19.12409,C1_13160W_A
orf19.4943,orf19.4943,C1_13160W_A
orf19.12411,orf19.12411,C1_13170C_A
orf19.4945,orf19.4945,C1_13170C_A
orf19.12412,orf19.12412,C1_13180W_A
orf19.4946,orf19.4946,C1_13180W_A
orf19.4947,orf19.4947,C1_13190W_A
orf19.12413,orf19.12413,C1_13200C_A
orf19.4948,orf19.4948,C1_13200C_A
orf19.4949,orf19.4949,C1_13210C_A
orf19.12414,orf19.12414,C1_13220C_A
orf19.4950,orf19.4950,C1_13220C_A
orf19.12415,orf19.12415,C1_13240W_A
orf19.4951,orf19.4951,C1_13240W_A
orf19.12417,orf19.12417,C1_13250W_A
orf19.4952,orf19.4952,C1_13250W_A
orf19.12418,orf19.12418,C1_13270W_A
orf19.4953,orf19.4953,C1_13270W_A
orf19.12419,orf19.12419,C1_13280C_A
orf19.4954,orf19.4954,C1_13280C_A
orf19.12420,orf19.12420,C1_13290W_A
orf19.4955,orf19.4955,C1_13290W_A
orf19.12421,orf19.12421,C1_13300C_A
orf19.4956,orf19.4956,C1_13300C_A
orf19.12423,orf19.12423,C1_13310W_A
orf19.4958,orf19.4958,C1_13310W_A
orf19.12424,orf19.12424,C1_13320C_A
orf19.4959,orf19.4959,C1_13320C_A
orf19.12425,orf19.12425,C1_13330C_A
orf19.4960,orf19.4960,C1_13330C_A
orf19.12426,orf19.12426,C1_13350W_A
orf19.4961,orf19.4961,C1_13350W_A
orf19.12427,orf19.12427,C1_13360C_A
orf19.4962,orf19.4962,C1_13360C_A
orf19.12428,orf19.12428,C1_13370W_A
orf19.4963,orf19.4963,C1_13370W_A
orf19.12429,orf19.12429,C1_13380W_A
orf19.4964,orf19.4964,C1_13380W_A
orf19.12430,orf19.12430,C1_13390W_A
orf19.4965,orf19.4965,C1_13390W_A
orf19.12431,orf19.12431,C1_13400C_A
orf19.4966,orf19.4966,C1_13400C_A
orf19.12432,orf19.12432,C1_13410W_A
orf19.4967,orf19.4967,C1_13410W_A
orf19.12434,orf19.12434,C1_13420C_A
orf19.4969,orf19.4969,C1_13420C_A
orf19.12435,orf19.12435,C1_13430C_A
orf19.4970,orf19.4970,C1_13430C_A
orf19.12437,orf19.12437,C1_13440C_A
orf19.4972,orf19.4972,C1_13440C_A
orf19.12440,orf19.12440,C1_13450W_A
orf19.4975,orf19.4975,C1_13450W_A
orf19.12443,orf19.12443,C1_13460W_A
orf19.4976,orf19.4976,C1_13460W_A
orf19.12446,orf19.12446,C1_13470W_A
orf19.4979,orf19.4979,C1_13470W_A
orf19.12447,orf19.12447,C1_13480W_A
orf19.4980,orf19.4980,C1_13480W_A
orf19.12448,orf19.12448,C1_13490C_A
orf19.4981,orf19.4981,C1_13490C_A
orf19.12449,orf19.12449,C1_13510C_A
orf19.4982,orf19.4982,C1_13510C_A
orf19.12450,orf19.12450,C1_13520C_A
orf19.4983,orf19.4983,C1_13520C_A
orf19.12452,orf19.12452,C1_13540W_A
orf19.4985,orf19.4985,C1_13540W_A
orf19.12454,orf19.12454,C1_13550C_A
orf19.4987,orf19.4987,C1_13550C_A
orf19.12455,orf19.12455,C1_13560W_A
orf19.4988,orf19.4988,C1_13560W_A
orf19.12458,orf19.12458,C1_13570W_A
orf19.4991,orf19.4991,C1_13570W_A
orf19.12460,orf19.12460,C1_13580W_A
orf19.12461,orf19.12461,C1_13580W_A
orf19.4993,orf19.4993,C1_13580W_A
orf19.4994,orf19.4994,C1_13580W_A
orf19.12462,orf19.12462,C1_13590W_A
orf19.4995,orf19.4995,C1_13590W_A
orf19.12463,orf19.12463,C1_13600W_A
orf19.4996,orf19.4996,C1_13600W_A
orf19.12464,orf19.12464,C1_13610C_A
orf19.4997,orf19.4997,C1_13610C_A
orf19.12465,orf19.12465,C1_13620W_A
orf19.4998,orf19.4998,C1_13620W_A
orf19.12467,orf19.12467,C1_13630W_A
orf19.5000,orf19.5000,C1_13630W_A
orf19.12468,orf19.12468,C1_13640W_A
orf19.5001,orf19.5001,C1_13640W_A
orf19.12470,orf19.12470,C1_13650C_A
orf19.5003,orf19.5003,C1_13650C_A
orf19.12471,orf19.12471,C1_13660W_A
orf19.5004,orf19.5004,C1_13660W_A
orf19.12472,orf19.12472,C1_13670W_A
orf19.5005,orf19.5005,C1_13670W_A
orf19.12473,orf19.12473,C1_13680C_A
orf19.5006,orf19.5006,C1_13680C_A
orf19.12474,orf19.12474,C1_13700W_A
orf19.5007,orf19.5007,C1_13700W_A
orf19.12476,orf19.12476,C1_13720W_A
orf19.5009,orf19.5009,C1_13720W_A
orf19.12477,orf19.12477,C1_13730C_A
orf19.5010,orf19.5010,C1_13730C_A
orf19.12478,orf19.12478,C1_13740W_A
orf19.5011,orf19.5011,C1_13740W_A
orf19.12479,orf19.12479,C1_13750C_A
orf19.5012,orf19.5012,C1_13750C_A
orf19.12480,orf19.12480,C1_13760W_A
orf19.5013,orf19.5013,C1_13760W_A
orf19.12481,orf19.12481,C1_13770C_A
orf19.5014,orf19.5014,C1_13770C_A
orf19.12482,orf19.12482,C1_13780W_A
orf19.5015,orf19.5015,C1_13780W_A
orf19.12483,orf19.12483,C1_13790C_A
orf19.5016,orf19.5016,C1_13790C_A
orf19.12484,orf19.12484,C1_13800C_A
orf19.5017,orf19.5017,C1_13800C_A
orf19.12486,orf19.12486,C1_13810W_A
orf19.5019,orf19.5019,C1_13810W_A
orf19.12487,orf19.12487,C1_13820C_A
orf19.5020,orf19.5020,C1_13820C_A
orf19.12488,orf19.12488,C1_13830C_A
orf19.5021,orf19.5021,C1_13830C_A
orf19.12489,orf19.12489,C1_13840W_A
orf19.5022,orf19.5022,C1_13840W_A
orf19.12490,orf19.12490,C1_13850C_A
orf19.5023,orf19.5023,C1_13850C_A
orf19.12491,orf19.12491,C1_13860C_A
orf19.5024,orf19.5024,C1_13860C_A
orf19.12492,orf19.12492,C1_13870W_A
orf19.5025,orf19.5025,C1_13870W_A
orf19.12493,orf19.12493,C1_13880C_A
orf19.5026,orf19.5026,C1_13880C_A
orf19.12494,orf19.12494,C1_13900C_A
orf19.5027,orf19.5027,C1_13900C_A
orf19.12496,orf19.12496,C1_13910C_A
orf19.5029,orf19.5029,C1_13910C_A
orf19.12497,orf19.12497,C1_13920W_A
orf19.5030,orf19.5030,C1_13920W_A
orf19.12498,orf19.12498,C1_13930W_A
orf19.5031,orf19.5031,C1_13930W_A
orf19.12499,orf19.12499,C1_13940W_A
orf19.5032,orf19.5032,C1_13940W_A
orf19.12500,orf19.12500,C1_13950C_A
orf19.5033,orf19.5033,C1_13950C_A
orf19.12501,orf19.12501,C1_13960W_A
orf19.5034,orf19.5034,C1_13960W_A
orf19.12502,orf19.12502,C1_13970C_A
orf19.5035,orf19.5035,C1_13970C_A
orf19.7205,orf19.7205,C1_13980C_A
orf19.7206,orf19.7206,C1_13990W_A
orf19.7207,orf19.7207,C1_14000C_A
orf19.7208,orf19.7208,C1_14010W_A
orf19.7209,orf19.7209,C1_14020W_A
orf19.7210,orf19.7210,C1_14030W_A
orf19.7212,orf19.7212,C1_14040W_A
orf19.7213,orf19.7213,C1_14050C_A
orf19.7214,orf19.7214,C1_14060W_A
orf19.7215,orf19.7215,C1_14080W_A
orf19.7216,orf19.7216,C1_14100W_A
orf19.7217,orf19.7217,C1_14110C_A
orf19.7218,orf19.7218,C1_14120C_A
orf19.7219,orf19.7219,C1_14130W_A
orf19.7221,orf19.7221,C1_14140C_A
orf19.7222,orf19.7222,C1_14150C_A
orf19.7223,orf19.7223,C1_14160W_A
orf19.7224,orf19.7224,C1_14170W_A
orf19.7225,orf19.7225,C1_14180W_A
orf19.7227,orf19.7227,C1_14190C_A
orf19.7228,orf19.7228,C1_14200W_A
orf19.7229,orf19.7229,C1_14210C_A
orf19.7231,orf19.7231,C1_14220C_A
orf19.7232,orf19.7232,C1_14230C_A
orf19.7233,orf19.7233,C1_14230C_A
orf19.7234,orf19.7234,C1_14240W_A
orf19.7235,orf19.7235,C1_14250C_A
orf19.7236,orf19.7236,C1_14260C_A
orf19.7237,orf19.7237,C1_14270W_A
orf19.7238,orf19.7238,C1_14280C_A
orf19.7239,orf19.7239,C1_14290C_A
orf19.7242,orf19.7242,C1_14300C_A
orf19.7243,orf19.7243,C1_14310W_A
orf19.7244,orf19.7244,C1_14320C_A
orf19.7245,orf19.7245,C1_14330W_A
orf19.7247,orf19.7247,C1_14340C_A
orf19.7250,orf19.7250,C1_14350W_A
orf19.7251,orf19.7251,C1_14360C_A
orf19.7252,orf19.7252,C1_14370W_A
orf19.7254,orf19.7254,C1_14380C_A
orf19.7255,orf19.7255,C1_14390W_A
orf19.7257,orf19.7257,C1_14400C_A
orf19.7256,orf19.7256,C1_14410W_A
orf19.7258,orf19.7258,C1_14420W_A
orf19.7260,orf19.7260,C1_14430C_A
orf19.7261,orf19.7261,C1_14440C_A
orf19.7263,orf19.7263,C1_14450C_A
orf19.7264,orf19.7264,C1_14460W_A
orf19.7265,orf19.7265,C1_14470W_A
orf19.7266,orf19.7266,C1_14480W_A
orf19.7267,orf19.7267,C1_14490C_A
orf19.7269,orf19.7269,C1_14500C_A
orf19.7270,orf19.7270,C1_14520W_A
orf19.7271,orf19.7271,C1_14530W_A
orf19.7272,orf19.7272,C1_14550C_A
orf19.7273,orf19.7273,C1_14560C_A
orf19.7274,orf19.7274,C1_14560C_A
orf19.7275,orf19.7275,C1_14570C_A
orf19.7277,orf19.7277,C1_14580C_A
orf19.7278,orf19.7278,C1_14630C_A
orf19.1925,orf19.1925,C2_00010W_A
orf19.9481,orf19.9481,C2_00010W_A
orf19.1923,orf19.1923,C2_00030W_A
orf19.9479,orf19.9479,C2_00030W_A
orf19.1920,orf19.1920,C2_00050C_A
orf19.9476,orf19.9476,C2_00050C_A
orf19.1917,orf19.1917,C2_00060C_A
orf19.9473,orf19.9473,C2_00060C_A
orf19.1915,orf19.1915,C2_00070C_A
orf19.9471,orf19.9471,C2_00070C_A
orf19.1914,orf19.1914,C2_00080C_A
orf19.9470,orf19.9470,C2_00080C_A
orf19.1913,orf19.1913,C2_00090W_A
orf19.9469,orf19.9469,C2_00090W_A
orf19.1911,orf19.1911,C2_00100C_A
orf19.9467,orf19.9467,C2_00100C_A
orf19.1910,orf19.1910,C2_00110W_A
orf19.9466,orf19.9466,C2_00110W_A
orf19.1907,orf19.1907,C2_00120C_A
orf19.9463,orf19.9463,C2_00120C_A
orf19.1906,orf19.1906,C2_00130W_A
orf19.9462,orf19.9462,C2_00130W_A
orf19.2119,orf19.2119,C2_00140W_A
orf19.9667,orf19.9667,C2_00140W_A
orf19.2117,orf19.2117,C2_00150W_A
orf19.9665,orf19.9665,C2_00150W_A
orf19.2116,orf19.2116,C2_00160C_A
orf19.9664,orf19.9664,C2_00160C_A
orf19.2115,orf19.2115,C2_00170C_A
orf19.9663,orf19.9663,C2_00170C_A
orf19.2114,orf19.2114,C2_00180C_A
orf19.9662,orf19.9662,C2_00180C_A
orf19.2113,orf19.2113,C2_00190C_A
orf19.9661,orf19.9661,C2_00190C_A
orf19.2112,orf19.2112,C2_00200W_A
orf19.9660,orf19.9660,C2_00200W_A
orf19.2111,orf19.2111,C2_00220C_A
orf19.9659,orf19.9659,C2_00220C_A
orf19.2110,orf19.2110,C2_00230W_A
orf19.9658,orf19.9658,C2_00230W_A
orf19.2108,orf19.2108,C2_00240C_A
orf19.9656,orf19.9656,C2_00240C_A
orf19.2107,orf19.2107,C2_00260C_A
orf19.9655,orf19.9655,C2_00260C_A
orf19.2106,orf19.2106,C2_00270C_A
orf19.9654,orf19.9654,C2_00270C_A
orf19.2105,orf19.2105,C2_00280C_A
orf19.9653,orf19.9653,C2_00280C_A
orf19.2104,orf19.2104,C2_00290W_A
orf19.9652,orf19.9652,C2_00290W_A
orf19.2102,orf19.2102,C2_00300C_A
orf19.9650,orf19.9650,C2_00300C_A
orf19.2103,orf19.2103,C2_00310W_A
orf19.2101,orf19.2101,C2_00320W_A
orf19.9649,orf19.9649,C2_00320W_A
orf19.2099,orf19.2099,C2_00330C_A
orf19.9647,orf19.9647,C2_00330C_A
orf19.2098,orf19.2098,C2_00340C_A
orf19.9645,orf19.9645,C2_00340C_A
orf19.2097,orf19.2097,C2_00350W_A
orf19.9644,orf19.9644,C2_00350W_A
orf19.2095,orf19.2095,C2_00360C_A
orf19.9642,orf19.9642,C2_00360C_A
orf19.2094,orf19.2094,C2_00370W_A
orf19.9641,orf19.9641,C2_00370W_A
orf19.2093,orf19.2093,C2_00380C_A
orf19.9640,orf19.9640,C2_00380C_A
orf19.2092,orf19.2092,C2_00390C_A
orf19.9639,orf19.9639,C2_00390C_A
orf19.2091,orf19.2091,C2_00400C_A
orf19.9638,orf19.9638,C2_00400C_A
orf19.2090,orf19.2090,C2_00410C_A
orf19.9637,orf19.9637,C2_00410C_A
orf19.2089,orf19.2089,C2_00420W_A
orf19.9636,orf19.9636,C2_00420W_A
orf19.2088,orf19.2088,C2_00430C_A
orf19.9635,orf19.9635,C2_00430C_A
orf19.2087,orf19.2087,C2_00440W_A
orf19.9634,orf19.9634,C2_00440W_A
orf19.2084,orf19.2084,C2_00450C_A
orf19.9631,orf19.9631,C2_00450C_A
orf19.2082,orf19.2082,C2_00460W_A
orf19.9629,orf19.9629,C2_00460W_A
orf19.2081,orf19.2081,C2_00470W_A
orf19.9628,orf19.9628,C2_00470W_A
orf19.2079,orf19.2079,C2_00480C_A
orf19.9626,orf19.9626,C2_00480C_A
orf19.2078,orf19.2078,C2_00490W_A
orf19.9625,orf19.9625,C2_00490W_A
orf19.2077,orf19.2077,C2_00500W_A
orf19.9624,orf19.9624,C2_00500W_A
orf19.2076,orf19.2076,C2_00510W_A
orf19.9623,orf19.9623,C2_00510W_A
orf19.2075,orf19.2075,C2_00520W_A
orf19.9622,orf19.9622,C2_00520W_A
orf19.2074,orf19.2074,C2_00530W_A
orf19.9621,orf19.9621,C2_00530W_A
orf19.2073,orf19.2073,C2_00540W_A
orf19.9620,orf19.9620,C2_00540W_A
orf19.2072,orf19.2072,C2_00550W_A
orf19.9619,orf19.9619,C2_00550W_A
orf19.2071,orf19.2071,C2_00560W_A
orf19.9618,orf19.9618,C2_00560W_A
orf19.2070,orf19.2070,C2_00570W_A
orf19.9617,orf19.9617,C2_00570W_A
orf19.2069,orf19.2069,C2_00580C_A
orf19.9616,orf19.9616,C2_00580C_A
orf19.2068,orf19.2068,C2_00590W_A
orf19.9615,orf19.9615,C2_00590W_A
orf19.2067,orf19.2067,C2_00600C_A
orf19.9614,orf19.9614,C2_00600C_A
orf19.2066,orf19.2066,C2_00620C_A
orf19.9613,orf19.9613,C2_00620C_A
orf19.2065,orf19.2065,C2_00630C_A
orf19.9612,orf19.9612,C2_00630C_A
orf19.2064,orf19.2064,C2_00640W_A
orf19.9611,orf19.9611,C2_00640W_A
orf19.2063,orf19.2063,C2_00650W_A
orf19.9610,orf19.9610,C2_00650W_A
orf19.2062,orf19.2062,C2_00660C_A
orf19.9609,orf19.9609,C2_00660C_A
orf19.2061,orf19.2061,C2_00670C_A
orf19.9608,orf19.9608,C2_00670C_A
orf19.2060,orf19.2060,C2_00680C_A
orf19.9607,orf19.9607,C2_00680C_A
orf19.2059,orf19.2059,C2_00690W_A
orf19.9606,orf19.9606,C2_00690W_A
orf19.2057,orf19.2057,C2_00700W_A
orf19.9604,orf19.9604,C2_00700W_A
orf19.2055,orf19.2055,C2_00710W_A
orf19.9602,orf19.9602,C2_00710W_A
orf19.2054,orf19.2054,C2_00720C_A
orf19.9601,orf19.9601,C2_00720C_A
orf19.2051,orf19.2051,C2_00730C_A
orf19.2053,orf19.2053,C2_00730C_A
orf19.9599,orf19.9599,C2_00730C_A
orf19.2050,orf19.2050,C2_00740C_A
orf19.9598,orf19.9598,C2_00740C_A
orf19.2049,orf19.2049,C2_00750W_A
orf19.9597,orf19.9597,C2_00750W_A
orf19.2048,orf19.2048,C2_00760C_A
orf19.9596,orf19.9596,C2_00760C_A
orf19.2047,orf19.2047,C2_00770W_A
orf19.9595,orf19.9595,C2_00770W_A
orf19.2046,orf19.2046,C2_00780W_A
orf19.9594,orf19.9594,C2_00780W_A
orf19.2045,orf19.2045,C2_00790C_A
orf19.9593,orf19.9593,C2_00790C_A
orf19.2044,orf19.2044,C2_00800C_A
orf19.9592,orf19.9592,C2_00800C_A
orf19.2043,orf19.2043,C2_00810C_A
orf19.9591,orf19.9591,C2_00810C_A
orf19.2042,orf19.2042,C2_00820W_A
orf19.9590,orf19.9590,C2_00820W_A
orf19.2041,orf19.2041,C2_00830C_A
orf19.9589,orf19.9589,C2_00830C_A
orf19.2040,orf19.2040,C2_00840W_A
orf19.9588,orf19.9588,C2_00840W_A
orf19.2039,orf19.2039,C2_00850W_A
orf19.9587,orf19.9587,C2_00850W_A
orf19.2038,orf19.2038,C2_00860C_A
orf19.9586,orf19.9586,C2_00860C_A
orf19.2037,orf19.2037,C2_00870W_A
orf19.9585,orf19.9585,C2_00870W_A
orf19.2036,orf19.2036,C2_00880W_A
orf19.9584,orf19.9584,C2_00880W_A
orf19.2035,orf19.2035,C2_00890W_A
orf19.9583,orf19.9583,C2_00890W_A
orf19.2034,orf19.2034,C2_00900W_A
orf19.9582,orf19.9582,C2_00900W_A
orf19.2033,orf19.2033,C2_00910W_A
orf19.9581,orf19.9581,C2_00910W_A
orf19.2032,orf19.2032,C2_00920W_A
orf19.9580,orf19.9580,C2_00920W_A
orf19.2031,orf19.2031,C2_00930C_A
orf19.9579,orf19.9579,C2_00930C_A
orf19.2030,orf19.2030,C2_00940W_A
orf19.9578,orf19.9578,C2_00940W_A
orf19.2029,orf19.2029,C2_00950C_A
orf19.9577,orf19.9577,C2_00950C_A
orf19.2028,orf19.2028,C2_00960C_A
orf19.9576,orf19.9576,C2_00960C_A
orf19.2026,orf19.2026,C2_00970C_A
orf19.9575,orf19.9575,C2_00970C_A
orf19.2025,orf19.2025,C2_00980W_A
orf19.2024,orf19.2024,C2_00990W_A
orf19.2023,orf19.2023,C2_01000W_A
orf19.9572,orf19.9572,C2_01000W_A
orf19.2021,orf19.2021,C2_01010W_A
orf19.2022,orf19.2022,C2_01010W_A
orf19.9571,orf19.9571,C2_01010W_A
orf19.2020,orf19.2020,C2_01020W_A
orf19.9570,orf19.9570,C2_01020W_A
orf19.2019,orf19.2019,C2_01030W_A
orf19.9569,orf19.9569,C2_01030W_A
orf19.2018,orf19.2018,C2_01060C_A
orf19.9568,orf19.9568,C2_01060C_A
orf19.2017,orf19.2017,C2_01070W_A
orf19.9567,orf19.9567,C2_01070W_A
orf19.2016,orf19.2016,C2_01090C_A
orf19.9566,orf19.9566,C2_01090C_A
orf19.2014,orf19.2014,C2_01110C_A
orf19.2015,orf19.2015,C2_01110C_A
orf19.9565,orf19.9565,C2_01110C_A
orf19.2013,orf19.2013,C2_01120W_A
orf19.9564,orf19.9564,C2_01120W_A
orf19.2012,orf19.2012,C2_01130W_A
orf19.9563,orf19.9563,C2_01130W_A
orf19.2010,orf19.2010,C2_01140C_A
orf19.9561,orf19.9561,C2_01140C_A
orf19.2009,orf19.2009,C2_01150W_A
orf19.9560,orf19.9560,C2_01150W_A
orf19.2008,orf19.2008,C2_01160W_A
orf19.9559,orf19.9559,C2_01160W_A
orf19.2007,orf19.2007,C2_01170C_A
orf19.9558,orf19.9558,C2_01170C_A
orf19.2006,orf19.2006,C2_01190C_A
orf19.9557,orf19.9557,C2_01190C_A
orf19.2005,orf19.2005,C2_01200C_A
orf19.9556,orf19.9556,C2_01200C_A
orf19.2003,orf19.2003,C2_01210C_A
orf19.9554,orf19.9554,C2_01210C_A
orf19.2002,orf19.2002,C2_01220W_A
orf19.9553,orf19.9553,C2_01220W_A
orf19.2001,orf19.2001,C2_01230W_A
orf19.9552,orf19.9552,C2_01230W_A
orf19.2000,orf19.2000,C2_01240C_A
orf19.9551,orf19.9551,C2_01240C_A
orf19.1999,orf19.1999,C2_01250W_A
orf19.9550,orf19.9550,C2_01250W_A
orf19.1998,orf19.1998,C2_01260W_A
orf19.9549,orf19.9549,C2_01260W_A
orf19.1996,orf19.1996,C2_01270W_A
orf19.1997,orf19.1997,C2_01270W_A
orf19.9548,orf19.9548,C2_01270W_A
orf19.1995,orf19.1995,C2_01300C_A
orf19.9547,orf19.9547,C2_01300C_A
orf19.1994,orf19.1994,C2_01310W_A
orf19.9546,orf19.9546,C2_01310W_A
orf19.1993,orf19.1993,C2_01320W_A
orf19.9545,orf19.9545,C2_01320W_A
orf19.1992,orf19.1992,C2_01330C_A
orf19.9544,orf19.9544,C2_01330C_A
orf19.1991,orf19.1991,C2_01340W_A
orf19.9542,orf19.9542,C2_01340W_A
orf19.1990,orf19.1990,C2_01350C_A
orf19.9541,orf19.9541,C2_01350C_A
orf19.1989,orf19.1989,C2_01360C_A
orf19.9540,orf19.9540,C2_01360C_A
orf19.1441,orf19.1441,C2_01370C_A
orf19.9016,orf19.9016,C2_01370C_A
orf19.1442,orf19.1442,C2_01380W_A
orf19.1443,orf19.1443,C2_01380W_A
orf19.9017,orf19.9017,C2_01380W_A
orf19.9018,orf19.9018,C2_01380W_A
orf19.1444,orf19.1444,C2_01390W_A
orf19.9019,orf19.9019,C2_01390W_A
orf19.1445,orf19.1445,C2_01400C_A
orf19.9020,orf19.9020,C2_01400C_A
orf19.1446,orf19.1446,C2_01410C_A
orf19.9021,orf19.9021,C2_01410C_A
orf19.1447,orf19.1447,C2_01420C_A
orf19.9022,orf19.9022,C2_01420C_A
orf19.1448,orf19.1448,C2_01430W_A
orf19.9023,orf19.9023,C2_01430W_A
orf19.1449,orf19.1449,C2_01450C_A
orf19.9024,orf19.9024,C2_01450C_A
orf19.1450,orf19.1450,C2_01460C_A
orf19.9025,orf19.9025,C2_01460C_A
orf19.1451,orf19.1451,C2_01470W_A
orf19.9026,orf19.9026,C2_01470W_A
orf19.1453,orf19.1453,C2_01480W_A
orf19.9028,orf19.9028,C2_01480W_A
orf19.1457,orf19.1457,C2_01490C_A
orf19.9032,orf19.9032,C2_01490C_A
orf19.1456,orf19.1456,C2_01500W_A
orf19.1458,orf19.1458,C2_01510C_A
orf19.9033,orf19.9033,C2_01510C_A
orf19.1459,orf19.1459,C2_01520W_A
orf19.9034,orf19.9034,C2_01520W_A
orf19.1460,orf19.1460,C2_01530C_A
orf19.9035,orf19.9035,C2_01530C_A
orf19.1461,orf19.1461,C2_01540W_A
orf19.9036,orf19.9036,C2_01540W_A
orf19.1462,orf19.1462,C2_01550W_A
orf19.9037,orf19.9037,C2_01550W_A
orf19.1464,orf19.1464,C2_01560W_A
orf19.9039,orf19.9039,C2_01560W_A
orf19.1465,orf19.1465,C2_01570W_A
orf19.9040,orf19.9040,C2_01570W_A
orf19.1466,orf19.1466,C2_01580W_A
orf19.9041,orf19.9041,C2_01580W_A
orf19.1467,orf19.1467,C2_01590W_A
orf19.9042,orf19.9042,C2_01590W_A
orf19.1468,orf19.1468,C2_01600C_A
orf19.9043,orf19.9043,C2_01600C_A
orf19.1470,orf19.1470,C2_01610C_A
orf19.9045,orf19.9045,C2_01610C_A
orf19.1471,orf19.1471,C2_01620W_A
orf19.9046,orf19.9046,C2_01620W_A
orf19.1473,orf19.1473,C2_01630W_A
orf19.9048,orf19.9048,C2_01630W_A
orf19.1474,orf19.1474,C2_01640W_A
orf19.9049,orf19.9049,C2_01640W_A
orf19.1476,orf19.1476,C2_01650W_A
orf19.9051,orf19.9051,C2_01650W_A
orf19.1477,orf19.1477,C2_01660C_A
orf19.9052,orf19.9052,C2_01660C_A
orf19.1478,orf19.1478,C2_01670C_A
orf19.9053,orf19.9053,C2_01670C_A
orf19.1479,orf19.1479,C2_01680C_A
orf19.9054,orf19.9054,C2_01680C_A
orf19.1480,orf19.1480,C2_01690W_A
orf19.9055,orf19.9055,C2_01690W_A
orf19.1481,orf19.1481,C2_01700C_A
orf19.9056,orf19.9056,C2_01700C_A
orf19.1482,orf19.1482,C2_01710W_A
orf19.9057,orf19.9057,C2_01710W_A
orf19.1483,orf19.1483,C2_01720C_A
orf19.9058,orf19.9058,C2_01720C_A
orf19.1484,orf19.1484,C2_01730W_A
orf19.9059,orf19.9059,C2_01730W_A
orf19.1485,orf19.1485,C2_01740C_A
orf19.9060,orf19.9060,C2_01740C_A
orf19.1486,orf19.1486,C2_01750C_A
orf19.9061,orf19.9061,C2_01750C_A
orf19.1488,orf19.1488,C2_01760C_A
orf19.9065,orf19.9065,C2_01760C_A
orf19.1490,orf19.1490,C2_01780W_A
orf19.9067,orf19.9067,C2_01780W_A
orf19.1491,orf19.1491,C2_01820C_A
orf19.9068,orf19.9068,C2_01820C_A
orf19.1492,orf19.1492,C2_01830W_A
orf19.9069,orf19.9069,C2_01830W_A
orf19.1493,orf19.1493,C2_01840C_A
orf19.9070,orf19.9070,C2_01840C_A
orf19.1494,orf19.1494,C2_01850W_A
orf19.9071,orf19.9071,C2_01850W_A
orf19.1495,orf19.1495,C2_01860C_A
orf19.9072,orf19.9072,C2_01860C_A
orf19.1496,orf19.1496,C2_01870C_A
orf19.9073,orf19.9073,C2_01870C_A
orf19.1497,orf19.1497,C2_01880C_A
orf19.1499,orf19.1499,C2_01890W_A
orf19.9075,orf19.9075,C2_01890W_A
orf19.1500,orf19.1500,C2_01900C_A
orf19.9076,orf19.9076,C2_01900C_A
orf19.1502,orf19.1502,C2_01910W_A
orf19.9078,orf19.9078,C2_01910W_A
orf19.1504,orf19.1504,C2_01920C_A
orf19.9080,orf19.9080,C2_01920C_A
orf19.1505,orf19.1505,C2_01930C_A
orf19.9081,orf19.9081,C2_01930C_A
orf19.1506,orf19.1506,C2_01940C_A
orf19.9082,orf19.9082,C2_01940C_A
orf19.1507,orf19.1507,C2_01950C_A
orf19.9083,orf19.9083,C2_01950C_A
orf19.1508,orf19.1508,C2_01960C_A
orf19.1509,orf19.1509,C2_01970C_A
orf19.9084,orf19.9084,C2_01970C_A
orf19.1510,orf19.1510,C2_01980C_A
orf19.9085,orf19.9085,C2_01980C_A
orf19.1513,orf19.1513,C2_01990C_A
orf19.9088,orf19.9088,C2_01990C_A
orf19.1514,orf19.1514,C2_02000W_A
orf19.9089,orf19.9089,C2_02000W_A
orf19.1515,orf19.1515,C2_02010C_A
orf19.9090,orf19.9090,C2_02010C_A
orf19.1516,orf19.1516,C2_02020W_A
orf19.9091,orf19.9091,C2_02020W_A
orf19.1517,orf19.1517,C2_02030W_A
orf19.9092,orf19.9092,C2_02030W_A
orf19.1519,orf19.1519,C2_02040W_A
orf19.9094,orf19.9094,C2_02040W_A
orf19.1522,orf19.1522,C2_02050C_A
orf19.9097,orf19.9097,C2_02050C_A
orf19.1523,orf19.1523,C2_02060C_A
orf19.9098,orf19.9098,C2_02060C_A
orf19.1524,orf19.1524,C2_02070W_A
orf19.9100,orf19.9100,C2_02070W_A
orf19.1525,orf19.1525,C2_02090W_A
orf19.9101,orf19.9101,C2_02090W_A
orf19.1526,orf19.1526,C2_02100W_A
